"Date","Price","Open","High","Low","Vol.","Change %"
"07/03/2026","17.40","17.30","17.54","17.24","1.54M","0.35%"
"07/02/2026","17.34","17.10","17.34","17.10","2.09M","1.40%"
"07/01/2026","17.10","17.08","17.38","17.00","3.84M","0.59%"
"06/30/2026","17.00","17.16","17.24","16.68","6.56M","-0.70%"
"06/29/2026","17.12","17.38","17.38","17.04","2.78M","-1.72%"
"06/26/2026","17.42","17.28","17.48","17.00","4.62M","1.04%"
"06/25/2026","17.24","17.88","18.06","17.24","4.14M","-3.15%"
"06/24/2026","17.80","18.04","18.16","17.80","5.00M","-1.33%"
"06/23/2026","18.04","18.18","18.22","17.82","3.87M","-0.77%"
"06/22/2026","18.18","18.16","18.32","18.10","3.21M","0.66%"
"06/19/2026","18.06","18.40","18.44","18.06","6.12M","-2.17%"
"06/18/2026","18.46","17.92","18.46","17.74","8.36M","3.48%"
"06/17/2026","17.84","17.60","17.84","17.46","6.17M","1.48%"
"06/16/2026","17.58","18.02","18.20","17.52","10.91M","0.69%"
"06/12/2026","17.46","16.60","17.50","16.56","12.07M","6.85%"
"06/11/2026","16.34","16.78","16.78","16.34","6.53M","-2.27%"
"06/10/2026","16.72","16.60","16.80","16.44","2.91M","0.36%"
"06/09/2026","16.66","16.36","16.72","16.36","5.51M","1.83%"
"06/08/2026","16.36","16.36","16.40","16.10","4.10M","-0.24%"
"06/05/2026","16.40","16.30","16.58","16.20","2.81M","0.86%"
"06/04/2026","16.26","16.20","16.64","16.12","4.38M","0.37%"
"06/03/2026","16.20","16.30","16.52","15.96","4.57M","-0.12%"
"06/02/2026","16.22","16.42","16.74","16.22","5.02M","-0.86%"
"06/01/2026","16.36","16.78","16.92","16.30","9.89M","-2.62%"
"05/25/2026","16.80","17.18","17.24","16.80","15.57M","-0.71%"
"05/22/2026","16.92","16.90","17.02","16.64","4.78M","0.59%"
"05/21/2026","16.82","16.72","16.90","16.58","3.34M","1.20%"
"05/20/2026","16.62","17.04","17.04","16.60","5.99M","-2.58%"
"05/19/2026","17.06","16.90","17.38","16.90","3.90M","1.55%"
"05/18/2026","16.80","17.00","17.00","16.50","4.14M","-1.87%"
"05/15/2026","17.12","17.12","17.12","16.76","2.65M","0.00%"
"05/14/2026","17.12","17.20","17.44","17.02","2.53M","-0.47%"
"05/13/2026","17.20","16.96","17.20","16.82","5.31M","2.63%"
"05/12/2026","16.76","17.36","17.36","16.76","3.93M","-3.23%"
"05/11/2026","17.32","17.64","17.68","17.32","2.57M","-2.04%"
"05/08/2026","17.68","17.74","17.80","17.62","1.29M","-0.56%"
"05/07/2026","17.78","17.90","18.10","17.78","4.08M","0.11%"
"05/06/2026","17.76","17.50","18.04","17.50","2.99M","1.83%"
"05/05/2026","17.44","17.58","17.64","17.40","1.82M","-0.91%"
"05/04/2026","17.60","17.96","18.10","17.60","2.83M","-1.68%"
"05/01/2026","17.90","17.64","18.00","17.60","1.85M","1.94%"
"04/30/2026","17.56","18.32","18.32","17.56","6.10M","-4.36%"
"04/29/2026","18.36","18.24","18.56","18.22","2.88M","0.88%"
"04/28/2026","18.20","18.12","18.36","18.12","4.49M","0.44%"
"04/27/2026","18.12","18.00","18.30","17.94","5.09M","0.67%"
"04/24/2026","18.00","17.70","18.08","17.60","2.58M","2.27%"
"04/23/2026","17.60","17.94","18.10","17.60","4.16M","-2.11%"
"04/22/2026","17.98","18.50","18.50","17.92","6.05M","-2.60%"
"04/21/2026","18.46","18.46","18.66","18.46","2.13M","0.00%"
"04/20/2026","18.46","18.68","18.68","18.46","2.79M","-1.28%"
"04/17/2026","18.70","18.42","18.70","18.30","3.44M","1.63%"
"04/16/2026","18.40","18.40","18.62","18.30","4.18M","0.00%"
"04/15/2026","18.40","18.70","18.70","18.40","6.18M","-0.43%"
"04/14/2026","18.48","18.44","18.62","18.34","5.24M","0.65%"
"04/13/2026","18.36","18.38","18.62","18.14","2.78M","-1.29%"
"04/10/2026","18.60","18.22","18.66","18.22","2.18M","2.42%"
"04/09/2026","18.16","18.20","18.54","18.00","4.77M","-1.20%"
"04/08/2026","18.38","18.50","20.12","18.00","15.23M","5.03%"
"04/07/2026","17.50","17.44","17.52","17.20","2.34M","0.57%"
"04/06/2026","17.40","17.36","17.52","17.08","1.84M","0.23%"
"04/03/2026","17.36","17.38","17.42","17.24","1.06M","0.70%"
"04/02/2026","17.24","17.90","18.00","17.24","4.28M","-4.22%"
"04/01/2026","18.00","17.32","18.00","17.26","4.98M","5.88%"
"03/31/2026","17.00","17.00","17.66","16.94","7.49M","0.00%"
"03/30/2026","17.00","17.20","17.50","16.90","3.83M","-2.19%"
"03/27/2026","17.38","17.60","17.80","17.38","2.00M","-1.03%"
"03/26/2026","17.56","18.00","18.02","17.56","5.02M","-2.77%"
"03/25/2026","18.06","17.02","18.06","17.02","7.10M","7.37%"
"03/24/2026","16.82","16.54","17.40","16.30","6.17M","2.81%"
"03/23/2026","16.36","17.16","17.16","16.36","8.28M","-4.99%"
"03/18/2026","17.22","17.30","17.68","17.22","11.62M","-3.26%"
"03/17/2026","17.80","17.30","17.86","17.16","7.52M","2.30%"
"03/16/2026","17.40","16.80","17.40","16.36","5.55M","3.57%"
"03/13/2026","16.80","17.10","17.44","16.36","7.79M","-2.21%"
"03/12/2026","17.18","17.98","17.98","17.10","7.12M","-4.56%"
"03/11/2026","18.00","18.64","19.10","17.90","5.57M","-3.23%"
"03/10/2026","18.60","17.70","19.50","17.70","14.80M","2.20%"
"03/09/2026","18.20","17.32","18.20","17.32","10.04M","0.33%"
"03/06/2026","18.14","18.50","18.60","17.74","4.31M","-1.52%"
"03/05/2026","18.42","17.72","18.42","17.72","18.94M","-1.18%"
"03/04/2026","18.64","18.64","19.70","18.64","2.72M","-4.99%"
"02/27/2026","19.62","20.20","20.26","19.62","10.81M","-2.39%"
"02/26/2026","20.10","20.44","20.44","20.10","4.70M","-1.66%"
"02/25/2026","20.44","20.70","20.70","20.34","4.79M","-1.26%"
"02/24/2026","20.70","20.50","20.74","20.44","6.12M","0.98%"
"02/23/2026","20.50","20.00","20.56","20.00","4.77M","2.50%"
"02/20/2026","20.00","20.00","20.10","19.84","4.78M","-0.40%"
"02/19/2026","20.08","20.70","20.70","19.96","5.42M","-3.00%"
"02/18/2026","20.70","20.06","20.70","19.94","5.35M","3.19%"
"02/17/2026","20.06","20.02","20.06","19.72","2.65M","0.10%"
"02/16/2026","20.04","20.18","20.18","19.88","1.97M","-0.60%"
"02/13/2026","20.16","20.02","20.18","19.94","2.52M","0.80%"
"02/12/2026","20.00","20.00","20.18","19.92","7.77M","0.00%"
"02/11/2026","20.00","19.90","20.02","19.90","4.90M","0.30%"
"02/10/2026","19.94","19.80","19.94","19.66","4.61M","0.61%"
"02/09/2026","19.82","19.96","20.04","19.64","5.65M","-0.70%"
"02/06/2026","19.96","19.90","20.02","19.82","4.91M","-0.10%"
"02/05/2026","19.98","19.96","20.04","19.70","5.16M","0.10%"
"02/04/2026","19.96","19.78","20.06","19.54","8.05M","0.81%"
"02/03/2026","19.80","18.82","19.80","18.74","13.08M","5.66%"
"02/02/2026","18.74","18.56","18.76","18.46","5.81M","0.75%"
"01/30/2026","18.60","18.86","18.86","18.60","5.54M","-1.38%"
"01/29/2026","18.86","18.88","19.04","18.84","6.47M","-0.11%"
"01/28/2026","18.88","18.62","19.00","18.62","9.03M","0.75%"
"01/27/2026","18.74","18.64","19.04","18.64","7.44M","-0.11%"
"01/26/2026","18.76","18.92","18.92","18.50","3.78M","-0.74%"
"01/23/2026","18.90","18.94","19.04","18.80","2.85M","-0.42%"
"01/22/2026","18.98","18.66","18.98","18.66","7.84M","1.82%"
