"Date","Price","Open","High","Low","Vol.","Change %"
"07/03/2026","382.300","382.400","382.400","380.400","144.12K","0.61%"
"07/02/2026","380.000","380.100","383.200","380.000","145.92K","0.00%"
"07/01/2026","380.000","383.400","383.900","380.000","152.69K","-0.81%"
"06/30/2026","383.100","384.200","384.200","382.900","139.79K","-0.23%"
"06/29/2026","384.000","384.100","384.500","384.000","240.22K","-0.03%"
"06/26/2026","384.100","385.100","385.800","384.000","272.28K","-0.26%"
"06/25/2026","385.100","385.200","386.500","385.100","212.98K","0.03%"
"06/24/2026","385.000","386.800","386.900","385.000","217.60K","-0.26%"
"06/23/2026","386.000","385.100","387.000","385.000","208.76K","0.26%"
"06/22/2026","385.000","388.200","388.200","384.900","176.40K","0.00%"
"06/19/2026","385.000","385.000","387.900","385.000","208.47K","0.00%"
"06/18/2026","385.000","385.000","385.500","384.000","265.52K","0.00%"
"06/17/2026","385.000","388.800","389.000","385.000","222.82K","-1.23%"
"06/16/2026","389.800","387.000","389.900","386.000","270.32K","1.25%"
"06/12/2026","385.000","385.100","387.000","385.000","567.84K","0.00%"
"06/11/2026","385.000","387.000","387.000","385.000","123.61K","-0.49%"
"06/10/2026","386.900","388.000","388.700","385.000","135.44K","0.42%"
"06/09/2026","385.300","385.000","388.000","385.000","146.91K","0.08%"
"06/08/2026","385.000","390.000","390.000","385.000","191.10K","-1.38%"
"06/05/2026","390.400","390.000","390.400","389.100","253.08K","0.10%"
"06/04/2026","390.000","389.000","390.000","389.000","345.58K","0.26%"
"06/03/2026","389.000","389.000","390.100","389.000","273.32K","0.00%"
"06/02/2026","389.000","391.000","391.000","389.000","196.41K","-0.23%"
"06/01/2026","389.900","389.000","390.800","389.000","201.45K","0.23%"
"05/25/2026","389.000","389.000","390.000","389.000","183.79K","0.00%"
"05/22/2026","389.000","390.000","390.000","389.000","242.34K","-0.26%"
"05/21/2026","390.000","390.000","390.000","389.000","209.83K","0.00%"
"05/20/2026","390.000","389.900","390.000","389.000","205.36K","-0.26%"
