"Date","Price","Open","High","Low","Vol.","Change %"
"07/03/2026","2.16","2.16","2.18","2.15","2.72M","0.47%"
"07/02/2026","2.15","2.13","2.15","2.12","4.43M","1.42%"
"07/01/2026","2.12","2.16","2.18","2.12","4.78M","-0.93%"
"06/30/2026","2.14","2.19","2.20","2.14","3.05M","-1.83%"
"06/29/2026","2.18","2.22","2.22","2.17","3.92M","-1.80%"
"06/26/2026","2.22","2.22","2.23","2.17","5.31M","0.00%"
"06/25/2026","2.22","2.27","2.28","2.22","6.89M","-2.20%"
"06/24/2026","2.27","2.26","2.28","2.25","2.90M","0.00%"
"06/23/2026","2.27","2.27","2.28","2.23","8.12M","0.44%"
"06/22/2026","2.26","2.26","2.33","2.26","25.80M","0.00%"
"06/19/2026","2.26","2.26","2.28","2.23","23.62M","0.00%"
"06/18/2026","2.26","2.22","2.32","2.21","34.00M","2.26%"
"06/17/2026","2.21","2.22","2.22","2.18","3.70M","0.00%"
"06/16/2026","2.21","2.26","2.28","2.19","20.85M","-0.90%"
"06/12/2026","2.23","2.22","2.25","2.19","23.77M","2.29%"
"06/11/2026","2.18","2.26","2.28","2.18","21.41M","-1.36%"
"06/10/2026","2.21","2.12","2.22","2.11","22.30M","3.76%"
"06/09/2026","2.13","2.10","2.16","2.09","11.30M","3.90%"
"06/08/2026","2.05","2.07","2.09","2.02","7.71M","-2.84%"
"06/05/2026","2.11","2.10","2.14","2.09","3.51M","0.96%"
"06/04/2026","2.09","2.09","2.11","2.06","4.68M","0.48%"
"06/03/2026","2.08","2.12","2.13","2.05","4.75M","-2.35%"
"06/02/2026","2.13","2.18","2.19","2.11","6.80M","-2.29%"
"06/01/2026","2.18","2.13","2.21","2.08","15.78M","2.35%"
"05/25/2026","2.13","2.14","2.17","2.12","8.43M","1.43%"
"05/22/2026","2.10","2.09","2.14","2.05","16.61M","0.96%"
"05/21/2026","2.08","2.00","2.08","1.99","7.17M","5.05%"
"05/20/2026","1.98","1.97","1.99","1.95","2.33M","-0.50%"
"05/19/2026","1.99","1.95","2.00","1.95","5.33M","3.65%"
"05/18/2026","1.92","2.00","2.00","1.92","11.79M","-4.95%"
"05/15/2026","2.02","2.03","2.04","1.98","5.40M","-0.49%"
"05/14/2026","2.03","2.03","2.05","2.02","2.51M","-0.98%"
"05/13/2026","2.05","2.05","2.08","2.02","5.89M","0.00%"
"05/12/2026","2.05","2.08","2.10","2.04","6.95M","-1.44%"
"05/11/2026","2.08","2.08","2.10","2.06","3.30M","0.00%"
"05/08/2026","2.08","2.10","2.11","2.08","5.38M","-2.35%"
"05/07/2026","2.13","2.14","2.15","2.09","22.02M","0.00%"
"05/06/2026","2.13","2.10","2.13","2.08","25.31M","3.40%"
"05/05/2026","2.06","2.06","2.08","2.03","6.01M","-2.83%"
"05/04/2026","2.12","2.10","2.15","2.10","22.46M","2.91%"
"05/01/2026","2.06","2.05","2.07","2.02","4.75M","0.98%"
"04/30/2026","2.04","2.09","2.09","2.04","6.94M","-2.86%"
"04/29/2026","2.10","2.08","2.11","2.07","4.34M","1.45%"
"04/28/2026","2.07","2.09","2.12","2.07","5.82M","-0.96%"
"04/27/2026","2.09","2.07","2.14","2.07","6.31M","1.95%"
"04/24/2026","2.05","2.03","2.08","2.03","4.80M","-1.91%"
"04/23/2026","2.09","2.05","2.09","2.05","6.75M","1.95%"
"04/22/2026","2.05","2.16","2.16","2.05","11.36M","-4.65%"
"04/21/2026","2.15","2.14","2.17","2.13","7.88M","0.94%"
"04/20/2026","2.13","2.18","2.19","2.13","17.65M","-3.18%"
"04/17/2026","2.20","2.20","2.22","2.17","13.78M","0.92%"
"04/16/2026","2.18","2.16","2.24","2.16","26.09M","1.40%"
"04/15/2026","2.15","2.09","2.19","2.09","22.79M","3.37%"
"04/14/2026","2.08","2.06","2.09","2.06","7.79M","1.96%"
"04/13/2026","2.04","2.02","2.04","1.98","5.79M","0.00%"
"04/10/2026","2.04","2.04","2.06","2.04","4.54M","0.99%"
"04/09/2026","2.02","2.08","2.09","2.02","10.86M","-2.88%"
"04/08/2026","2.08","2.05","2.12","2.04","33.98M","8.33%"
"04/07/2026","1.92","1.90","1.93","1.90","6.12M","0.52%"
"04/06/2026","1.91","1.89","1.97","1.87","8.58M","0.00%"
"04/03/2026","1.91","1.94","1.94","1.90","4.65M","-1.55%"
"04/02/2026","1.94","1.95","1.98","1.92","6.81M","-2.02%"
"04/01/2026","1.98","1.96","2.05","1.95","11.04M","3.13%"
"03/31/2026","1.92","1.97","1.99","1.91","8.80M","-2.04%"
"03/30/2026","1.96","1.97","2.01","1.96","3.80M","-2.97%"
"03/27/2026","2.02","1.95","2.02","1.95","9.13M","3.06%"
"03/26/2026","1.96","2.08","2.08","1.96","12.56M","-4.85%"
"03/25/2026","2.06","2.07","2.10","2.05","21.05M","0.49%"
"03/24/2026","2.05","1.99","2.06","1.98","23.37M","5.13%"
"03/23/2026","1.95","1.89","1.97","1.87","15.01M","0.52%"
"03/18/2026","1.94","1.81","1.94","1.81","305.20M","8.38%"
"03/17/2026","1.79","1.65","1.79","1.63","21.13M","8.48%"
"03/16/2026","1.65","1.72","1.72","1.64","13.53M","-4.07%"
"03/13/2026","1.72","1.72","1.79","1.72","14.58M","-2.82%"
"03/12/2026","1.77","1.80","1.80","1.73","8.88M","-1.12%"
"03/11/2026","1.79","1.84","1.87","1.73","22.15M","-1.65%"
"03/10/2026","1.82","1.76","1.89","1.76","34.86M","3.41%"
"03/09/2026","1.76","1.84","1.84","1.76","15.58M","-4.86%"
"03/06/2026","1.85","1.91","1.91","1.83","20.06M","-3.14%"
"03/05/2026","1.91","1.81","1.93","1.81","73.19M","0.53%"
"03/04/2026","1.90","1.90","1.90","1.90","5.25M","-4.52%"
"02/27/2026","1.99","2.03","2.08","1.99","331.29M","-1.97%"
"02/26/2026","2.03","2.05","2.05","2.02","9.46M","-0.49%"
"02/25/2026","2.04","2.06","2.08","2.03","13.12M","-0.49%"
"02/24/2026","2.05","2.06","2.09","2.05","43.16M","-0.49%"
"02/23/2026","2.06","2.11","2.20","2.05","44.94M","1.48%"
"02/20/2026","2.03","1.96","2.07","1.96","28.33M","4.10%"
"02/19/2026","1.95","2.06","2.10","1.95","23.90M","-5.34%"
"02/18/2026","2.06","2.04","2.11","2.00","27.47M","0.49%"
