"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2026","2.970","2.960","2.980","2.910","81.00M","0.68%"
"06/30/2026","2.950","3.000","3.030","2.950","71.80M","-1.01%"
"06/29/2026","2.980","3.000","3.020","2.960","41.07M","-0.67%"
"06/28/2026","3.000","3.030","3.040","2.970","41.42M","-0.99%"
"06/25/2026","3.030","3.040","3.040","2.980","86.45M","0.33%"
"06/24/2026","3.020","3.040","3.060","3.000","42.76M","-0.66%"
"06/23/2026","3.040","3.100","3.120","3.030","51.02M","-1.62%"
"06/22/2026","3.090","3.140","3.140","3.070","56.57M","-0.96%"
"06/21/2026","3.120","3.030","3.140","3.020","89.95M","3.65%"
"06/17/2026","3.010","3.000","3.020","2.980","46.83M","0.67%"
"06/16/2026","2.990","3.030","3.050","2.990","42.96M","-0.99%"
"06/15/2026","3.020","3.070","3.100","2.990","74.00M","-1.31%"
"06/14/2026","3.060","3.040","3.060","3.000","33.56M","3.03%"
"06/11/2026","2.970","3.040","3.050","2.960","49.20M","-2.62%"
"06/10/2026","3.050","3.130","3.150","3.040","35.54M","-2.56%"
"06/09/2026","3.130","3.050","3.130","3.050","60.66M","3.30%"
"06/08/2026","3.030","3.040","3.080","3.030","42.30M","-0.98%"
"06/07/2026","3.060","3.120","3.120","3.060","55.68M","-1.61%"
"06/04/2026","3.110","3.140","3.150","3.110","57.52M","-0.32%"
"06/03/2026","3.120","3.200","3.210","3.120","121.87M","-2.50%"
"06/02/2026","3.200","3.170","3.230","3.160","86.51M","1.27%"
"06/01/2026","3.160","3.110","3.170","3.100","50.20M","2.60%"
"05/25/2026","3.080","3.080","3.120","3.070","60.87M","0.33%"
"05/24/2026","3.070","3.070","3.110","3.060","58.64M","0.99%"
"05/21/2026","3.040","3.090","3.110","3.030","85.18M","-0.65%"
"05/20/2026","3.060","3.170","3.220","3.060","96.78M","-3.16%"
"05/19/2026","3.160","3.160","3.220","3.150","43.58M","-0.32%"
"05/18/2026","3.170","3.250","3.260","3.110","85.77M","-2.46%"
"05/17/2026","3.250","3.270","3.320","3.240","101.12M","0.31%"
"05/14/2026","3.240","3.160","3.250","3.150","95.52M","2.86%"
"05/13/2026","3.150","3.210","3.230","3.140","46.39M","-1.56%"
