"Date","Price","Open","High","Low","Vol.","Change %"
"07/19/2026","1.940","1.930","1.970","1.920","67.77M","0.52%"
"07/16/2026","1.930","1.870","1.930","1.860","81.53M","3.21%"
"07/15/2026","1.870","1.850","1.870","1.840","15.62M","1.08%"
"07/14/2026","1.850","1.860","1.890","1.830","32.45M","0.00%"
"07/13/2026","1.850","1.810","1.860","1.810","44.71M","3.35%"
"07/12/2026","1.790","1.790","1.790","1.770","8.43M","0.56%"
"07/09/2026","1.780","1.790","1.800","1.770","6.92M","-0.56%"
"07/08/2026","1.790","1.790","1.810","1.780","14.03M","0.00%"
"07/07/2026","1.790","1.770","1.810","1.760","21.81M","1.70%"
"07/06/2026","1.760","1.740","1.780","1.740","19.81M","1.15%"
"07/05/2026","1.740","1.740","1.750","1.730","8.06M","0.58%"
"07/01/2026","1.730","1.740","1.750","1.710","13.10M","0.00%"
"06/30/2026","1.730","1.730","1.750","1.710","9.50M","0.58%"
"06/29/2026","1.720","1.720","1.730","1.710","7.88M","0.58%"
"06/28/2026","1.710","1.760","1.770","1.710","16.57M","-2.84%"
"06/25/2026","1.760","1.780","1.790","1.760","10.69M","-1.12%"
"06/24/2026","1.780","1.810","1.820","1.760","21.50M","-1.11%"
"06/23/2026","1.800","1.820","1.830","1.790","12.71M","-1.10%"
"06/22/2026","1.820","1.840","1.850","1.800","13.87M","-0.55%"
"06/21/2026","1.830","1.850","1.860","1.830","17.10M","-0.54%"
"06/17/2026","1.840","1.860","1.870","1.840","23.70M","-1.08%"
"06/16/2026","1.860","1.810","1.860","1.810","35.15M","3.33%"
"06/15/2026","1.800","1.790","1.840","1.780","31.50M","1.12%"
"06/14/2026","1.780","1.780","1.790","1.750","15.07M","2.30%"
"06/11/2026","1.740","1.770","1.790","1.740","11.83M","-1.69%"
"06/10/2026","1.770","1.820","1.830","1.770","18.52M","-2.75%"
"06/09/2026","1.820","1.830","1.840","1.820","9.89M","0.55%"
"06/08/2026","1.810","1.830","1.840","1.810","11.45M","-1.09%"
"06/07/2026","1.830","1.870","1.870","1.830","20.82M","-1.61%"
"06/04/2026","1.860","1.820","1.880","1.800","39.52M","2.20%"
"06/03/2026","1.820","1.810","1.830","1.800","19.31M","0.55%"
"06/02/2026","1.810","1.790","1.840","1.770","31.90M","1.69%"
"06/01/2026","1.780","1.760","1.790","1.750","19.64M","1.71%"
"05/25/2026","1.750","1.750","1.770","1.740","17.91M","0.00%"
"05/24/2026","1.750","1.750","1.770","1.730","16.85M","1.16%"
"05/21/2026","1.730","1.740","1.760","1.710","50.38M","0.00%"
"05/20/2026","1.730","1.860","1.880","1.730","106.82M","-6.49%"
"05/19/2026","1.850","1.860","1.880","1.750","43.65M","0.00%"
"05/18/2026","1.850","1.870","1.890","1.850","17.49M","-0.54%"
"05/17/2026","1.860","1.900","1.910","1.860","28.46M","-1.59%"
"05/14/2026","1.890","1.930","1.940","1.890","41.34M","-2.07%"
"05/13/2026","1.930","1.930","1.940","1.910","19.33M","0.52%"
"05/12/2026","1.920","1.950","1.960","1.920","21.28M","-1.03%"
"05/11/2026","1.940","1.980","1.980","1.930","29.18M","-1.52%"
"05/10/2026","1.970","1.920","1.980","1.920","49.10M","3.14%"
"05/06/2026","1.910","1.950","1.970","1.900","61.59M","-1.55%"
"05/05/2026","1.940","1.950","1.970","1.900","33.13M","-0.51%"
"05/04/2026","1.950","1.990","1.990","1.920","30.34M","-1.02%"
"05/03/2026","1.970","2.000","2.020","1.960","45.35M","-1.50%"
"04/30/2026","2.000","2.080","2.140","1.960","118.68M","-3.85%"
"04/29/2026","2.080","2.040","2.080","2.010","40.10M","1.96%"
"04/28/2026","2.040","2.100","2.100","2.030","50.10M","-2.86%"
"04/27/2026","2.100","2.020","2.100","2.020","83.49M","5.00%"
"04/26/2026","2.000","1.950","2.000","1.940","33.85M","3.09%"
"04/23/2026","1.940","1.960","2.010","1.940","40.99M","-1.02%"
"04/22/2026","1.960","1.910","1.980","1.890","61.70M","3.16%"
"04/21/2026","1.900","1.940","1.950","1.890","33.74M","-1.04%"
"04/20/2026","1.920","1.950","1.960","1.890","60.57M","-1.03%"
"04/19/2026","1.940","2.010","2.020","1.930","30.76M","-3.48%"
"04/16/2026","2.010","2.030","2.070","1.990","40.16M","-0.99%"
"04/15/2026","2.030","1.970","2.070","1.930","65.63M","3.57%"
"04/14/2026","1.960","1.990","2.040","1.950","42.98M","-1.51%"
"04/12/2026","1.990","1.870","1.990","1.990","97.35M","0.00%"
"04/09/2026","1.990","1.880","2.000","1.880","97.35M","6.42%"
"04/08/2026","1.870","1.860","1.910","1.860","24.71M","1.63%"
"04/07/2026","1.840","1.880","1.880","1.830","18.05M","-1.08%"
"04/06/2026","1.860","1.800","1.920","1.790","142.09M","3.33%"
"04/05/2026","1.800","1.750","1.820","1.730","39.47M","2.86%"
"04/02/2026","1.750","1.760","1.760","1.740","8.44M","-0.57%"
"04/01/2026","1.760","1.770","1.800","1.730","13.19M","0.00%"
"03/31/2026","1.760","1.730","1.780","1.730","14.19M","1.73%"
"03/30/2026","1.730","1.730","1.800","1.720","56.29M","0.58%"
"03/29/2026","1.720","1.710","1.760","1.670","35.14M","1.18%"
"03/26/2026","1.700","1.740","1.750","1.690","28.07M","-2.30%"
"03/25/2026","1.740","1.780","1.780","1.730","21.54M","-1.69%"
"03/24/2026","1.770","1.810","1.810","1.750","42.28M","-1.67%"
"03/18/2026","1.800","1.850","1.860","1.790","18.06M","-2.70%"
"03/17/2026","1.850","1.770","1.890","1.770","46.02M","3.93%"
"03/16/2026","1.780","1.770","1.790","1.760","7.29M","0.56%"
"03/15/2026","1.770","1.820","1.830","1.770","10.94M","-2.21%"
"03/12/2026","1.810","1.810","1.860","1.810","23.29M","-0.55%"
"03/11/2026","1.820","1.850","1.860","1.810","26.21M","-1.62%"
"03/10/2026","1.850","1.760","1.860","1.750","62.70M","5.71%"
"03/09/2026","1.750","1.780","1.800","1.710","19.09M","-1.69%"
"03/08/2026","1.780","1.690","1.800","1.680","42.72M","5.33%"
"03/05/2026","1.690","1.690","1.720","1.680","8.90M","0.60%"
"03/04/2026","1.680","1.640","1.700","1.640","17.70M","2.44%"
"03/03/2026","1.640","1.610","1.640","1.590","13.50M","1.86%"
"03/02/2026","1.610","1.590","1.620","1.580","3.48M","1.90%"
"03/01/2026","1.580","1.570","1.600","1.450","10.91M","-2.47%"
"02/26/2026","1.620","1.630","1.630","1.600","6.69M","0.00%"
"02/25/2026","1.620","1.680","1.680","1.600","13.01M","-2.99%"
"02/24/2026","1.670","1.680","1.690","1.660","6.27M","0.00%"
"02/23/2026","1.670","1.660","1.680","1.650","4.36M","1.21%"
"02/22/2026","1.650","1.700","1.710","1.650","10.46M","-1.79%"
"02/19/2026","1.680","1.730","1.740","1.670","15.85M","-2.89%"
"02/18/2026","1.730","1.730","1.740","1.710","8.10M","0.58%"
"02/17/2026","1.720","1.740","1.740","1.710","7.11M","-0.58%"
"02/16/2026","1.730","1.760","1.760","1.730","4.83M","-1.14%"
"02/15/2026","1.750","1.750","1.760","1.730","9.57M","0.00%"
"02/12/2026","1.750","1.710","1.750","1.700","7.65M","2.34%"
"02/11/2026","1.710","1.780","1.780","1.700","16.56M","-3.39%"
"02/10/2026","1.770","1.770","1.780","1.760","6.69M","0.00%"
"02/09/2026","1.770","1.760","1.780","1.760","20.34M","0.57%"
"02/08/2026","1.760","1.760","1.760","1.740","8.07M","0.57%"
"02/05/2026","1.750","1.750","1.760","1.720","20.07M","0.57%"
"02/04/2026","1.740","1.720","1.760","1.710","18.98M","1.75%"
"02/03/2026","1.710","1.710","1.730","1.700","8.79M","0.00%"
"02/02/2026","1.710","1.720","1.730","1.700","5.83M","-0.58%"
"02/01/2026","1.720","1.700","1.730","1.670","25.50M","1.78%"
"01/28/2026","1.690","1.700","1.710","1.640","18.92M","0.00%"
"01/27/2026","1.690","1.720","1.750","1.680","44.80M","-1.17%"
"01/26/2026","1.710","1.670","1.720","1.660","29.55M","2.40%"
"01/25/2026","1.670","1.690","1.700","1.660","8.90M","-0.60%"
"01/22/2026","1.680","1.700","1.710","1.680","8.81M","-1.18%"
"01/21/2026","1.700","1.690","1.700","1.670","10.27M","0.59%"
"01/20/2026","1.690","1.720","1.730","1.680","10.73M","-1.17%"
"01/19/2026","1.710","1.680","1.720","1.660","30.59M","2.40%"
"01/18/2026","1.670","1.670","1.700","1.650","8.50M","1.21%"
"01/15/2026","1.650","1.640","1.710","1.620","38.14M","-0.60%"
"01/14/2026","1.660","1.720","1.720","1.620","20.97M","-3.49%"
"01/13/2026","1.720","1.750","1.760","1.700","28.87M","-1.71%"
"01/12/2026","1.750","1.780","1.790","1.740","21.68M","-1.13%"
"01/11/2026","1.770","1.800","1.820","1.740","92.40M","0.00%"
"01/08/2026","1.770","1.740","1.770","1.730","13.00M","1.72%"
"01/06/2026","1.740","1.730","1.740","1.720","4.12M","0.58%"
"01/05/2026","1.730","1.750","1.760","1.710","13.17M","-1.14%"
"01/04/2026","1.750","1.780","1.780","1.740","9.94M","-1.13%"
"12/31/2025","1.770","1.750","1.780","1.750","18.56M","1.14%"
"12/30/2025","1.750","1.760","1.770","1.740","14.01M","0.00%"
"12/29/2025","1.750","1.780","1.790","1.740","11.91M","-1.13%"
"12/28/2025","1.770","1.730","1.780","1.720","46.61M","2.31%"
"12/25/2025","1.730","1.730","1.730","1.710","8.13M","0.58%"
"12/24/2025","1.720","1.730","1.740","1.710","9.55M","0.00%"
"12/23/2025","1.720","1.750","1.760","1.700","23.97M","-1.15%"
"12/22/2025","1.740","1.740","1.770","1.730","14.16M","0.58%"
"12/21/2025","1.730","1.750","1.750","1.720","16.44M","0.00%"
"12/18/2025","1.730","1.750","1.760","1.720","27.50M","0.00%"
"12/17/2025","1.730","1.770","1.780","1.730","19.95M","-2.26%"
"12/16/2025","1.770","1.820","1.830","1.760","32.34M","-2.75%"
"12/15/2025","1.820","1.830","1.830","1.800","21.26M","0.00%"
"12/14/2025","1.820","1.820","1.830","1.800","11.41M","0.55%"
"12/11/2025","1.810","1.840","1.850","1.800","19.95M","-1.09%"
"12/10/2025","1.830","1.810","1.860","1.800","32.38M","1.67%"
"12/09/2025","1.800","1.830","1.850","1.790","35.10M","-0.55%"
"12/08/2025","1.810","1.780","1.880","1.770","133.90M","2.84%"
"12/07/2025","1.760","1.760","1.780","1.740","12.11M","0.57%"
"12/04/2025","1.750","1.780","1.790","1.740","11.06M","-1.69%"
"12/03/2025","1.780","1.790","1.810","1.770","4.63M","-0.56%"
"12/02/2025","1.790","1.780","1.820","1.770","26.09M","0.56%"
"12/01/2025","1.780","1.730","1.790","1.690","38.69M","2.89%"
"11/30/2025","1.730","1.750","1.760","1.720","12.04M","-1.14%"
"11/27/2025","1.750","1.770","1.770","1.730","9.61M","-0.57%"
"11/26/2025","1.760","1.770","1.780","1.750","9.33M","0.00%"
"11/25/2025","1.760","1.800","1.810","1.750","12.16M","-1.68%"
"11/24/2025","1.790","1.760","1.810","1.730","22.48M","2.29%"
"11/23/2025","1.750","1.830","1.830","1.750","26.09M","-4.37%"
"11/20/2025","1.830","1.780","1.830","1.760","26.89M","2.81%"
"11/19/2025","1.780","1.840","1.840","1.740","41.23M","-2.73%"
"11/18/2025","1.830","1.880","1.880","1.830","8.49M","-2.14%"
"11/17/2025","1.870","1.870","1.880","1.850","18.23M","0.54%"
"11/16/2025","1.860","1.880","1.920","1.860","16.46M","-1.06%"
"11/13/2025","1.880","1.900","1.900","1.850","30.75M","-0.53%"
"11/12/2025","1.890","1.920","1.950","1.880","34.43M","-1.05%"
"11/11/2025","1.910","1.970","1.980","1.890","46.05M","-2.55%"
"11/10/2025","1.960","1.950","1.980","1.930","41.29M","1.55%"
"11/09/2025","1.930","1.980","1.990","1.920","30.72M","-2.53%"
"11/06/2025","1.980","1.910","2.050","1.840","72.34M","4.58%"
"11/05/2025","1.893","1.953","1.960","1.893","33.83M","-2.74%"
"11/04/2025","1.947","1.900","1.947","1.900","38.26M","2.10%"
"11/03/2025","1.907","1.887","1.907","1.867","30.14M","0.70%"
"11/02/2025","1.893","1.927","1.933","1.880","18.69M","-1.39%"
"10/30/2025","1.920","1.860","1.920","1.860","46.44M","3.23%"
"10/29/2025","1.860","1.833","1.880","1.827","31.08M","1.82%"
"10/28/2025","1.827","1.860","1.860","1.813","23.90M","-0.72%"
"10/27/2025","1.840","1.873","1.873","1.840","9.77M","-1.08%"
"10/26/2025","1.860","1.813","1.867","1.813","27.02M","2.95%"
"10/23/2025","1.807","1.820","1.827","1.800","7.33M","0.00%"
"10/22/2025","1.807","1.820","1.820","1.800","14.97M","-0.73%"
"10/21/2025","1.820","1.820","1.827","1.787","11.20M","0.00%"
"10/20/2025","1.820","1.833","1.833","1.787","15.15M","-0.36%"
"10/19/2025","1.827","1.827","1.847","1.807","24.40M","0.37%"
"10/16/2025","1.820","1.747","1.833","1.747","63.20M","4.20%"
"10/15/2025","1.747","1.733","1.767","1.727","21.15M","1.16%"
"10/14/2025","1.727","1.780","1.787","1.727","24.57M","-2.63%"
"10/13/2025","1.773","1.793","1.800","1.747","33.32M","-0.75%"
"10/12/2025","1.787","1.753","1.800","1.740","31.27M","1.52%"
"10/08/2025","1.760","1.693","1.773","1.687","55.81M","3.94%"
"10/07/2025","1.693","1.693","1.700","1.660","22.53M","0.00%"
"10/06/2025","1.693","1.720","1.727","1.693","20.85M","-1.17%"
"10/05/2025","1.713","1.713","1.740","1.707","21.22M","0.39%"
"10/02/2025","1.707","1.707","1.713","1.680","12.19M","0.39%"
