"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2026","27.34","27.43","27.77","27.10","630.47K","0.15%"
"06/30/2026","27.30","27.18","27.45","27.00","2.36M","0.85%"
"06/29/2026","27.07","25.85","27.20","25.85","3.41M","4.80%"
"06/28/2026","25.83","26.80","26.95","25.50","2.28M","-3.62%"
"06/25/2026","26.80","27.65","27.73","26.67","1.50M","-2.76%"
"06/24/2026","27.56","27.60","27.78","27.40","817.73K","-0.07%"
"06/23/2026","27.58","28.16","28.17","27.53","879.29K","-1.75%"
"06/22/2026","28.07","28.00","28.07","27.75","658.98K","0.43%"
"06/21/2026","27.95","28.20","28.39","27.80","1.22M","-1.10%"
"06/17/2026","28.26","28.30","28.50","28.16","1.34M","-0.46%"
"06/16/2026","28.39","28.85","28.86","28.20","1.16M","-1.42%"
"06/15/2026","28.80","28.74","28.98","28.53","5.40M","0.38%"
"06/14/2026","28.69","28.00","28.80","27.90","1.06M","4.33%"
"06/11/2026","27.50","27.75","27.75","27.06","1.00M","-1.08%"
"06/10/2026","27.80","28.10","28.16","27.76","1.50M","-1.03%"
"06/09/2026","28.09","28.40","28.60","27.90","1.45M","-1.06%"
"06/08/2026","28.39","28.75","28.75","28.16","21.11M","-1.97%"
"06/07/2026","28.96","29.00","29.08","28.61","694.95K","-0.41%"
"06/04/2026","29.08","29.15","29.25","28.90","1.88M","-0.10%"
"06/03/2026","29.11","29.33","29.33","28.80","1.43M","-0.31%"
"06/02/2026","29.20","29.10","29.40","28.95","3.69M","0.34%"
"06/01/2026","29.10","28.92","29.15","28.79","1.02M","0.80%"
"05/25/2026","28.87","28.89","29.00","28.50","791.87K","0.07%"
"05/24/2026","28.85","28.18","29.00","28.15","1.67M","2.52%"
"05/21/2026","28.14","27.96","28.15","27.49","1.46M","1.52%"
"05/20/2026","27.72","28.13","28.19","27.55","935.21K","-1.00%"
"05/19/2026","28.00","28.00","28.20","27.87","1.38M","0.50%"
"05/18/2026","27.86","27.83","28.29","27.78","2.77M","0.25%"
"05/17/2026","27.79","28.09","28.15","27.75","757.79K","-0.93%"
