"Date","Price","Open","High","Low","Vol.","Change %"
"08/05/2026","2.190","2.180","2.210","2.180","20.53M","0.46%"
"08/04/2026","2.180","2.180","2.220","2.160","43.80M","0.46%"
"08/03/2026","2.170","2.170","2.210","2.170","15.95M","0.46%"
"08/02/2026","2.160","2.150","2.170","2.140","8.22M","0.93%"
"07/30/2026","2.140","2.170","2.180","2.120","21.07M","-1.38%"
"07/29/2026","2.170","2.210","2.210","2.160","20.86M","-1.36%"
"07/28/2026","2.200","2.220","2.230","2.190","15.34M","-0.45%"
"07/27/2026","2.210","2.220","2.240","2.200","15.20M","0.00%"
"07/26/2026","2.210","2.230","2.250","2.200","21.34M","-0.90%"
"07/22/2026","2.230","2.250","2.250","2.210","19.99M","0.00%"
"07/21/2026","2.230","2.230","2.270","2.230","34.68M","0.45%"
"07/20/2026","2.220","2.280","2.280","2.210","65.30M","-1.77%"
"07/19/2026","2.260","2.220","2.320","2.220","108.90M","2.73%"
"07/16/2026","2.200","2.250","2.260","2.200","50.17M","-1.35%"
"07/15/2026","2.230","2.150","2.250","2.150","92.61M","4.21%"
"07/14/2026","2.140","2.160","2.170","2.140","35.53M","-0.93%"
"07/13/2026","2.160","2.180","2.210","2.160","59.37M","0.47%"
"07/12/2026","2.150","2.110","2.180","2.100","45.69M","2.38%"
"07/09/2026","2.100","2.110","2.110","2.090","3.63M","0.48%"
"07/08/2026","2.090","2.120","2.130","2.080","4.67M","-0.95%"
"07/07/2026","2.110","2.120","2.140","2.100","11.82M","0.00%"
"07/06/2026","2.110","2.100","2.140","2.100","9.75M","1.44%"
"07/05/2026","2.080","2.100","2.120","2.080","5.67M","-0.95%"
"07/01/2026","2.100","2.080","2.100","2.080","5.42M","0.96%"
"06/30/2026","2.080","2.070","2.090","2.040","8.90M","0.97%"
"06/29/2026","2.060","2.080","2.100","2.050","8.18M","-1.44%"
"06/28/2026","2.090","2.110","2.120","2.070","4.55M","-0.48%"
"06/25/2026","2.100","2.130","2.130","2.100","5.87M","-1.41%"
"06/24/2026","2.130","2.120","2.130","2.100","6.59M","0.47%"
"06/23/2026","2.120","2.120","2.130","2.090","9.81M","0.47%"
"06/22/2026","2.110","2.140","2.150","2.110","7.24M","-1.40%"
"06/21/2026","2.140","2.140","2.150","2.130","3.16M","0.47%"
"06/17/2026","2.130","2.140","2.150","2.130","6.16M","-0.47%"
"06/16/2026","2.140","2.110","2.150","2.110","8.35M","1.90%"
"06/15/2026","2.100","2.130","2.130","2.100","5.44M","-0.47%"
"06/14/2026","2.110","2.100","2.130","2.100","5.04M","1.93%"
"06/11/2026","2.070","2.120","2.130","2.060","12.98M","-2.82%"
"06/10/2026","2.130","2.170","2.180","2.130","6.98M","-1.39%"
"06/09/2026","2.160","2.150","2.180","2.150","6.69M","0.93%"
"06/08/2026","2.140","2.160","2.180","2.140","9.11M","-1.83%"
"06/07/2026","2.180","2.180","2.200","2.170","10.30M","0.46%"
"06/04/2026","2.170","2.120","2.190","2.120","22.00M","2.36%"
"06/03/2026","2.120","2.130","2.140","2.110","8.00M","0.00%"
"06/02/2026","2.120","2.130","2.130","2.110","8.69M","0.00%"
"06/01/2026","2.120","2.120","2.140","2.110","6.81M","0.47%"
"05/25/2026","2.110","2.070","2.110","2.070","9.50M","1.93%"
"05/24/2026","2.070","2.100","2.120","2.060","22.31M","-0.96%"
"05/21/2026","2.090","2.120","2.120","2.080","11.10M","-0.95%"
"05/20/2026","2.110","2.150","2.160","2.110","14.09M","-1.40%"
"05/19/2026","2.140","2.160","2.170","2.140","11.24M","-0.47%"
"05/18/2026","2.150","2.190","2.200","2.150","18.87M","-1.83%"
"05/17/2026","2.190","2.230","2.240","2.190","15.27M","-1.35%"
"05/14/2026","2.220","2.200","2.250","2.190","31.44M","0.91%"
"05/13/2026","2.200","2.200","2.210","2.190","7.64M","0.00%"
"05/12/2026","2.200","2.200","2.210","2.190","11.51M","0.46%"
"05/11/2026","2.190","2.220","2.220","2.190","8.31M","-0.90%"
"05/10/2026","2.210","2.200","2.220","2.190","7.54M","0.91%"
"05/06/2026","2.190","2.210","2.230","2.190","17.78M","-0.45%"
"05/05/2026","2.200","2.210","2.220","2.180","16.28M","0.00%"
"05/04/2026","2.200","2.240","2.250","2.190","18.12M","-1.35%"
"05/03/2026","2.230","2.220","2.250","2.190","17.50M","0.90%"
"04/30/2026","2.210","2.240","2.260","2.200","18.33M","-0.90%"
"04/29/2026","2.230","2.240","2.260","2.220","13.67M","-0.45%"
"04/28/2026","2.240","2.270","2.290","2.230","48.16M","0.45%"
"04/27/2026","2.230","2.190","2.240","2.170","38.01M","2.76%"
"04/26/2026","2.170","2.160","2.200","2.160","15.83M","0.93%"
"04/23/2026","2.150","2.140","2.170","2.130","14.12M","0.47%"
"04/22/2026","2.140","2.150","2.160","2.130","10.61M","0.00%"
"04/21/2026","2.140","2.140","2.160","2.140","8.20M","0.00%"
"04/20/2026","2.140","2.170","2.180","2.130","15.35M","-1.38%"
"04/19/2026","2.170","2.190","2.200","2.160","13.60M","0.00%"
"04/16/2026","2.170","2.120","2.200","2.110","33.65M","3.33%"
"04/15/2026","2.100","2.070","2.130","2.070","31.50M","1.45%"
"04/14/2026","2.070","2.060","2.090","2.060","13.88M","0.49%"
"04/12/2026","2.060","2.060","2.060","2.060","5.57M","0.00%"
"04/09/2026","2.060","2.070","2.080","2.050","5.57M","0.00%"
"04/08/2026","2.060","2.080","2.090","2.060","7.07M","0.00%"
"04/07/2026","2.060","2.070","2.080","2.050","6.93M","-0.48%"
"04/06/2026","2.070","2.060","2.080","2.050","7.57M","0.49%"
"04/05/2026","2.060","2.070","2.080","2.050","8.28M","0.00%"
"04/02/2026","2.060","2.080","2.090","2.060","6.29M","-0.96%"
"04/01/2026","2.080","2.070","2.110","2.050","14.27M","1.46%"
"03/31/2026","2.050","2.050","2.080","2.040","7.42M","0.00%"
"03/30/2026","2.050","2.080","2.100","2.040","9.66M","-0.97%"
"03/29/2026","2.070","2.120","2.130","2.070","7.25M","-2.36%"
"03/26/2026","2.120","2.120","2.140","2.110","5.97M","0.00%"
"03/25/2026","2.120","2.100","2.150","2.080","6.09M","1.44%"
"03/24/2026","2.090","2.110","2.120","2.090","4.18M","-0.48%"
"03/18/2026","2.100","2.090","2.120","2.080","4.71M","0.96%"
"03/17/2026","2.080","2.060","2.090","2.060","1.85M","0.97%"
"03/16/2026","2.060","2.080","2.090","2.050","4.87M","-0.96%"
"03/15/2026","2.080","2.130","2.130","2.080","5.02M","-1.89%"
"03/12/2026","2.120","2.160","2.160","2.120","4.35M","-1.40%"
"03/11/2026","2.150","2.180","2.180","2.150","4.39M","-0.92%"
"03/10/2026","2.170","2.160","2.180","2.150","4.49M","0.46%"
"03/09/2026","2.160","2.190","2.200","2.160","7.14M","-0.46%"
"03/08/2026","2.170","2.120","2.210","2.120","12.95M","2.36%"
"03/05/2026","2.120","2.080","2.130","2.070","12.31M","2.42%"
"03/04/2026","2.070","2.040","2.070","2.010","10.40M","1.97%"
"03/03/2026","2.030","2.040","2.040","2.000","6.31M","-0.49%"
"03/02/2026","2.040","2.030","2.060","2.010","5.45M","0.49%"
"03/01/2026","2.030","1.990","2.040","1.900","13.46M","-2.40%"
"02/26/2026","2.080","2.060","2.080","2.030","13.57M","1.46%"
"02/25/2026","2.050","2.100","2.110","2.040","9.71M","-1.91%"
"02/24/2026","2.090","2.120","2.130","2.080","10.12M","-1.42%"
"02/23/2026","2.120","2.050","2.120","2.050","21.58M","3.41%"
"02/22/2026","2.050","2.170","2.190","2.030","60.12M","-4.65%"
"02/19/2026","2.150","2.260","2.270","2.110","41.49M","-4.44%"
"02/18/2026","2.250","2.250","2.280","2.230","26.62M","0.00%"
"02/17/2026","2.250","2.290","2.290","2.240","21.11M","-1.32%"
"02/16/2026","2.280","2.320","2.330","2.270","13.63M","-1.30%"
"02/15/2026","2.310","2.310","2.330","2.300","19.76M","0.43%"
"02/12/2026","2.300","2.300","2.310","2.270","20.39M","0.44%"
"02/11/2026","2.290","2.330","2.340","2.290","23.20M","-1.29%"
"02/10/2026","2.320","2.300","2.410","2.300","81.81M","0.87%"
"02/09/2026","2.300","2.300","2.300","2.280","8.25M","0.44%"
"02/08/2026","2.290","2.300","2.320","2.280","12.51M","0.44%"
"02/05/2026","2.280","2.310","2.320","2.280","18.92M","-0.87%"
"02/04/2026","2.300","2.320","2.340","2.300","19.44M","-0.86%"
"02/03/2026","2.320","2.270","2.320","2.260","24.33M","2.65%"
"02/02/2026","2.260","2.300","2.310","2.240","25.32M","-0.88%"
"02/01/2026","2.280","2.240","2.300","2.180","50.47M","2.70%"
"01/28/2026","2.220","2.430","2.500","2.200","152.20M","-8.64%"
"01/27/2026","2.430","2.530","2.550","2.420","53.16M","-3.57%"
"01/26/2026","2.520","2.600","2.610","2.520","34.90M","-2.70%"
"01/25/2026","2.590","2.660","2.670","2.560","43.61M","-2.63%"
"01/22/2026","2.660","2.730","2.750","2.660","26.56M","-1.85%"
"01/21/2026","2.710","2.720","2.740","2.660","18.40M","0.00%"
"01/20/2026","2.710","2.750","2.770","2.700","22.24M","-1.09%"
"01/19/2026","2.740","2.700","2.760","2.690","57.11M","1.86%"
"01/18/2026","2.690","2.670","2.700","2.640","17.60M","2.28%"
"01/15/2026","2.630","2.770","2.780","2.630","23.05M","-4.36%"
"01/14/2026","2.750","2.860","2.870","2.720","28.73M","-3.85%"
"01/13/2026","2.860","3.010","3.010","2.860","27.53M","-4.35%"
"01/12/2026","2.990","3.000","3.090","2.970","39.59M","0.67%"
"01/11/2026","2.970","3.030","3.050","2.940","28.60M","-1.00%"
"01/08/2026","3.000","3.200","3.210","3.000","54.79M","-5.36%"
"01/06/2026","3.170","3.140","3.360","3.120","88.26M","2.26%"
"01/05/2026","3.100","3.060","3.190","3.050","25.58M","1.97%"
"01/04/2026","3.040","3.140","3.230","3.040","21.93M","-2.25%"
"12/31/2025","3.110","2.870","3.300","2.860","76.28M","9.12%"
"12/30/2025","2.850","2.850","2.860","2.830","1.64M","0.71%"
"12/29/2025","2.830","2.870","2.880","2.830","2.74M","-1.05%"
"12/28/2025","2.860","2.830","2.940","2.820","11.66M","1.42%"
"12/25/2025","2.820","2.830","2.850","2.810","1.48M","0.00%"
"12/24/2025","2.820","2.850","2.860","2.810","1.86M","-1.05%"
"12/23/2025","2.850","2.760","2.860","2.750","4.61M","3.26%"
"12/22/2025","2.760","2.760","2.780","2.750","1.84M","0.36%"
"12/21/2025","2.750","2.780","2.790","2.740","2.55M","-0.72%"
"12/18/2025","2.770","2.810","2.820","2.770","2.97M","-1.42%"
"12/17/2025","2.810","2.830","2.830","2.790","2.18M","-0.71%"
"12/16/2025","2.830","2.850","2.890","2.820","3.47M","-0.70%"
"12/15/2025","2.850","2.820","2.880","2.810","5.23M","1.79%"
"12/14/2025","2.800","2.800","2.830","2.780","2.45M","0.36%"
"12/11/2025","2.790","2.750","2.860","2.750","10.86M","1.82%"
"12/10/2025","2.740","2.760","2.770","2.740","1.84M","-0.72%"
"12/09/2025","2.760","2.770","2.840","2.740","5.38M","0.36%"
"12/08/2025","2.750","2.790","2.790","2.750","1.57M","-1.08%"
"12/07/2025","2.780","2.740","2.790","2.720","3.04M","1.83%"
"12/04/2025","2.730","2.760","2.760","2.720","2.35M","-0.36%"
"12/03/2025","2.740","2.810","2.810","2.730","4.63M","-2.49%"
"12/02/2025","2.810","2.710","2.810","2.690","16.69M","4.46%"
"12/01/2025","2.690","2.690","2.720","2.680","1.46M","0.00%"
"11/30/2025","2.690","2.690","2.710","2.670","1.65M","0.00%"
"11/27/2025","2.690","2.680","2.690","2.670","1.43M","0.37%"
"11/26/2025","2.680","2.690","2.740","2.670","3.18M","-0.37%"
"11/25/2025","2.690","2.710","2.730","2.680","1.38M","-0.74%"
"11/24/2025","2.710","2.670","2.710","2.670","719.32K","1.50%"
"11/23/2025","2.670","2.720","2.720","2.670","2.06M","-1.11%"
"11/20/2025","2.700","2.720","2.730","2.690","1.43M","-0.74%"
"11/19/2025","2.720","2.710","2.740","2.700","2.02M","0.37%"
"11/18/2025","2.710","2.750","2.760","2.700","2.24M","-1.45%"
"11/17/2025","2.750","2.770","2.810","2.750","2.43M","-0.72%"
"11/16/2025","2.770","2.790","2.800","2.760","3.40M","-0.36%"
"11/13/2025","2.780","2.820","2.830","2.760","3.55M","-1.07%"
"11/12/2025","2.810","2.830","2.840","2.790","1.42M","-0.35%"
"11/11/2025","2.820","2.830","2.860","2.810","1.85M","0.00%"
"11/10/2025","2.820","2.860","2.870","2.810","2.12M","-1.05%"
"11/09/2025","2.850","2.920","2.940","2.850","7.11M","-0.35%"
"11/06/2025","2.860","2.790","2.960","2.770","17.49M","3.25%"
"11/05/2025","2.770","2.790","2.810","2.760","1.46M","-1.07%"
"11/04/2025","2.800","2.820","2.830","2.780","4.59M","0.00%"
"11/03/2025","2.800","2.810","2.840","2.790","1.82M","-0.36%"
"11/02/2025","2.810","2.840","2.870","2.800","1.84M","-0.35%"
"10/30/2025","2.820","2.810","2.860","2.790","2.79M","0.71%"
"10/29/2025","2.800","2.820","2.830","2.770","2.12M","-0.71%"
"10/28/2025","2.820","2.840","2.850","2.790","1.60M","0.00%"
"10/27/2025","2.820","2.900","2.900","2.810","4.60M","-2.08%"
"10/26/2025","2.880","2.880","2.930","2.850","4.82M","1.05%"
"10/23/2025","2.850","2.840","2.930","2.840","5.15M","1.06%"
"10/22/2025","2.820","2.810","2.940","2.810","6.92M","0.71%"
"10/21/2025","2.800","2.800","2.830","2.740","4.38M","0.72%"
"10/20/2025","2.780","2.910","2.930","2.780","5.80M","-4.47%"
"10/19/2025","2.910","2.770","3.040","2.760","16.39M","5.82%"
"10/16/2025","2.750","2.690","2.780","2.680","6.82M","3.00%"
"10/15/2025","2.670","2.680","2.690","2.670","1.65M","-0.37%"
"10/14/2025","2.680","2.690","2.700","2.670","1.71M","0.00%"
"10/13/2025","2.680","2.690","2.710","2.670","1.24M","-0.37%"
"10/12/2025","2.690","2.700","2.700","2.660","1.47M","0.75%"
"10/08/2025","2.670","2.690","2.690","2.660","766.49K","0.00%"
"10/07/2025","2.670","2.680","2.710","2.660","893.14K","0.00%"
"10/06/2025","2.670","2.700","2.700","2.670","1.12M","-1.11%"
"10/05/2025","2.700","2.710","2.720","2.680","929.48K","0.00%"
"10/02/2025","2.700","2.700","2.710","2.680","935.33K","0.75%"
"10/01/2025","2.680","2.710","2.720","2.670","928.32K","-0.74%"
"09/30/2025","2.700","2.720","2.730","2.700","1.24M","0.00%"
"09/29/2025","2.700","2.680","2.710","2.660","1.28M","1.12%"
"09/28/2025","2.670","2.650","2.680","2.640","675.15K","1.14%"
"09/25/2025","2.640","2.630","2.640","2.630","235.65K","0.76%"
"09/24/2025","2.620","2.630","2.640","2.610","444.94K","-0.38%"
"09/23/2025","2.630","2.620","2.650","2.620","341.36K","-0.38%"
"09/22/2025","2.640","2.640","2.640","2.610","563.24K","0.38%"
"09/21/2025","2.630","2.620","2.660","2.620","472.88K","0.77%"
"09/18/2025","2.610","2.620","2.640","2.610","360.00K","-0.38%"
"09/17/2025","2.620","2.640","2.650","2.600","865.73K","-0.76%"
"09/16/2025","2.640","2.670","2.680","2.600","807.72K","-1.12%"
"09/15/2025","2.670","2.700","2.700","2.660","506.46K","0.00%"
"09/14/2025","2.670","2.700","2.710","2.660","545.56K","-1.11%"
"09/11/2025","2.700","2.690","2.710","2.690","440.23K","0.00%"
"09/10/2025","2.700","2.690","2.710","2.670","666.11K","0.00%"
"09/09/2025","2.700","2.730","2.730","2.690","589.08K","0.00%"
"09/08/2025","2.700","2.720","2.730","2.690","783.56K","0.00%"
"09/07/2025","2.700","2.720","2.750","2.690","1.02M","-0.74%"
"09/03/2025","2.720","2.730","2.740","2.710","871.52K","-0.37%"
"09/02/2025","2.730","2.750","2.760","2.720","886.94K","-0.73%"
"09/01/2025","2.750","2.750","2.750","2.720","1.05M","0.36%"
"08/31/2025","2.740","2.760","2.760","2.730","1.15M","-0.36%"
"08/28/2025","2.750","2.750","2.760","2.740","1.11M","0.00%"
"08/27/2025","2.750","2.750","2.760","2.730","801.30K","0.36%"
"08/26/2025","2.740","2.750","2.770","2.730","1.22M","-0.36%"
"08/25/2025","2.750","2.820","2.820","2.740","2.70M","-2.14%"
"08/24/2025","2.810","2.850","2.870","2.790","1.24M","0.36%"
"08/21/2025","2.800","2.790","2.820","2.780","1.42M","0.36%"
"08/20/2025","2.790","2.850","2.880","2.770","2.63M","-2.11%"
"08/19/2025","2.850","2.940","2.950","2.850","2.11M","-2.40%"
"08/18/2025","2.920","2.880","3.020","2.880","10.62M","1.74%"
"08/17/2025","2.870","2.780","2.890","2.760","2.89M","3.99%"
"08/14/2025","2.760","2.770","2.820","2.750","1.19M","-0.36%"
"08/13/2025","2.770","2.790","2.790","2.760","620.67K","0.00%"
"08/12/2025","2.770","2.800","2.800","2.760","1.14M","-0.36%"
"08/11/2025","2.780","2.800","2.820","2.760","1.63M","0.00%"
"08/10/2025","2.780","2.790","2.800","2.750","836.67K","0.00%"
"08/07/2025","2.780","2.800","2.800","2.770","876.20K","-0.36%"
"08/06/2025","2.790","2.780","2.820","2.760","776.26K","0.36%"
"08/05/2025","2.780","2.780","2.800","2.760","607.17K","0.00%"
"08/04/2025","2.780","2.790","2.800","2.750","642.32K","0.00%"
"08/03/2025","2.780","2.740","2.790","2.710","687.76K","2.21%"
"07/31/2025","2.720","2.700","2.750","2.700","728.81K","0.74%"
"07/30/2025","2.700","2.780","2.800","2.680","1.04M","-2.17%"
"07/29/2025","2.760","2.760","2.800","2.730","572.01K","0.36%"
"07/28/2025","2.750","2.860","2.870","2.740","2.27M","-3.17%"
"07/27/2025","2.840","2.850","2.870","2.830","1.08M","0.35%"
"07/23/2025","2.830","2.880","2.880","2.830","878.99K","-0.70%"
"07/22/2025","2.850","2.950","2.970","2.850","2.41M","-2.40%"
"07/21/2025","2.920","2.990","3.030","2.920","4.03M","-2.34%"
"07/20/2025","2.990","2.950","3.000","2.900","5.37M","1.70%"
"07/17/2025","2.940","2.910","2.940","2.850","1.27M","1.03%"
"07/16/2025","2.910","2.930","2.970","2.890","2.92M","0.34%"
"07/15/2025","2.900","2.900","2.990","2.900","7.83M","0.35%"
"07/14/2025","2.890","2.850","2.890","2.820","2.30M","2.12%"
"07/13/2025","2.830","2.870","2.880","2.830","1.07M","-1.05%"
"07/10/2025","2.860","2.850","2.890","2.830","2.49M","0.70%"
"07/09/2025","2.840","2.780","2.870","2.780","5.44M","3.27%"
"07/07/2025","2.750","2.780","2.800","2.750","1.43M","-0.36%"
"07/06/2025","2.760","2.740","2.790","2.730","1.25M","0.73%"
"07/02/2025","2.740","2.720","2.760","2.720","577.92K","0.37%"
"07/01/2025","2.730","2.770","2.770","2.720","669.36K","-1.44%"
"06/30/2025","2.770","2.760","2.770","2.710","1.83M","0.36%"
"06/29/2025","2.760","2.690","2.760","2.680","2.24M","2.60%"
"06/25/2025","2.690","2.670","2.700","2.650","1.08M","1.51%"
"06/24/2025","2.650","2.660","2.680","2.640","1.56M","1.15%"
"06/23/2025","2.620","2.570","2.640","2.570","1.10M","1.95%"
"06/22/2025","2.570","2.500","2.590","2.450","659.31K","1.58%"
"06/19/2025","2.530","2.560","2.610","2.520","1.23M","-0.78%"
"06/18/2025","2.550","2.570","2.580","2.460","972.99K","-1.16%"
"06/17/2025","2.580","2.620","2.660","2.570","1.14M","-1.53%"
"06/16/2025","2.620","2.650","2.680","2.600","558.18K","0.00%"
"06/15/2025","2.620","2.550","2.670","2.420","3.37M","-3.32%"
"06/12/2025","2.710","2.730","2.740","2.700","1.48M","-1.09%"
"06/11/2025","2.740","2.760","2.770","2.740","1.81M","-0.72%"
"06/10/2025","2.760","2.750","2.770","2.740","1.22M","0.73%"
"06/04/2025","2.740","2.750","2.770","2.740","1.03M","-0.36%"
"06/03/2025","2.750","2.730","2.750","2.730","1.53M","0.73%"
"06/02/2025","2.730","2.730","2.740","2.720","1.08M","0.37%"
"06/01/2025","2.720","2.780","2.780","2.720","1.56M","-1.45%"
"05/29/2025","2.760","2.790","2.820","2.750","1.60M","-1.08%"
"05/28/2025","2.790","2.770","2.830","2.760","3.89M","1.09%"
"05/27/2025","2.760","2.750","2.770","2.730","990.80K","1.10%"
"05/26/2025","2.730","2.790","2.800","2.730","2.15M","-0.73%"
"05/25/2025","2.750","2.720","2.800","2.720","1.91M","1.48%"
"05/22/2025","2.710","2.730","2.730","2.700","1.15M","0.37%"
"05/21/2025","2.700","2.730","2.770","2.700","2.26M","-0.37%"
"05/20/2025","2.710","2.710","2.730","2.690","502.55K","0.37%"
"05/19/2025","2.700","2.700","2.730","2.680","740.12K","0.00%"
"05/18/2025","2.700","2.750","2.760","2.700","1.43M","-1.10%"
"05/15/2025","2.730","2.760","2.770","2.730","1.23M","-0.36%"
"05/14/2025","2.740","2.760","2.790","2.730","1.44M","-0.72%"
"05/13/2025","2.760","2.790","2.810","2.750","1.27M","-0.72%"
"05/12/2025","2.780","2.800","2.810","2.760","1.34M","0.36%"
"05/11/2025","2.770","2.830","2.850","2.770","2.66M","-1.77%"
"05/08/2025","2.820","2.880","2.900","2.760","6.06M","-2.08%"
"05/07/2025","2.880","2.960","3.010","2.850","5.00M","-2.37%"
"05/06/2025","2.950","2.850","3.030","2.840","13.26M","4.24%"
"05/05/2025","2.830","2.830","2.870","2.820","2.09M","0.35%"
"05/04/2025","2.820","2.810","2.850","2.800","963.10K","0.36%"
"04/30/2025","2.810","2.820","2.830","2.800","763.14K","0.00%"
"04/29/2025","2.810","2.850","2.850","2.810","888.71K","-1.06%"
"04/28/2025","2.840","2.860","2.890","2.830","746.45K","-1.39%"
"04/27/2025","2.880","2.830","2.880","2.830","2.11M","2.13%"
"04/23/2025","2.820","2.820","2.820","2.790","995.42K","0.71%"
"04/22/2025","2.800","2.790","2.820","2.780","1.54M","0.72%"
"04/17/2025","2.780","2.800","2.810","2.770","874.97K","-0.36%"
"04/16/2025","2.790","2.760","2.820","2.720","3.51M","2.20%"
"04/15/2025","2.730","2.720","2.790","2.720","2.08M","0.37%"
"04/14/2025","2.720","2.730","2.740","2.710","848.39K","0.00%"
"04/13/2025","2.720","2.700","2.730","2.690","1.13M","0.74%"
"04/10/2025","2.700","2.700","2.730","2.690","685.13K","1.12%"
"04/09/2025","2.670","2.700","2.720","2.670","830.77K","-0.74%"
"04/08/2025","2.690","2.730","2.730","2.680","819.94K","0.00%"
"04/07/2025","2.690","2.680","2.710","2.640","1.31M","-0.37%"
"04/06/2025","2.700","2.700","2.730","2.640","1.70M","-2.88%"
"04/03/2025","2.780","2.780","2.800","2.760","294.31K","0.00%"
"03/27/2025","2.780","2.770","2.830","2.740","1.41M","1.09%"
"03/26/2025","2.750","2.760","2.770","2.730","673.73K","0.00%"
