"Date","Price","Open","High","Low","Vol.","Change %"
"07/19/2026","11.700","11.790","11.860","11.620","2.79M","-0.76%"
"07/16/2026","11.790","11.920","12.000","11.780","4.68M","-0.67%"
"07/15/2026","11.870","11.740","11.900","11.650","3.13M","1.11%"
"07/14/2026","11.740","11.700","11.830","11.610","2.69M","0.34%"
"07/13/2026","11.700","11.750","11.900","11.660","6.62M","-0.43%"
"07/12/2026","11.750","11.810","12.000","11.620","5.23M","-1.26%"
"07/09/2026","11.900","11.580","12.000","11.500","6.00M","2.76%"
"07/08/2026","11.580","11.830","11.930","11.400","8.55M","-2.36%"
"07/07/2026","11.860","12.110","12.220","11.830","12.85M","-1.98%"
"07/06/2026","12.100","11.820","12.110","11.770","12.78M","2.98%"
"07/05/2026","11.750","11.650","11.820","11.550","3.55M","1.91%"
"07/01/2026","11.530","11.650","11.680","11.450","5.09M","-0.69%"
"06/30/2026","11.610","11.570","11.680","11.430","7.35M","1.57%"
"06/29/2026","11.430","11.320","11.540","11.250","3.59M","0.97%"
"06/28/2026","11.320","11.820","11.820","11.240","4.87M","-4.39%"
"06/25/2026","11.840","11.750","11.980","11.630","10.80M","1.02%"
"06/24/2026","11.720","11.650","11.800","11.410","5.96M","1.03%"
"06/23/2026","11.600","11.860","12.050","11.600","8.49M","-1.78%"
"06/22/2026","11.810","12.190","12.240","11.780","10.66M","-2.88%"
"06/21/2026","12.160","12.460","12.570","12.100","10.36M","-2.25%"
"06/17/2026","12.440","12.580","12.700","12.380","31.84M","-0.48%"
"06/16/2026","12.500","12.450","12.500","12.200","24.73M","1.30%"
"06/15/2026","12.340","12.100","12.400","11.880","34.64M","2.83%"
"06/14/2026","12.000","11.680","12.050","11.460","27.80M","7.05%"
"06/11/2026","11.210","11.510","11.630","11.110","11.79M","-2.78%"
"06/10/2026","11.530","12.180","12.180","11.530","19.63M","-5.10%"
"06/09/2026","12.150","12.150","12.250","12.000","19.08M","1.17%"
"06/08/2026","12.010","12.120","12.300","11.980","24.72M","-2.36%"
"06/07/2026","12.300","12.120","12.600","12.040","77.95M","0.41%"
"06/04/2026","12.250","11.810","12.380","11.780","70.34M","4.70%"
"06/03/2026","11.700","11.900","11.960","11.520","43.61M","-1.27%"
"06/02/2026","11.850","11.800","12.300","11.790","32.24M","0.59%"
"06/01/2026","11.780","10.800","11.890","10.800","40.18M","12.19%"
"05/25/2026","10.500","10.490","10.570","10.400","1.30M","0.57%"
"05/24/2026","10.440","10.340","10.550","10.260","6.29M","2.45%"
"05/21/2026","10.190","10.020","10.280","10.020","1.70M","1.90%"
