"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2026","6.43","6.44","6.50","6.41","10.01M","0.47%"
"06/30/2026","6.40","6.40","6.51","6.40","10.35M","0.47%"
"06/29/2026","6.37","6.41","6.47","6.36","7.00M","-0.62%"
"06/28/2026","6.41","6.56","6.56","6.37","8.17M","-1.84%"
"06/25/2026","6.53","6.60","6.64","6.47","15.72M","-0.46%"
"06/24/2026","6.56","6.42","6.60","6.40","17.96M","2.50%"
"06/23/2026","6.40","6.60","6.63","6.37","13.23M","-2.88%"
"06/22/2026","6.59","6.59","6.64","6.45","9.79M","0.30%"
"06/21/2026","6.57","6.54","6.65","6.54","11.95M","0.92%"
"06/17/2026","6.51","6.42","6.62","6.42","33.39M","1.72%"
"06/16/2026","6.40","6.50","6.50","6.34","19.37M","-0.47%"
"06/15/2026","6.43","6.61","6.67","6.41","20.57M","-2.28%"
"06/14/2026","6.58","6.59","6.60","6.46","14.94M","2.81%"
"06/11/2026","6.40","6.40","6.50","6.28","10.81M","-0.93%"
"06/10/2026","6.46","6.70","6.80","6.40","28.39M","-3.73%"
"06/09/2026","6.71","6.42","6.76","6.42","28.28M","5.01%"
"06/08/2026","6.39","6.39","6.47","6.36","9.79M","-0.93%"
"06/07/2026","6.45","6.53","6.53","6.39","8.59M","-1.53%"
"06/04/2026","6.55","6.61","6.62","6.54","8.45M","-0.46%"
"06/03/2026","6.58","6.78","6.83","6.58","19.84M","-3.09%"
"06/02/2026","6.79","6.74","6.87","6.72","29.80M","1.34%"
"06/01/2026","6.70","6.43","6.70","6.43","39.39M","5.18%"
"05/25/2026","6.37","6.43","6.47","6.34","16.11M","-0.47%"
"05/24/2026","6.40","6.39","6.52","6.38","25.95M","1.27%"
"05/21/2026","6.32","6.45","6.51","6.32","25.43M","-1.40%"
"05/20/2026","6.41","6.55","6.70","6.39","41.60M","-1.69%"
"05/19/2026","6.52","6.45","6.61","6.43","30.66M","1.56%"
"05/18/2026","6.42","6.40","6.57","6.37","20.68M","-4.75%"
"05/17/2026","6.74","6.91","6.98","6.72","26.89M","-2.32%"
"05/14/2026","6.90","7.00","7.02","6.82","33.14M","-1.43%"
"05/13/2026","7.00","7.11","7.15","6.98","24.35M","-0.85%"
"05/12/2026","7.06","7.13","7.20","7.00","25.50M","-0.28%"
"05/11/2026","7.08","6.88","7.18","6.87","49.98M","3.06%"
"05/10/2026","6.87","6.99","6.99","6.81","21.96M","-1.58%"
"05/06/2026","6.98","6.93","7.08","6.81","25.09M","1.16%"
"05/05/2026","6.90","6.70","6.95","6.61","30.18M","3.76%"
"05/04/2026","6.65","6.86","6.95","6.65","25.42M","-3.06%"
"05/03/2026","6.86","6.29","6.87","6.28","63.84M","10.65%"
"04/30/2026","6.20","6.31","6.45","6.20","35.90M","-1.12%"
"04/29/2026","6.27","6.01","6.39","5.98","83.93M","4.85%"
"04/28/2026","5.98","5.95","6.02","5.92","16.66M","1.36%"
"04/27/2026","5.90","5.87","5.97","5.85","20.93M","1.20%"
"04/26/2026","5.83","6.11","6.16","5.81","31.29M","-2.35%"
"04/23/2026","5.97","6.20","6.22","5.97","33.45M","-2.93%"
"04/22/2026","6.15","5.79","6.20","5.70","80.68M","6.77%"
"04/21/2026","5.76","5.65","5.85","5.65","19.88M","1.95%"
"04/20/2026","5.65","5.78","5.79","5.63","11.17M","-2.08%"
"04/19/2026","5.77","5.83","5.86","5.76","11.92M","0.00%"
"04/16/2026","5.77","5.77","5.86","5.75","17.12M","0.70%"
"04/15/2026","5.73","5.56","5.80","5.56","49.40M","3.43%"
"04/14/2026","5.54","5.50","5.62","5.46","16.67M","0.73%"
"04/12/2026","5.50","5.56","5.50","5.50","15.38M","0.00%"
"04/09/2026","5.50","5.57","5.58","5.42","15.38M","-1.08%"
"04/08/2026","5.56","5.53","5.58","5.48","35.27M","2.39%"
"04/07/2026","5.43","5.58","5.59","5.37","35.01M","-2.51%"
"04/06/2026","5.57","5.61","5.68","5.55","30.75M","-0.36%"
"04/05/2026","5.59","5.70","5.74","5.59","27.75M","-1.24%"
"04/02/2026","5.66","5.67","5.74","5.62","19.43M","0.00%"
"04/01/2026","5.66","5.63","5.69","5.60","16.71M","1.25%"
"03/31/2026","5.59","5.61","5.76","5.57","37.77M","-0.18%"
"03/30/2026","5.60","5.78","5.80","5.57","26.78M","-2.61%"
"03/29/2026","5.75","5.90","5.94","5.73","25.40M","-2.54%"
"03/26/2026","5.90","5.76","6.05","5.74","53.84M","2.43%"
"03/25/2026","5.76","5.89","5.95","5.72","23.52M","-2.37%"
"03/24/2026","5.90","5.72","5.96","5.70","37.96M","3.87%"
"03/18/2026","5.68","5.55","5.68","5.52","35.52M","3.27%"
"03/17/2026","5.50","5.33","5.53","5.33","27.29M","3.97%"
"03/16/2026","5.29","5.48","5.52","5.29","20.64M","-3.64%"
"03/15/2026","5.49","5.50","5.57","5.34","27.22M","-1.08%"
"03/12/2026","5.55","5.61","5.71","5.53","17.13M","-1.07%"
"03/11/2026","5.61","5.67","5.73","5.57","27.34M","-0.53%"
"03/10/2026","5.64","5.55","5.80","5.52","44.28M","2.92%"
"03/09/2026","5.48","5.26","5.49","5.21","48.71M","5.38%"
"03/08/2026","5.20","5.08","5.28","4.99","35.22M","2.56%"
"03/05/2026","5.07","5.19","5.22","5.06","18.05M","-1.55%"
"03/04/2026","5.15","5.13","5.25","4.98","49.99M","0.19%"
"03/03/2026","5.14","5.10","5.32","5.07","52.29M","-0.58%"
"03/02/2026","5.17","4.91","5.21","4.86","87.60M","5.73%"
"03/01/2026","4.89","4.52","4.90","4.44","67.39M","1.45%"
"02/26/2026","4.82","4.73","4.86","4.69","63.80M","2.99%"
"02/25/2026","4.68","4.79","4.82","4.59","68.21M","-2.09%"
"02/24/2026","4.78","4.62","4.97","4.55","162.78M","3.46%"
"02/23/2026","4.62","4.20","4.63","4.19","121.35M","9.48%"
"02/22/2026","4.22","4.25","4.26","4.09","28.06M","-0.47%"
"02/19/2026","4.24","4.35","4.37","4.15","27.44M","-2.08%"
"02/18/2026","4.33","4.44","4.46","4.31","78.71M","-0.69%"
"02/17/2026","4.36","4.22","4.40","4.21","74.78M","2.83%"
"02/16/2026","4.24","4.31","4.44","4.22","87.65M","-1.17%"
"02/15/2026","4.29","4.09","4.33","4.09","121.11M","6.98%"
"02/12/2026","4.01","3.92","4.01","3.89","62.80M","2.30%"
"02/11/2026","3.92","4.02","4.06","3.90","67.73M","-1.75%"
