"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2026","26.83","26.73","27.10","26.62","2.57M","0.49%"
"06/30/2026","26.70","26.55","26.80","26.39","2.30M","0.68%"
"06/29/2026","26.52","26.44","26.61","26.09","1.76M","0.45%"
"06/28/2026","26.40","26.85","27.00","26.25","3.42M","-1.71%"
"06/25/2026","26.86","27.18","27.55","26.84","14.17M","-1.14%"
"06/24/2026","27.17","27.00","27.25","26.71","2.27M","0.63%"
"06/23/2026","27.00","27.50","27.60","26.85","3.84M","-1.68%"
"06/22/2026","27.46","27.62","27.72","27.16","3.70M","-0.58%"
"06/21/2026","27.62","27.60","27.95","27.50","4.84M","0.36%"
"06/17/2026","27.52","27.89","27.93","27.52","2.74M","-1.36%"
"06/16/2026","27.90","27.10","27.90","27.10","15.97M","3.22%"
"06/15/2026","27.03","26.87","27.17","26.87","5.49M","1.27%"
"06/14/2026","26.69","26.68","26.70","26.40","3.86M","2.54%"
"06/11/2026","26.03","26.00","26.24","25.80","2.41M","-0.08%"
"06/10/2026","26.05","26.72","26.91","26.00","4.32M","-2.43%"
"06/09/2026","26.70","26.54","26.70","26.35","2.72M","1.41%"
"06/08/2026","26.33","26.40","26.59","26.05","6.57M","-0.68%"
"06/07/2026","26.51","27.00","27.00","26.41","4.39M","-1.81%"
"06/04/2026","27.00","27.09","27.19","26.90","2.51M","-0.04%"
"06/03/2026","27.01","27.50","27.60","26.95","4.23M","-1.60%"
"06/02/2026","27.45","27.70","27.80","27.33","2.54M","-0.97%"
"06/01/2026","27.72","26.90","27.75","26.83","5.95M","3.74%"
"05/25/2026","26.72","26.97","27.06","26.65","5.43M","-0.67%"
"05/24/2026","26.90","26.95","27.30","26.60","5.33M","1.01%"
"05/21/2026","26.63","26.30","26.65","26.16","4.02M","1.64%"
"05/20/2026","26.20","27.02","27.22","26.20","6.25M","-2.67%"
"05/19/2026","26.92","27.24","27.50","26.91","3.81M","-0.33%"
"05/18/2026","27.01","27.82","28.11","26.96","10.92M","-2.88%"
"05/17/2026","27.81","28.56","28.83","27.71","7.42M","-2.63%"
"05/14/2026","28.56","28.65","29.10","28.45","6.71M","0.00%"
"05/13/2026","28.56","29.00","29.18","28.27","8.05M","-1.62%"
"05/12/2026","29.03","29.53","29.60","28.70","6.45M","-1.59%"
"05/11/2026","29.50","30.05","30.05","29.34","9.26M","-1.47%"
"05/10/2026","29.94","29.80","30.00","29.72","15.24M","0.98%"
"05/06/2026","29.65","29.00","29.70","29.00","16.10M","2.24%"
