"Date","Price","Open","High","Low","Vol.","Change %"
"07/07/2026","11.670","11.610","11.720","11.610","2.92M","0.52%"
"07/06/2026","11.610","11.690","11.700","11.600","3.33M","0.09%"
"07/05/2026","11.600","11.650","11.780","11.560","4.39M","0.00%"
"07/01/2026","11.600","11.750","11.770","11.520","1.80M","-0.60%"
"06/30/2026","11.670","11.510","11.700","11.450","3.22M","1.92%"
"06/29/2026","11.450","11.310","11.550","11.280","2.64M","1.33%"
"06/28/2026","11.300","12.040","12.040","11.200","9.21M","-6.22%"
"06/25/2026","12.050","12.210","12.300","11.900","4.87M","-1.23%"
"06/24/2026","12.200","12.290","12.330","12.150","2.29M","-0.81%"
"06/23/2026","12.300","12.500","12.600","12.130","2.90M","-1.52%"
"06/22/2026","12.490","12.650","12.710","12.100","12.73M","-0.87%"
"06/21/2026","12.600","12.150","12.610","12.070","11.50M","3.36%"
"06/17/2026","12.190","12.190","12.200","11.930","3.66M","0.99%"
"06/16/2026","12.070","12.200","12.290","12.030","3.56M","-0.74%"
"06/15/2026","12.160","12.150","12.340","11.980","6.68M","1.25%"
"06/14/2026","12.010","11.900","12.110","11.820","7.98M","4.98%"
"06/11/2026","11.440","11.880","11.900","11.300","8.59M","-4.03%"
"06/10/2026","11.920","12.450","12.450","11.700","7.17M","-4.33%"
"06/09/2026","12.460","12.460","12.590","12.380","5.15M","0.16%"
"06/08/2026","12.440","12.680","12.740","12.380","20.64M","-1.97%"
"06/07/2026","12.690","12.510","12.720","12.320","9.33M","1.44%"
"06/04/2026","12.510","12.250","12.710","12.220","25.85M","2.96%"
"06/03/2026","12.150","11.920","12.180","11.780","25.88M","2.10%"
"06/02/2026","11.900","11.700","11.940","11.510","14.94M","1.80%"
"06/01/2026","11.690","11.500","11.740","11.500","6.21M","2.10%"
"05/25/2026","11.450","11.450","12.000","11.310","5.99M","0.17%"
"05/24/2026","11.430","11.320","11.500","11.240","5.53M","2.05%"
"05/21/2026","11.200","11.280","11.370","11.120","4.40M","-0.09%"
"05/20/2026","11.210","11.800","11.860","11.170","8.19M","-5.00%"
"05/19/2026","11.800","11.720","11.960","11.650","20.26M","0.60%"
"05/18/2026","11.730","11.560","11.820","11.560","7.19M","1.47%"
"05/17/2026","11.560","11.750","11.900","11.410","10.54M","-1.62%"
"05/14/2026","11.750","11.990","12.040","11.650","9.39M","-1.67%"
"05/13/2026","11.950","12.010","12.250","11.900","13.08M","-0.08%"
"05/12/2026","11.960","11.930","12.190","11.820","6.66M","0.25%"
"05/11/2026","11.930","12.010","12.050","11.810","6.55M","-0.67%"
"05/10/2026","12.010","11.390","12.190","11.390","34.23M","6.28%"
"05/06/2026","11.300","10.920","11.310","10.870","17.25M","3.76%"
"05/05/2026","10.890","10.900","10.960","10.800","4.01M","-1.00%"
"05/04/2026","11.000","11.050","11.080","10.890","5.25M","-0.18%"
"05/03/2026","11.020","10.800","11.030","10.750","5.43M","2.51%"
"04/30/2026","10.750","11.010","11.090","10.600","13.39M","-2.27%"
"04/29/2026","11.000","11.010","11.050","10.910","6.62M","-0.81%"
"04/28/2026","11.090","11.170","11.230","11.010","4.49M","-0.72%"
"04/27/2026","11.170","11.070","11.250","11.010","5.61M","0.90%"
"04/26/2026","11.070","11.120","11.240","11.000","5.07M","0.09%"
"04/23/2026","11.060","11.100","11.160","11.030","4.81M","-0.18%"
"04/22/2026","11.080","11.120","11.260","11.030","8.58M","-0.09%"
"04/21/2026","11.090","11.260","11.370","11.050","16.34M","-0.63%"
"04/20/2026","11.160","10.750","11.250","10.700","47.63M","3.72%"
"04/19/2026","10.760","10.670","10.760","10.650","11.97M","1.51%"
"04/16/2026","10.600","10.540","10.710","10.450","13.83M","0.66%"
"04/15/2026","10.530","10.400","10.590","10.390","5.82M","1.64%"
"04/14/2026","10.360","10.420","10.420","10.290","6.22M","-0.77%"
"04/12/2026","10.440","10.400","10.440","10.440","6.38M","0.00%"
"04/09/2026","10.440","10.400","10.520","10.300","6.38M","0.38%"
"04/08/2026","10.400","10.250","10.450","10.250","10.02M","3.59%"
"04/07/2026","10.040","10.150","10.240","9.990","5.95M","-1.18%"
"04/06/2026","10.160","10.090","10.170","10.050","5.40M","0.99%"
"04/05/2026","10.060","10.060","10.140","10.020","5.35M","0.10%"
"04/02/2026","10.050","10.130","10.140","9.910","6.98M","-1.08%"
"04/01/2026","10.160","9.730","10.160","9.730","11.41M","4.74%"
"03/31/2026","9.700","9.900","9.900","9.640","8.51M","-2.02%"
"03/30/2026","9.900","10.280","10.300","9.630","16.83M","-3.23%"
"03/29/2026","10.230","10.490","10.490","10.200","6.15M","-2.57%"
"03/26/2026","10.500","10.750","10.770","10.450","4.74M","-1.87%"
"03/25/2026","10.700","10.390","10.750","10.350","10.10M","3.58%"
"03/24/2026","10.330","10.430","10.470","10.320","4.90M","-0.67%"
"03/18/2026","10.400","10.370","10.430","10.300","6.69M","0.58%"
"03/17/2026","10.340","10.300","10.400","10.250","9.78M","1.08%"
"03/16/2026","10.230","10.460","10.480","10.130","4.78M","-2.20%"
"03/15/2026","10.460","10.590","10.600","10.400","3.49M","-0.38%"
"03/12/2026","10.500","10.700","10.720","10.500","10.39M","-1.59%"
"03/11/2026","10.670","10.800","10.830","10.550","12.39M","0.19%"
"03/10/2026","10.650","10.450","10.850","10.410","17.67M","3.40%"
"03/09/2026","10.300","10.820","10.890","10.300","12.68M","-4.81%"
"03/08/2026","10.820","11.220","11.390","10.800","16.51M","-3.48%"
"03/05/2026","11.210","11.200","11.350","11.110","6.82M","0.09%"
"03/04/2026","11.200","11.450","11.460","11.000","8.94M","-0.97%"
"03/03/2026","11.310","11.600","11.600","11.010","4.50M","-2.33%"
"03/02/2026","11.580","11.300","11.580","11.220","3.54M","3.30%"
"03/01/2026","11.210","11.200","11.590","10.900","8.45M","-4.92%"
"02/26/2026","11.790","11.700","11.800","11.550","906.21K","0.94%"
"02/25/2026","11.680","11.800","12.060","11.530","3.05M","-1.85%"
"02/24/2026","11.900","11.900","12.300","11.800","6.08M","0.00%"
"02/23/2026","11.900","11.450","11.970","11.400","3.60M","4.66%"
"02/22/2026","11.370","11.960","11.980","11.250","3.85M","-3.48%"
"02/19/2026","11.780","12.500","12.560","11.700","5.36M","-5.38%"
"02/18/2026","12.450","12.570","12.710","12.420","3.56M","-0.56%"
"02/17/2026","12.520","12.510","12.900","12.380","16.27M","0.08%"
"02/16/2026","12.510","12.590","12.690","12.350","10.87M","0.32%"
"02/15/2026","12.470","12.850","12.890","12.230","5.94M","-2.12%"
"02/12/2026","12.740","12.640","12.950","12.420","6.29M","0.87%"
"02/11/2026","12.630","12.410","12.880","12.380","9.40M","2.27%"
"02/10/2026","12.350","12.610","12.730","12.000","6.87M","-1.98%"
"02/09/2026","12.600","12.760","12.800","12.450","6.06M","-0.24%"
"02/08/2026","12.630","12.990","13.500","12.350","19.93M","-0.94%"
"02/05/2026","12.750","11.770","13.720","11.770","28.37M","8.14%"
"02/04/2026","11.790","11.100","11.800","11.030","19.54M","7.18%"
"02/03/2026","11.000","10.980","11.160","10.930","5.67M","0.46%"
"02/02/2026","10.950","11.100","11.160","10.800","3.87M","-1.08%"
"02/01/2026","11.070","11.060","11.150","10.950","3.54M","1.56%"
"01/28/2026","10.900","11.220","11.340","10.870","6.34M","-2.94%"
"01/27/2026","11.230","11.300","11.500","11.210","4.32M","-0.62%"
"01/26/2026","11.300","11.440","11.510","11.080","3.81M","-0.88%"
"01/25/2026","11.400","11.500","12.100","11.380","11.59M","0.00%"
"01/22/2026","11.400","11.170","11.490","11.110","9.26M","2.15%"
"01/21/2026","11.160","10.970","11.270","10.800","7.05M","1.64%"
"01/20/2026","10.980","10.770","10.990","10.680","5.17M","2.14%"
"01/19/2026","10.750","10.790","10.900","10.630","5.74M","-0.92%"
"01/18/2026","10.850","10.310","10.860","10.310","3.27M","5.85%"
"01/15/2026","10.250","10.470","10.640","10.000","3.99M","-1.35%"
"01/14/2026","10.390","10.800","10.850","10.250","4.31M","-3.53%"
