"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2026","29.99","30.00","30.00","29.40","287.54K","0.91%"
"06/30/2026","29.72","29.26","30.18","29.26","421.82K","1.61%"
"06/29/2026","29.25","29.70","29.90","29.10","478.90K","-1.58%"
"06/28/2026","29.72","30.48","30.50","29.50","480.05K","-2.43%"
"06/25/2026","30.46","30.90","30.96","30.30","183.43K","-1.33%"
"06/24/2026","30.87","30.97","31.10","30.32","518.77K","-0.32%"
"06/23/2026","30.97","31.72","31.95","30.77","510.17K","-2.33%"
"06/22/2026","31.71","31.91","32.30","31.50","1.48M","-0.28%"
"06/21/2026","31.80","31.37","32.17","31.01","2.30M","1.53%"
"06/17/2026","31.32","30.80","31.37","30.31","959.54K","1.69%"
"06/16/2026","30.80","31.00","31.00","30.05","712.89K","-0.45%"
"06/15/2026","30.94","30.40","30.98","30.20","1.69M","1.51%"
"06/14/2026","30.48","29.95","30.49","29.50","666.62K","4.03%"
"06/11/2026","29.30","29.49","29.60","28.50","1.14M","-0.64%"
"06/10/2026","29.49","30.75","30.82","29.42","809.91K","-3.88%"
"06/09/2026","30.68","30.50","30.82","30.13","2.12M","1.93%"
"06/08/2026","30.10","29.19","30.15","28.86","2.57M","2.70%"
"06/07/2026","29.31","29.85","29.90","29.11","790.98K","-1.97%"
"06/04/2026","29.90","29.15","29.98","29.00","2.15M","2.75%"
"06/03/2026","29.10","29.11","29.39","28.71","625.38K","0.00%"
"06/02/2026","29.10","29.00","29.64","28.90","1.53M","0.34%"
"06/01/2026","29.00","28.17","29.00","28.10","924.46K","3.24%"
"05/25/2026","28.09","28.00","28.11","27.60","437.15K","1.08%"
"05/24/2026","27.79","27.80","28.00","27.10","347.61K","0.40%"
"05/21/2026","27.68","27.25","27.68","26.80","2.77M","1.73%"
"05/20/2026","27.21","28.00","28.00","26.51","821.34K","-2.61%"
"05/19/2026","27.94","28.01","28.45","27.84","2.71M","-0.21%"
"05/18/2026","28.00","28.80","28.90","27.80","2.56M","-3.11%"
"05/17/2026","28.90","29.45","29.46","28.72","493.63K","-1.87%"
"05/14/2026","29.45","29.62","29.74","29.30","842.55K","-0.84%"
"05/13/2026","29.70","29.50","29.95","29.15","2.38M","0.68%"
"05/12/2026","29.50","29.00","29.60","28.60","3.78M","0.68%"
"05/11/2026","29.30","29.35","29.49","29.00","1.12M","0.00%"
"05/10/2026","29.30","28.32","29.40","28.32","2.91M","3.72%"
"05/06/2026","28.25","28.07","28.37","27.90","1.49M","0.61%"
"05/05/2026","28.08","28.06","28.15","27.77","509.97K","-0.39%"
"05/04/2026","28.19","27.96","28.48","27.60","2.33M","1.26%"
"05/03/2026","27.84","28.49","28.60","27.65","3.82M","-2.28%"
"04/30/2026","28.49","29.00","29.24","28.18","2.45M","-2.10%"
"04/29/2026","29.10","28.39","29.10","28.10","1.12M","2.50%"
"04/28/2026","28.39","28.73","29.07","28.00","2.19M","-1.08%"
"04/27/2026","28.70","29.58","29.84","28.64","1.11M","-2.97%"
"04/26/2026","29.58","29.10","30.00","28.82","2.80M","1.75%"
"04/23/2026","29.07","29.00","29.49","28.50","1.49M","0.41%"
"04/22/2026","28.95","28.00","29.05","28.00","3.18M","3.39%"
"04/21/2026","28.00","27.61","28.42","27.61","2.66M","1.45%"
"04/20/2026","27.60","27.83","27.88","27.30","813.99K","-0.36%"
"04/19/2026","27.70","27.59","28.09","27.10","2.37M","0.73%"
