"Date","Price","Open","High","Low","Vol.","Change %"
"08/23/2026","9.120","9.120","9.280","9.100","9.13M","0.77%"
"08/20/2026","9.050","9.130","9.170","8.820","8.47M","0.00%"
"08/19/2026","9.050","9.140","9.300","9.010","3.03M","-0.98%"
"08/18/2026","9.140","9.690","9.750","9.100","9.98M","-4.99%"
"08/17/2026","9.620","9.330","9.660","9.200","7.82M","3.33%"
"08/16/2026","9.310","8.770","9.850","8.770","24.65M","6.16%"
"08/13/2026","8.770","8.600","8.780","8.580","4.20M","2.10%"
"08/12/2026","8.590","8.600","8.660","8.490","1.08M","0.82%"
"08/11/2026","8.520","8.490","8.770","8.470","5.64M","0.47%"
"08/10/2026","8.480","8.570","8.780","8.460","8.91M","-0.47%"
"08/09/2026","8.520","8.010","8.540","8.000","7.68M","6.50%"
"08/06/2026","8.000","8.210","8.300","7.940","2.57M","-2.32%"
"08/05/2026","8.190","8.310","8.320","8.010","2.25M","-1.33%"
"08/04/2026","8.300","8.230","8.300","8.010","4.43M","1.84%"
"08/03/2026","8.150","7.980","8.200","7.860","2.71M","2.90%"
"08/02/2026","7.920","8.080","8.240","7.880","2.59M","-1.98%"
"07/30/2026","8.080","8.100","8.100","7.750","2.72M","-0.25%"
"07/29/2026","8.100","8.180","8.250","7.900","3.02M","-1.22%"
"07/28/2026","8.200","8.620","8.850","8.170","6.06M","-4.87%"
"07/27/2026","8.620","8.580","8.900","8.460","3.62M","0.47%"
"07/26/2026","8.580","8.770","8.780","8.400","4.24M","-2.50%"
"07/22/2026","8.800","8.580","8.800","8.490","3.07M","2.21%"
"07/21/2026","8.610","8.140","8.610","8.140","9.90M","4.87%"
"07/20/2026","8.210","8.000","8.320","7.990","11.14M","2.75%"
"07/19/2026","7.990","7.650","7.990","7.560","7.25M","3.77%"
"07/16/2026","7.700","7.730","7.770","7.570","3.08M","0.13%"
"07/15/2026","7.690","7.760","7.830","7.660","5.08M","-0.52%"
