"Date","Price","Open","High","Low","Vol.","Change %"
"08/23/2026","34.660","34.200","35.120","34.000","1.14M","1.35%"
"08/20/2026","34.200","33.500","34.290","32.850","521.45K","1.79%"
"08/19/2026","33.600","34.390","34.500","33.020","905.10K","-2.30%"
"08/18/2026","34.390","32.910","34.400","32.830","1.38M","4.85%"
"08/17/2026","32.800","33.380","33.490","32.610","632.08K","-1.74%"
"08/16/2026","33.380","33.480","34.200","32.400","994.66K","-0.30%"
"08/13/2026","33.480","34.500","34.500","32.120","1.28M","-2.82%"
"08/12/2026","34.450","35.300","36.500","33.800","1.40M","-1.57%"
"08/11/2026","35.000","33.800","35.250","33.800","1.09M","3.98%"
"08/10/2026","33.660","35.420","35.490","33.220","1.29M","-4.97%"
"08/09/2026","35.420","34.000","35.480","34.000","428.47K","4.18%"
"08/06/2026","34.000","34.700","35.400","33.770","695.45K","-1.93%"
"08/05/2026","34.670","36.120","36.480","34.670","606.69K","-3.77%"
"08/04/2026","36.030","36.990","37.500","36.000","889.99K","-2.15%"
"08/03/2026","36.820","35.190","37.790","34.800","1.45M","4.63%"
"08/02/2026","35.190","34.200","35.200","33.410","691.78K","2.62%"
"07/30/2026","34.290","34.560","34.560","32.160","979.27K","-1.32%"
"07/29/2026","34.750","35.400","36.440","30.200","951.02K","-2.00%"
"07/28/2026","35.460","36.500","36.500","34.800","437.51K","-2.04%"
"07/27/2026","36.200","35.270","36.490","34.120","1.43M","2.64%"
"07/26/2026","35.270","36.500","37.000","34.110","3.09M","4.26%"
"07/22/2026","33.830","34.210","33.830","33.830","","0.00%"
"07/21/2026","33.830","34.210","35.000","33.500","2.06M","-3.34%"
"07/20/2026","35.000","32.230","35.430","32.150","4.16M","8.70%"
"07/19/2026","32.200","32.130","32.480","31.910","562.72K","0.03%"
"07/16/2026","32.190","32.520","32.780","31.800","775.83K","-0.74%"
"07/15/2026","32.430","31.360","33.400","30.890","2.98M","3.84%"
"07/14/2026","31.230","31.400","31.600","30.410","1.08M","-0.57%"
"07/13/2026","31.410","32.340","32.490","31.410","570.48K","-1.47%"
"07/12/2026","31.880","31.890","32.300","31.500","1.95M","1.08%"
"07/09/2026","31.540","31.400","31.600","30.930","1.92M","0.93%"
"07/08/2026","31.250","30.140","31.880","29.650","4.04M","3.48%"
"07/07/2026","30.200","30.130","30.390","29.350","2.03M","0.33%"
"07/06/2026","30.100","28.660","30.400","28.600","6.10M","5.95%"
"07/05/2026","28.410","28.770","28.930","28.380","1.45M","-0.14%"
"07/01/2026","28.450","27.910","28.740","27.640","3.82M","1.90%"
"06/30/2026","27.920","28.380","28.580","27.430","1.39M","0.07%"
"06/29/2026","27.900","27.530","27.900","27.010","1.71M","2.76%"
"06/28/2026","27.150","30.100","31.100","27.150","5.72M","-8.65%"
"06/25/2026","29.720","27.340","31.330","27.340","6.39M","8.74%"
"06/24/2026","27.330","27.950","28.000","27.030","331.83K","-1.69%"
"06/23/2026","27.800","27.940","28.300","27.540","393.21K","0.76%"
"06/22/2026","27.590","28.250","28.700","27.520","591.94K","-2.09%"
"06/21/2026","28.180","28.010","28.580","28.010","1.17M","1.00%"
"06/17/2026","27.900","27.490","27.950","27.310","626.67K","2.57%"
"06/16/2026","27.200","26.660","27.390","26.660","239.61K","2.26%"
"06/15/2026","26.600","26.810","27.160","26.600","207.53K","-0.26%"
"06/14/2026","26.670","26.600","27.000","26.410","197.15K","1.52%"
"06/11/2026","26.270","26.300","26.750","26.000","302.52K","-2.27%"
"06/10/2026","26.880","27.400","27.500","26.210","270.38K","-1.54%"
"06/09/2026","27.300","27.320","27.890","27.050","232.40K","1.26%"
"06/08/2026","26.960","26.920","27.690","26.720","445.69K","0.19%"
"06/07/2026","26.910","27.040","27.380","26.900","222.53K","-2.04%"
"06/04/2026","27.470","27.500","27.820","27.060","455.38K","0.15%"
"06/03/2026","27.430","27.900","27.970","27.000","386.91K","-1.68%"
"06/02/2026","27.900","27.930","28.300","27.530","394.46K","0.00%"
"06/01/2026","27.900","27.980","27.980","27.110","346.15K","0.58%"
"05/25/2026","27.740","27.080","28.180","26.780","765.46K","1.13%"
"05/24/2026","27.430","26.400","28.000","26.400","474.90K","4.30%"
"05/21/2026","26.300","26.900","26.900","26.160","142.56K","-1.68%"
"05/20/2026","26.750","27.040","27.380","26.300","219.98K","-1.07%"
"05/19/2026","27.040","27.310","27.470","26.810","271.04K","-0.92%"
"05/18/2026","27.290","28.150","28.190","27.010","275.63K","-3.09%"
"05/17/2026","28.160","28.340","28.440","27.590","299.24K","-0.81%"
"05/14/2026","28.390","28.400","28.550","28.020","260.08K","-0.18%"
"05/13/2026","28.440","28.470","29.290","28.130","1.21M","0.14%"
"05/12/2026","28.400","28.330","28.470","27.830","1.13M","0.11%"
"05/11/2026","28.370","26.860","28.370","26.860","2.82M","5.86%"
"05/10/2026","26.800","26.690","26.970","26.600","578.90K","0.79%"
"05/06/2026","26.590","26.620","26.850","26.350","356.29K","0.61%"
"05/05/2026","26.430","26.110","26.650","26.110","484.26K","-0.86%"
"05/04/2026","26.660","26.490","27.200","26.010","1.48M","1.45%"
"05/03/2026","26.280","26.010","26.320","26.010","385.97K","1.08%"
"04/30/2026","26.000","26.220","26.500","25.930","346.03K","-0.19%"
"04/29/2026","26.050","25.800","26.500","25.720","374.29K","1.20%"
"04/28/2026","25.740","25.940","25.940","25.700","261.99K","-0.58%"
"04/27/2026","25.890","25.990","26.000","25.700","262.11K","0.54%"
"04/26/2026","25.750","26.200","26.300","25.520","393.53K","-0.58%"
"04/23/2026","25.900","26.030","26.400","25.700","886.97K","-0.19%"
