"Date","Price","Open","High","Low","Vol.","Change %"
"07/27/2026","40.16","39.90","40.30","39.96","642.05K","0.65%"
"07/26/2026","39.90","40.80","40.80","39.85","3.87M","-1.24%"
"07/22/2026","40.40","39.26","40.78","39.26","8.50M","2.93%"
"07/21/2026","39.25","38.47","39.50","38.42","2.74M","2.21%"
"07/20/2026","38.40","38.53","39.08","38.40","2.71M","-0.26%"
"07/19/2026","38.50","39.19","39.39","38.50","2.09M","-1.79%"
"07/16/2026","39.20","39.77","40.20","39.20","8.41M","-0.76%"
"07/15/2026","39.50","38.85","39.75","38.85","5.37M","1.54%"
"07/14/2026","38.90","39.06","39.15","38.67","3.02M","-0.77%"
"07/13/2026","39.20","39.20","39.38","38.90","2.76M","-0.03%"
"07/12/2026","39.21","38.95","39.40","38.81","1.64M","0.26%"
"07/09/2026","39.11","38.68","39.50","38.53","2.71M","1.11%"
"07/08/2026","38.68","39.59","39.59","38.50","2.56M","-2.50%"
"07/07/2026","39.67","38.79","39.70","38.79","7.03M","2.64%"
"07/06/2026","38.65","38.11","39.45","38.11","6.29M","1.31%"
"07/05/2026","38.15","38.26","38.50","37.92","1.50M","-0.13%"
"07/01/2026","38.20","38.35","38.35","37.76","2.02M","-0.49%"
"06/30/2026","38.39","37.66","38.45","37.52","5.20M","1.97%"
"06/29/2026","37.65","37.70","38.49","37.20","2.90M","-0.92%"
"06/28/2026","38.00","38.82","39.10","37.00","6.11M","-2.11%"
"06/25/2026","38.82","39.40","39.57","38.70","1.87M","-1.22%"
"06/24/2026","39.30","38.80","39.67","38.71","3.21M","1.03%"
"06/23/2026","38.90","39.28","39.40","38.55","3.67M","-0.51%"
"06/22/2026","39.10","39.80","40.48","39.10","6.33M","-1.26%"
"06/21/2026","39.60","38.36","39.68","38.36","6.86M","3.42%"
"06/17/2026","38.29","37.38","38.47","37.15","3.87M","2.41%"
"06/16/2026","37.39","37.31","37.80","37.08","3.16M","0.65%"
"06/15/2026","37.15","38.40","38.69","37.15","4.41M","-2.24%"
"06/14/2026","38.00","37.25","38.90","36.92","7.72M","5.23%"
"06/11/2026","36.11","36.35","36.99","35.01","3.83M","-1.34%"
"06/10/2026","36.60","37.20","38.51","36.60","8.42M","-1.08%"
"06/09/2026","37.00","37.04","37.61","36.70","4.84M","1.23%"
"06/08/2026","36.55","36.97","37.74","36.11","4.59M","-1.22%"
"06/07/2026","37.00","37.70","37.89","36.62","2.88M","-2.81%"
"06/04/2026","38.07","38.18","38.83","38.02","2.85M","-0.16%"
"06/03/2026","38.13","38.03","38.29","37.42","3.51M","0.29%"
"06/02/2026","38.02","38.92","39.09","37.40","6.34M","-2.29%"
"06/01/2026","38.91","37.59","39.61","37.40","4.70M","3.90%"
"05/25/2026","37.45","36.65","37.88","36.00","4.66M","2.60%"
"05/24/2026","36.50","36.88","37.56","36.45","4.03M","-0.03%"
"05/21/2026","36.51","33.90","36.51","33.81","8.80M","8.27%"
"05/20/2026","33.72","34.80","35.10","33.71","3.64M","-2.82%"
"05/19/2026","34.70","33.80","35.50","33.51","9.77M","3.89%"
"05/18/2026","33.40","33.36","33.90","33.09","2.64M","0.12%"
"05/17/2026","33.36","34.09","34.43","33.25","3.10M","-1.88%"
"05/14/2026","34.00","33.23","34.40","33.00","6.30M","2.41%"
"05/13/2026","33.20","33.60","33.85","33.04","6.80M","-0.45%"
"05/12/2026","33.35","33.90","33.94","32.90","4.62M","-0.83%"
"05/11/2026","33.63","34.31","34.39","33.00","6.12M","-1.06%"
"05/10/2026","33.99","33.90","35.00","33.85","8.22M","1.46%"
"05/06/2026","33.50","30.60","33.50","30.56","18.20M","10.05%"
"05/05/2026","30.44","30.51","30.67","30.15","5.69M","-0.20%"
"05/04/2026","30.50","31.53","31.78","30.50","5.34M","-3.14%"
"05/03/2026","31.49","31.19","32.11","31.16","7.56M","1.74%"
"04/30/2026","30.95","31.25","31.80","30.95","7.52M","-0.48%"
"04/29/2026","31.10","30.54","31.15","30.21","5.11M","1.83%"
"04/28/2026","30.54","30.61","30.81","30.20","3.38M","0.13%"
"04/27/2026","30.50","29.80","31.10","29.77","5.70M","2.52%"
"04/26/2026","29.75","30.49","30.64","29.53","6.87M","-1.65%"
"04/23/2026","30.25","31.13","31.60","30.25","7.77M","-2.73%"
"04/22/2026","31.10","31.88","31.90","30.60","6.53M","-2.51%"
"04/21/2026","31.90","29.60","31.90","29.60","11.23M","8.14%"
"04/20/2026","29.50","30.00","30.05","28.97","3.74M","-1.17%"
"04/19/2026","29.85","29.09","29.89","28.82","6.21M","3.25%"
"04/16/2026","28.91","29.50","31.00","28.71","15.25M","0.03%"
"04/15/2026","28.90","27.20","29.19","27.20","13.78M","6.48%"
"04/14/2026","27.14","27.16","27.65","26.93","6.29M","-0.04%"
"04/12/2026","27.15","26.10","27.15","27.15","14.04M","0.00%"
"04/09/2026","27.15","26.07","27.36","25.73","14.04M","4.02%"
"04/08/2026","26.10","25.25","26.47","25.25","9.40M","5.88%"
"04/07/2026","24.65","25.21","25.29","24.63","1.91M","-2.07%"
"04/06/2026","25.17","24.96","25.41","24.85","4.75M","1.70%"
"04/05/2026","24.75","24.80","24.92","24.70","917.22K","0.20%"
"04/02/2026","24.70","24.80","24.98","24.55","1.71M","-1.20%"
"04/01/2026","25.00","24.48","25.08","24.33","4.32M","3.43%"
"03/31/2026","24.17","24.25","24.59","24.00","2.50M","-0.53%"
"03/30/2026","24.30","24.63","24.87","24.20","2.88M","-1.30%"
"03/29/2026","24.62","25.27","25.30","24.50","4.80M","-2.53%"
"03/26/2026","25.26","25.85","25.97","25.26","4.23M","-2.28%"
"03/25/2026","25.85","25.55","26.23","25.55","5.39M","1.57%"
"03/24/2026","25.45","25.50","26.07","25.20","4.72M","1.39%"
"03/18/2026","25.10","25.21","25.39","25.00","2.56M","0.40%"
"03/17/2026","25.00","24.69","25.29","24.55","3.35M","1.83%"
"03/16/2026","24.55","25.21","25.39","24.32","2.50M","-2.39%"
"03/15/2026","25.15","25.70","25.88","25.10","3.01M","-2.10%"
"03/12/2026","25.69","25.50","26.10","25.40","6.33M","1.02%"
"03/11/2026","25.43","25.54","25.69","25.03","1.71M","0.24%"
"03/10/2026","25.37","25.65","25.90","25.30","5.20M","1.40%"
