"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2026","22.34","22.51","22.60","22.20","586.09K","-0.27%"
"06/30/2026","22.40","22.29","22.50","22.20","537.22K","1.13%"
"06/29/2026","22.15","22.30","22.35","21.95","670.45K","0.00%"
"06/28/2026","22.15","22.84","22.84","22.07","1.12M","-3.02%"
"06/25/2026","22.84","22.98","23.00","22.61","674.42K","-0.48%"
"06/24/2026","22.95","23.00","23.02","22.73","559.97K","-0.17%"
"06/23/2026","22.99","23.27","23.27","22.82","610.14K","-0.61%"
"06/22/2026","23.13","23.54","23.54","23.02","691.98K","-1.36%"
"06/21/2026","23.45","23.55","23.65","23.20","942.42K","-0.13%"
"06/17/2026","23.48","23.24","23.50","23.04","1.09M","1.29%"
"06/16/2026","23.18","23.07","23.30","23.01","546.57K","0.22%"
"06/15/2026","23.13","23.32","23.45","23.04","629.55K","-0.39%"
"06/14/2026","23.22","23.35","23.51","23.08","969.34K","1.00%"
"06/11/2026","22.99","23.13","23.13","22.65","1.55M","-0.73%"
"06/10/2026","23.16","23.82","23.94","23.14","1.09M","-2.89%"
"06/09/2026","23.85","23.80","23.85","23.65","1.44M","1.06%"
"06/08/2026","23.60","23.69","23.85","23.20","1.56M","-0.84%"
"06/07/2026","23.80","23.34","23.95","23.25","1.66M","1.28%"
"06/04/2026","23.50","23.82","23.84","23.41","945.40K","-1.18%"
"06/03/2026","23.78","24.02","24.18","23.55","2.35M","-0.92%"
"06/02/2026","24.00","23.28","24.30","23.25","6.89M","3.23%"
"06/01/2026","23.25","22.85","23.28","22.84","2.70M","2.60%"
"05/25/2026","22.66","22.29","22.69","22.12","2.33M","1.84%"
"05/24/2026","22.25","21.98","22.35","21.87","1.31M","2.53%"
"05/21/2026","21.70","21.77","22.00","21.65","1.37M","0.37%"
"05/20/2026","21.62","22.17","22.17","21.60","1.79M","-1.95%"
"05/19/2026","22.05","22.25","22.28","22.03","1.06M","-0.14%"
"05/18/2026","22.08","22.17","22.30","21.91","2.68M","-4.62%"
"05/17/2026","23.15","23.37","23.37","23.13","2.20M","-1.07%"
"05/14/2026","23.40","23.49","23.49","23.32","1.15M","-0.13%"
"05/13/2026","23.43","23.61","23.65","23.30","1.99M","-0.55%"
"05/12/2026","23.56","23.75","23.77","23.53","1.22M","-0.38%"
"05/11/2026","23.65","23.90","23.90","23.54","2.06M","-0.38%"
"05/10/2026","23.74","23.50","23.82","23.45","2.19M","1.67%"
"05/06/2026","23.35","23.42","23.49","23.24","1.56M","0.21%"
"05/05/2026","23.30","23.30","23.40","23.12","1.37M","0.09%"
"05/04/2026","23.28","23.14","23.59","23.10","3.52M","0.78%"
"05/03/2026","23.10","23.13","23.15","22.97","1.97M","0.65%"
"04/30/2026","22.95","23.22","23.25","22.92","2.48M","-0.91%"
"04/29/2026","23.16","23.11","23.20","22.93","1.99M","0.70%"
"04/28/2026","23.00","23.00","23.24","22.85","2.88M","0.44%"
"04/27/2026","22.90","23.28","23.28","22.83","2.36M","0.57%"
"04/26/2026","22.77","22.94","23.10","22.75","1.84M","0.09%"
