"Date","Price","Open","High","Low","Vol.","Change %"
"07/19/2026","14.840","14.910","14.940","14.810","906.65K","-0.47%"
"07/16/2026","14.910","15.200","15.300","14.910","23.99M","-1.91%"
"07/15/2026","15.200","14.710","15.240","14.620","23.73M","3.40%"
"07/14/2026","14.700","14.840","14.840","14.610","10.31M","-1.01%"
"07/13/2026","14.850","14.900","15.000","14.710","15.01M","-0.34%"
"07/12/2026","14.900","14.800","15.140","14.770","20.07M","-0.13%"
"07/09/2026","14.920","14.700","15.070","14.600","15.08M","0.95%"
"07/08/2026","14.780","14.890","14.900","14.510","10.16M","-0.74%"
"07/07/2026","14.890","14.920","15.040","14.650","17.13M","0.40%"
"07/06/2026","14.830","14.810","15.110","14.770","26.98M","0.88%"
"07/05/2026","14.700","14.610","14.800","14.550","15.90M","1.03%"
"07/01/2026","14.550","14.660","14.770","14.410","12.62M","-0.34%"
"06/30/2026","14.600","14.700","14.870","14.480","15.53M","-0.34%"
"06/29/2026","14.650","14.650","14.840","14.300","11.52M","0.00%"
"06/28/2026","14.650","15.140","15.160","14.260","18.46M","-3.17%"
"06/25/2026","15.130","15.400","15.500","15.050","10.69M","-1.43%"
"06/24/2026","15.350","15.510","15.700","15.310","8.00M","-0.97%"
"06/23/2026","15.500","15.840","15.920","15.260","18.03M","-2.15%"
"06/22/2026","15.840","15.930","15.990","15.510","14.61M","-0.13%"
"06/21/2026","15.860","16.250","16.430","15.830","26.70M","-2.04%"
"06/17/2026","16.190","15.840","16.300","15.730","37.60M","2.47%"
"06/16/2026","15.800","16.070","16.130","15.750","39.25M","-1.31%"
"06/15/2026","16.010","15.800","16.330","15.410","51.99M","1.91%"
"06/14/2026","15.710","15.010","16.000","15.010","52.04M","8.34%"
"06/11/2026","14.500","14.680","14.870","14.430","9.24M","-1.36%"
"06/10/2026","14.700","15.120","15.210","14.610","14.29M","-2.46%"
"06/09/2026","15.070","15.010","15.360","15.010","26.54M","0.47%"
"06/08/2026","15.000","14.780","15.200","14.600","20.06M","1.35%"
"06/07/2026","14.800","15.100","15.100","14.640","19.45M","-1.99%"
"06/04/2026","15.100","15.300","15.370","15.080","22.71M","-0.98%"
"06/03/2026","15.250","15.590","15.690","15.150","26.00M","-1.93%"
"06/02/2026","15.550","15.990","15.990","15.520","24.04M","-2.57%"
"06/01/2026","15.960","15.720","16.080","15.510","41.53M","5.21%"
"05/25/2026","15.170","14.430","15.250","14.320","43.43M","5.94%"
"05/24/2026","14.320","14.000","14.500","13.960","43.98M","3.99%"
"05/21/2026","13.770","13.500","13.830","13.400","16.09M","2.76%"
"05/20/2026","13.400","13.760","13.970","13.400","20.86M","-2.12%"
"05/19/2026","13.690","13.700","13.940","13.550","17.48M","1.63%"
"05/18/2026","13.470","13.500","13.750","13.010","23.18M","-0.52%"
"05/17/2026","13.540","13.850","13.950","13.470","21.20M","-2.59%"
"05/14/2026","13.900","14.400","14.400","13.870","21.26M","-2.80%"
"05/13/2026","14.300","14.130","14.400","13.840","36.08M","2.14%"
"05/12/2026","14.000","14.440","14.570","13.850","24.22M","-2.44%"
"05/11/2026","14.350","14.670","14.990","14.000","29.82M","-0.42%"
"05/10/2026","14.410","13.520","14.600","13.520","54.49M","8.35%"
"05/06/2026","13.300","12.720","13.450","12.700","43.76M","4.56%"
"05/05/2026","12.720","12.480","12.930","12.230","32.03M","1.44%"
"05/04/2026","12.540","12.500","13.100","12.220","45.37M","1.13%"
"05/03/2026","12.400","11.490","12.990","11.490","56.76M","9.15%"
"04/30/2026","11.360","11.270","11.750","11.270","51.36M","1.79%"
"04/29/2026","11.160","11.150","11.270","11.090","12.44M","0.27%"
"04/28/2026","11.130","11.110","11.330","11.020","17.31M","0.72%"
"04/27/2026","11.050","11.060","11.230","10.970","18.36M","0.73%"
"04/26/2026","10.970","11.220","11.280","10.700","32.49M","-2.05%"
"04/23/2026","11.200","11.500","11.650","11.000","46.88M","-2.61%"
"04/22/2026","11.500","10.950","12.000","10.750","86.29M","4.83%"
"04/21/2026","10.970","9.900","11.100","9.880","82.96M","12.40%"
"04/20/2026","9.760","9.700","9.800","9.440","40.93M","1.04%"
"04/19/2026","9.660","9.440","9.850","9.330","47.82M","3.87%"
"04/16/2026","9.300","8.980","9.400","8.930","53.05M","4.73%"
"04/15/2026","8.880","8.700","9.100","8.700","64.41M","3.86%"
"04/14/2026","8.550","8.470","8.630","8.450","16.29M","1.42%"
"04/12/2026","8.430","8.630","8.430","8.430","27.76M","0.00%"
"04/09/2026","8.430","8.610","8.680","8.390","27.76M","-2.32%"
"04/08/2026","8.630","8.480","8.640","8.440","31.61M","4.61%"
"04/07/2026","8.250","8.480","8.480","8.210","12.63M","-2.48%"
"04/06/2026","8.460","8.430","8.550","8.390","20.62M","0.48%"
"04/05/2026","8.420","8.490","8.600","8.380","15.03M","-0.47%"
"04/02/2026","8.460","8.340","8.630","8.250","33.22M","1.32%"
"04/01/2026","8.350","8.480","8.500","8.280","17.73M","-0.48%"
"03/31/2026","8.390","8.280","8.400","7.990","28.93M","1.33%"
"03/30/2026","8.280","8.500","8.570","8.200","7.73M","-2.13%"
"03/29/2026","8.460","8.630","8.650","8.400","8.17M","-1.97%"
"03/26/2026","8.630","8.720","8.750","8.630","4.58M","-0.80%"
"03/25/2026","8.700","8.750","8.860","8.690","13.42M","0.46%"
"03/24/2026","8.660","8.880","8.880","8.560","9.89M","1.76%"
"03/18/2026","8.510","8.590","8.640","8.460","12.73M","0.24%"
"03/17/2026","8.490","8.260","8.620","8.250","12.32M","3.54%"
"03/16/2026","8.200","8.610","8.640","8.100","14.95M","-4.65%"
"03/15/2026","8.600","8.700","8.760","8.550","2.57M","-0.92%"
"03/12/2026","8.680","8.820","8.850","8.610","4.30M","-1.36%"
"03/11/2026","8.800","8.940","8.980","8.780","2.97M","-1.12%"
"03/10/2026","8.900","8.710","8.910","8.710","7.39M","2.65%"
"03/09/2026","8.670","8.780","8.840","8.620","8.78M","-0.91%"
"03/08/2026","8.750","9.230","9.250","8.710","16.87M","-5.30%"
"03/05/2026","9.240","8.770","9.300","8.750","23.41M","6.57%"
"03/04/2026","8.670","8.720","8.750","8.460","10.24M","-0.57%"
"03/03/2026","8.720","8.850","8.880","8.520","5.81M","-1.47%"
"03/02/2026","8.850","8.900","8.950","8.720","4.57M","-0.56%"
"03/01/2026","8.900","8.700","8.950","8.440","6.64M","-1.66%"
"02/26/2026","9.050","9.000","9.320","8.820","8.45M","0.67%"
"02/25/2026","8.990","9.270","9.300","8.910","8.01M","-2.81%"
"02/24/2026","9.250","9.450","9.490","9.240","4.04M","-2.01%"
"02/23/2026","9.440","9.120","9.480","9.110","4.32M","1.94%"
"02/22/2026","9.260","9.420","9.520","8.900","10.79M","-1.49%"
"02/19/2026","9.400","9.740","9.790","9.300","9.91M","-3.49%"
"02/18/2026","9.740","9.720","9.980","9.610","28.19M","0.41%"
"02/17/2026","9.700","9.490","9.800","9.230","25.36M","3.41%"
"02/16/2026","9.380","9.350","9.700","9.320","29.28M","0.86%"
"02/15/2026","9.300","8.870","9.430","8.870","42.19M","5.08%"
"02/12/2026","8.850","8.960","8.990","8.790","12.40M","-1.23%"
"02/11/2026","8.960","8.890","9.100","8.850","11.00M","0.79%"
"02/10/2026","8.890","8.920","8.950","8.820","3.60M","-0.22%"
"02/09/2026","8.910","8.910","9.000","8.830","3.27M","0.00%"
"02/08/2026","8.910","8.840","9.050","8.840","15.07M","0.91%"
"02/05/2026","8.830","8.870","8.930","8.710","7.85M","-0.34%"
"02/04/2026","8.860","9.100","9.100","8.830","14.37M","-2.10%"
"02/03/2026","9.050","8.700","9.090","8.670","23.79M","4.02%"
"02/02/2026","8.700","8.710","8.740","8.600","3.84M","0.00%"
"02/01/2026","8.700","8.600","8.700","8.520","6.19M","1.16%"
"01/28/2026","8.600","8.710","8.780","8.550","7.13M","-1.15%"
"01/27/2026","8.700","8.730","8.790","8.580","9.72M","-0.11%"
"01/26/2026","8.710","8.820","8.850","8.650","9.62M","-1.58%"
"01/25/2026","8.850","8.820","8.930","8.650","10.15M","0.57%"
"01/22/2026","8.800","8.960","9.070","8.770","15.89M","-1.90%"
"01/21/2026","8.970","8.750","9.200","8.650","36.35M","2.75%"
"01/20/2026","8.730","8.600","8.890","8.600","23.26M","1.87%"
"01/19/2026","8.570","8.510","8.640","8.490","15.49M","0.82%"
"01/18/2026","8.500","8.500","8.690","8.350","8.62M","0.47%"
"01/15/2026","8.460","8.500","8.580","8.350","6.13M","0.24%"
"01/14/2026","8.440","8.430","8.750","8.280","22.20M","0.48%"
"01/13/2026","8.400","8.700","8.750","8.380","15.29M","-3.45%"
"01/12/2026","8.700","8.760","9.090","8.650","32.49M","-1.02%"
"01/11/2026","8.790","8.240","8.800","8.240","41.38M","7.20%"
"01/08/2026","8.200","8.380","8.380","8.190","7.04M","-2.03%"
"01/06/2026","8.370","8.390","8.490","8.310","5.82M","-0.36%"
