"Date","Price","Open","High","Low","Vol.","Change %"
"07/06/2026","8.28","7.73","8.31","7.70","15.65M","7.12%"
"07/05/2026","7.73","7.71","8.08","7.62","10.66M","0.78%"
"07/01/2026","7.67","7.42","7.85","7.40","8.91M","3.65%"
"06/30/2026","7.40","7.34","7.51","7.26","8.69M","3.35%"
"06/29/2026","7.16","7.00","7.37","7.00","10.51M","2.29%"
"06/28/2026","7.00","7.11","7.17","6.80","6.99M","-0.85%"
"06/25/2026","7.06","7.22","7.45","7.01","10.28M","-1.40%"
"06/24/2026","7.16","7.08","7.54","6.98","18.68M","2.43%"
"06/23/2026","6.99","7.00","7.18","6.67","14.87M","1.30%"
"06/22/2026","6.90","7.97","7.97","6.62","24.77M","-12.77%"
"06/21/2026","7.91","8.89","9.00","7.91","12.74M","-9.60%"
"06/17/2026","8.75","7.88","8.76","7.72","23.33M","11.89%"
"06/16/2026","7.82","6.67","8.00","6.60","25.88M","17.24%"
"06/15/2026","6.67","6.45","6.68","6.40","4.24M","3.89%"
"06/14/2026","6.42","6.29","6.45","6.20","4.45M","2.72%"
"06/11/2026","6.25","6.02","6.33","5.91","225.68M","2.63%"
"06/10/2026","6.09","6.19","6.29","6.00","3.72M","-0.81%"
"06/09/2026","6.14","6.10","6.29","6.03","1.06M","0.99%"
"06/08/2026","6.08","6.14","6.15","5.96","2.00M","-1.78%"
"06/07/2026","6.19","6.28","6.34","6.14","2.03M","-1.43%"
"06/04/2026","6.28","6.19","6.34","6.17","3.92M","1.62%"
"06/03/2026","6.18","6.02","6.21","5.95","5.44M","2.49%"
"06/02/2026","6.03","5.87","6.08","5.86","3.54M","2.38%"
"06/01/2026","5.89","5.82","5.89","5.74","1.11M","3.33%"
"05/25/2026","5.70","5.58","5.86","5.50","3.87M","1.97%"
"05/24/2026","5.59","5.48","5.60","5.35","1.30M","2.57%"
"05/21/2026","5.45","5.60","5.65","5.32","2.32M","-2.15%"
"05/20/2026","5.57","5.43","5.70","5.34","3.68M","2.58%"
"05/19/2026","5.43","5.40","5.49","5.30","2.37M","-0.73%"
"05/18/2026","5.47","5.70","5.70","5.35","2.45M","-3.19%"
"05/17/2026","5.65","5.80","5.85","5.50","1.60M","-1.74%"
"05/14/2026","5.75","5.89","6.09","5.68","10.08M","-2.21%"
"05/13/2026","5.88","5.73","5.94","5.66","3.69M","2.62%"
"05/12/2026","5.73","5.91","5.94","5.65","2.36M","-2.88%"
"05/11/2026","5.90","5.61","5.95","5.61","3.57M","2.25%"
"05/10/2026","5.77","5.24","5.90","5.20","8.63M","9.90%"
"05/06/2026","5.25","5.22","5.26","5.09","2.54M","0.38%"
"05/05/2026","5.23","5.23","5.24","5.08","1.75M","-0.19%"
"05/04/2026","5.24","5.18","5.27","5.13","3.80M","1.35%"
"05/03/2026","5.17","5.07","5.19","5.01","3.60M","2.58%"
"04/30/2026","5.04","5.13","5.16","4.96","1.98M","-2.14%"
"04/29/2026","5.15","5.17","5.18","5.09","1.09M","0.00%"
"04/28/2026","5.15","5.13","5.22","5.03","2.52M","0.39%"
"04/27/2026","5.13","4.99","5.15","4.92","2.18M","2.81%"
"04/26/2026","4.99","5.00","5.01","4.90","1.65M","-0.20%"
"04/23/2026","5.00","4.84","5.10","4.83","7.81M","3.31%"
"04/22/2026","4.84","4.82","4.84","4.75","979.72K","0.41%"
"04/21/2026","4.82","4.80","4.84","4.75","709.95K","-0.41%"
"04/20/2026","4.84","4.80","4.85","4.75","1.33M","-0.21%"
"04/19/2026","4.85","4.81","4.89","4.80","2.26M","0.41%"
"04/16/2026","4.83","4.78","4.85","4.70","3.13M","1.47%"
"04/15/2026","4.76","4.68","4.87","4.60","4.43M","1.49%"
"04/14/2026","4.69","4.50","4.69","4.44","3.37M","4.22%"
"04/12/2026","4.50","4.50","4.50","4.50","1.08M","0.00%"
"04/09/2026","4.50","4.43","4.52","4.41","1.08M","0.00%"
"04/08/2026","4.50","4.50","4.53","4.40","1.80M","1.12%"
"04/07/2026","4.45","4.44","4.53","4.36","2.68M","0.23%"
"04/06/2026","4.44","4.30","4.45","4.25","2.85M","3.98%"
"04/05/2026","4.27","4.20","4.32","4.20","3.55M","2.89%"
"04/02/2026","4.15","4.15","4.15","4.08","816.13K","0.73%"
"04/01/2026","4.12","4.08","4.15","4.08","413.62K","0.98%"
"03/31/2026","4.08","4.07","4.10","4.00","373.94K","0.25%"
"03/30/2026","4.07","4.03","4.10","4.03","280.27K","-0.25%"
"03/29/2026","4.08","4.13","4.13","4.03","308.94K","-1.21%"
"03/26/2026","4.13","4.20","4.20","4.10","943.28K","-1.20%"
"03/25/2026","4.18","4.18","4.22","4.15","1.66M","0.97%"
"03/24/2026","4.14","4.13","4.19","4.09","574.60K","0.49%"
"03/18/2026","4.12","4.13","4.15","4.09","186.42K","0.24%"
"03/17/2026","4.11","4.08","4.14","4.07","158.20K","0.98%"
"03/16/2026","4.07","4.17","4.17","4.05","631.32K","-0.97%"
"03/15/2026","4.11","4.19","4.19","4.08","683.37K","-0.72%"
"03/12/2026","4.14","4.13","4.20","4.13","265.45K","-0.24%"
"03/11/2026","4.15","4.20","4.20","4.13","960.99K","-0.72%"
"03/10/2026","4.18","4.15","4.18","4.10","1.26M","1.95%"
"03/09/2026","4.10","4.11","4.19","4.05","1.37M","-0.97%"
"03/08/2026","4.14","4.17","4.21","4.10","1.53M","-0.24%"
"03/05/2026","4.15","4.11","4.23","4.11","919.26K","0.97%"
"03/04/2026","4.11","3.98","4.19","3.89","1.73M","3.27%"
"03/03/2026","3.98","3.96","4.00","3.87","1.54M","0.51%"
"03/02/2026","3.96","3.91","4.00","3.90","928.68K","0.00%"
"03/01/2026","3.96","3.85","3.97","3.81","822.82K","-1.98%"
"02/26/2026","4.04","4.00","4.15","3.96","2.30M","1.00%"
"02/25/2026","4.00","4.05","4.16","3.94","1.39M","-3.15%"
"02/24/2026","4.13","4.00","4.18","4.00","1.20M","2.23%"
"02/23/2026","4.04","3.98","4.09","3.94","481.97K","2.28%"
"02/22/2026","3.95","4.06","4.19","3.93","1.14M","-3.66%"
"02/19/2026","4.10","4.24","4.24","4.10","566.48K","-2.38%"
"02/18/2026","4.20","4.22","4.26","4.15","1.45M","0.00%"
"02/17/2026","4.20","4.20","4.24","4.15","1.14M","1.45%"
"02/16/2026","4.14","4.25","4.27","4.14","1.77M","-1.43%"
"02/15/2026","4.20","4.20","4.26","4.10","3.15M","0.96%"
"02/12/2026","4.16","4.25","4.25","4.14","1.51M","-0.95%"
"02/11/2026","4.20","4.28","4.35","4.19","1.92M","-1.64%"
"02/10/2026","4.27","4.23","4.41","4.10","6.76M","1.43%"
"02/09/2026","4.21","3.95","4.26","3.93","10.26M","7.67%"
"02/08/2026","3.91","3.80","3.93","3.80","2.52M","2.89%"
"02/05/2026","3.80","3.85","3.89","3.77","2.57M","-0.78%"
"02/04/2026","3.83","3.85","3.90","3.80","1.95M","0.79%"
"02/03/2026","3.80","3.76","3.85","3.74","1.47M","1.60%"
"02/02/2026","3.74","3.81","3.85","3.70","4.44M","-1.58%"
"02/01/2026","3.80","3.77","3.85","3.72","4.39M","1.33%"
"01/28/2026","3.75","3.95","3.95","3.72","2.67M","-3.35%"
"01/27/2026","3.88","3.99","4.00","3.85","1.74M","-1.77%"
"01/26/2026","3.95","4.00","4.03","3.93","886.33K","-1.25%"
"01/25/2026","4.00","4.07","4.08","3.98","883.55K","-1.48%"
"01/22/2026","4.06","4.08","4.13","4.04","1.02M","-0.25%"
"01/21/2026","4.07","4.00","4.09","3.95","1.71M","2.26%"
"01/20/2026","3.98","4.00","4.05","3.98","883.67K","-0.50%"
"01/19/2026","4.00","3.95","4.00","3.93","1.36M","1.78%"
"01/18/2026","3.93","3.89","3.99","3.85","572.47K","1.55%"
"01/15/2026","3.87","3.97","3.97","3.84","977.19K","-1.78%"
"01/14/2026","3.94","4.01","4.06","3.85","1.26M","-2.48%"
"01/13/2026","4.04","4.09","4.11","3.97","1.25M","-0.74%"
"01/12/2026","4.07","4.12","4.18","4.06","1.05M","-0.73%"
"01/11/2026","4.10","4.08","4.18","4.07","1.11M","0.99%"
"01/08/2026","4.06","4.11","4.15","4.05","1.21M","-0.98%"
"01/06/2026","4.10","4.20","4.20","4.09","3.61M","-1.20%"
"01/05/2026","4.15","4.27","4.29","4.13","1.26M","-2.81%"
"01/04/2026","4.27","4.39","4.42","4.22","1.29M","-1.84%"
"12/31/2025","4.35","4.25","4.43","4.25","3.93M","2.35%"
"12/30/2025","4.25","4.19","4.29","4.16","1.58M","0.95%"
"12/29/2025","4.21","4.28","4.28","4.13","944.76K","0.48%"
"12/28/2025","4.19","4.21","4.30","4.18","2.07M","-0.24%"
