"Date","Price","Open","High","Low","Vol.","Change %"
"09/06/2026","136.20","130.00","139.50","130.00","694.07K","4.77%"
"09/03/2026","130.00","128.35","131.75","128.35","364.58K","1.29%"
"09/02/2026","128.35","127.51","132.90","127.00","579.22K","0.66%"
"09/01/2026","127.51","125.95","128.60","123.01","410.81K","1.24%"
"08/31/2026","125.95","126.13","126.90","122.00","457.17K","-0.14%"
"08/30/2026","126.13","127.99","129.00","122.20","351.98K","-1.45%"
"08/26/2026","127.99","126.60","129.79","126.60","257.98K","1.10%"
"08/25/2026","126.60","126.20","131.00","125.75","1.02M","0.32%"
"08/24/2026","126.20","120.89","129.77","120.22","1.29M","4.39%"
"08/23/2026","120.89","116.00","121.80","116.00","427.96K","4.22%"
"08/20/2026","116.00","118.11","120.97","115.00","649.88K","-1.79%"
"08/19/2026","118.11","127.25","129.73","118.11","873.67K","-7.18%"
"08/18/2026","127.25","122.12","133.98","121.00","2.71M","4.20%"
"08/17/2026","122.12","120.90","125.78","119.01","1.05M","1.01%"
"08/16/2026","120.90","107.53","128.90","107.53","4.17M","12.43%"
"08/13/2026","107.53","107.11","109.59","106.80","287.92K","0.39%"
"08/12/2026","107.11","109.30","112.12","107.00","657.62K","-2.00%"
"08/11/2026","109.30","108.00","111.00","106.51","806.75K","1.20%"
"08/10/2026","108.00","110.00","110.95","107.00","665.28K","-1.82%"
"08/09/2026","110.00","107.00","111.00","107.00","678.83K","2.80%"
"08/06/2026","107.00","105.20","113.90","105.20","1.77M","1.71%"
"08/05/2026","105.20","108.00","109.60","104.01","953.13K","-3.50%"
"08/04/2026","109.02","96.44","114.50","95.48","3.80M","14.10%"
"08/03/2026","95.55","95.50","97.95","95.50","371.45K","0.07%"
"08/02/2026","95.48","94.00","95.49","92.50","299.43K","2.67%"
"07/30/2026","93.00","94.47","94.48","91.80","270.01K","-2.05%"
"07/29/2026","94.95","95.73","95.73","93.50","190.65K","-0.49%"
"07/28/2026","95.42","96.09","96.09","95.00","114.81K","-0.50%"
"07/27/2026","95.90","97.00","97.30","94.80","259.54K","-0.47%"
"07/26/2026","96.35","93.95","97.50","93.95","750.02K","2.94%"
"07/22/2026","93.60","92.43","93.90","91.90","309.32K","1.85%"
"07/21/2026","91.90","92.00","92.99","91.50","228.83K","-0.11%"
"07/20/2026","92.00","93.00","93.44","91.01","226.83K","-0.67%"
"07/19/2026","92.62","91.40","93.80","90.90","409.19K","1.32%"
"07/16/2026","91.41","90.80","91.50","90.52","249.31K","1.01%"
"07/15/2026","90.50","89.00","91.49","89.00","572.99K","2.03%"
"07/14/2026","88.70","88.08","88.95","87.41","194.68K","0.26%"
"07/13/2026","88.47","88.77","88.95","88.08","55.52K","-0.34%"
"07/12/2026","88.77","88.80","89.50","88.04","121.54K","-0.26%"
"07/09/2026","89.00","87.50","89.00","87.50","93.70K","1.71%"
"07/08/2026","87.50","89.16","89.50","87.41","139.90K","-2.23%"
"07/07/2026","89.50","88.02","89.96","88.01","206.90K","1.84%"
"07/06/2026","87.88","87.99","88.50","87.51","98.28K","0.42%"
"07/05/2026","87.51","87.70","88.48","87.50","109.36K","0.01%"
"07/01/2026","87.50","86.69","87.50","86.10","91.90K","1.73%"
"06/30/2026","86.01","85.85","86.50","85.11","128.51K","1.18%"
"06/29/2026","85.01","85.95","85.95","84.30","161.13K","-0.62%"
"06/28/2026","85.54","87.11","87.97","84.50","173.98K","-1.63%"
"06/25/2026","86.96","87.40","89.20","86.75","145.38K","-0.47%"
"06/24/2026","87.37","88.40","88.74","87.10","121.55K","-0.96%"
"06/23/2026","88.22","88.20","90.97","88.02","461.99K","0.08%"
"06/22/2026","88.15","87.30","88.79","87.30","190.34K","1.01%"
"06/21/2026","87.27","86.90","87.50","86.75","113.19K","0.60%"
"06/17/2026","86.75","86.60","86.90","86.13","75.08K","0.72%"
"06/16/2026","86.13","86.11","87.00","86.09","62.96K","-0.31%"
"06/15/2026","86.40","87.00","87.80","86.05","92.71K","0.03%"
"06/14/2026","86.37","87.00","87.00","85.66","119.14K","2.32%"
"06/11/2026","84.41","86.00","86.00","84.01","245.25K","-2.08%"
"06/10/2026","86.20","88.00","88.00","86.20","205.98K","-1.28%"
"06/09/2026","87.32","87.99","88.28","87.21","104.73K","0.14%"
"06/08/2026","87.20","87.98","88.06","87.15","188.22K","-0.98%"
"06/07/2026","88.06","88.00","88.54","87.10","157.40K","-0.54%"
"06/04/2026","88.54","88.99","89.00","88.00","116.47K","-0.44%"
"06/03/2026","88.93","90.00","90.00","88.65","153.15K","-0.53%"
"06/02/2026","89.40","90.38","90.77","88.50","458.96K","-1.96%"
"06/01/2026","91.19","89.55","91.60","89.51","562.81K","2.15%"
"05/25/2026","89.27","89.00","89.89","88.75","168.45K","0.62%"
"05/24/2026","88.72","88.90","89.10","88.01","117.64K","0.93%"
"05/21/2026","87.90","88.99","88.99","87.02","139.86K","-0.43%"
"05/20/2026","88.28","88.99","90.95","88.25","220.12K","-0.26%"
"05/19/2026","88.51","87.99","88.88","87.13","191.45K","1.69%"
"05/18/2026","87.04","88.98","89.00","87.04","244.26K","-2.18%"
"05/17/2026","88.98","90.64","90.70","88.00","434.52K","-0.91%"
"05/14/2026","89.80","90.32","91.40","89.50","585.15K","0.45%"
"05/13/2026","89.40","90.79","90.79","88.50","444.58K","-0.12%"
"05/12/2026","89.51","91.03","91.70","89.07","340.39K","-0.76%"
"05/11/2026","90.20","91.60","91.90","88.00","421.87K","-1.47%"
"05/10/2026","91.55","92.00","93.00","91.17","779.79K","0.68%"
"05/06/2026","90.93","87.59","91.87","87.30","1.99M","4.36%"
"05/05/2026","87.13","87.10","87.80","86.01","261.37K","0.02%"
"05/04/2026","87.11","87.85","87.86","86.02","317.06K","0.00%"
"05/03/2026","87.11","88.00","88.20","86.80","307.49K","0.13%"
"04/30/2026","87.00","87.00","88.85","86.70","550.27K","0.35%"
"04/29/2026","86.70","87.31","87.80","86.20","329.91K","-0.69%"
"04/28/2026","87.30","88.00","89.20","86.20","1.20M","1.50%"
"04/27/2026","86.01","83.98","86.90","83.40","2.05M","5.02%"
"04/26/2026","81.90","82.98","82.98","81.90","284.32K","0.10%"
"04/23/2026","81.82","82.25","82.90","81.62","293.29K","-0.16%"
"04/22/2026","81.95","80.79","82.15","80.40","311.39K","1.93%"
