"Date","Price","Open","High","Low","Vol.","Change %"
"07/19/2026","99.88","101.15","101.04","98.81","2.07M","-1.26%"
"07/16/2026","101.15","102.35","103.50","101.11","7.87M","0.14%"
"07/15/2026","101.01","97.91","101.99","97.50","8.40M","3.17%"
"07/14/2026","97.91","97.40","98.15","96.70","2.09M","-0.38%"
"07/13/2026","98.28","96.67","98.28","96.51","2.55M","1.84%"
"07/12/2026","96.50","96.86","97.18","96.30","1.15M","-0.62%"
"07/09/2026","97.10","96.50","97.86","96.50","2.03M","-0.71%"
"07/08/2026","97.79","98.05","98.40","96.10","3.43M","-0.56%"
"07/07/2026","98.34","98.13","99.43","97.80","5.18M","0.36%"
"07/06/2026","97.99","96.01","98.50","96.01","6.18M","2.18%"
"07/05/2026","95.90","95.00","96.60","94.50","2.44M","1.56%"
"07/01/2026","94.43","94.79","95.15","94.10","2.15M","-0.06%"
"06/30/2026","94.49","92.67","94.70","92.60","4.28M","2.31%"
"06/29/2026","92.36","93.60","94.30","92.10","2.25M","-1.32%"
"06/28/2026","93.60","95.90","96.15","93.30","2.28M","-2.36%"
"06/25/2026","95.86","95.98","96.30","94.20","3.79M","0.75%"
"06/24/2026","95.15","95.00","95.90","94.50","2.47M","0.16%"
"06/23/2026","95.00","96.65","96.95","94.20","3.62M","-1.71%"
"06/22/2026","96.65","97.25","97.94","96.50","5.43M","-0.36%"
"06/21/2026","97.00","97.70","98.98","97.00","10.40M","0.21%"
"06/17/2026","96.80","95.65","97.99","95.40","13.38M","1.26%"
"06/16/2026","95.60","95.69","95.69","94.55","4.95M","0.31%"
"06/15/2026","95.30","96.00","96.70","94.97","3.67M","-0.40%"
"06/14/2026","95.68","95.90","96.25","95.05","4.76M","2.98%"
"06/11/2026","92.91","94.00","95.00","92.91","2.95M","-1.54%"
"06/10/2026","94.36","95.80","96.49","94.16","2.68M","-1.50%"
"06/09/2026","95.80","97.00","97.39","95.80","3.23M","-0.93%"
"06/08/2026","96.70","94.47","97.39","94.16","2.78M","2.33%"
"06/07/2026","94.50","96.18","96.40","94.15","2.38M","-1.97%"
"06/04/2026","96.40","96.98","96.98","95.96","2.70M","-0.62%"
"06/03/2026","97.00","97.33","97.33","95.50","2.31M","0.21%"
"06/02/2026","96.80","97.51","97.80","96.79","4.73M","-0.31%"
"06/01/2026","97.10","97.50","98.80","96.70","4.28M","1.15%"
"05/25/2026","96.00","97.55","98.00","96.00","5.47M","-1.03%"
"05/24/2026","97.00","100.34","100.99","97.00","6.36M","-1.22%"
"05/21/2026","98.20","98.23","99.50","98.20","6.49M","0.10%"
"05/20/2026","98.10","99.50","101.40","98.03","12.02M","-0.90%"
"05/19/2026","98.99","94.47","100.50","94.05","11.94M","5.31%"
"05/18/2026","94.00","92.70","94.37","92.16","3.92M","1.40%"
"05/17/2026","92.70","95.17","95.50","92.70","3.39M","-2.57%"
"05/14/2026","95.15","97.00","97.60","95.11","3.74M","-1.96%"
"05/13/2026","97.05","98.49","98.97","96.35","5.27M","-0.47%"
"05/12/2026","97.51","98.50","98.85","97.15","2.61M","-0.75%"
"05/11/2026","98.25","100.88","100.95","98.10","2.72M","-1.75%"
"05/10/2026","100.00","99.05","100.60","98.53","7.10M","1.88%"
"05/06/2026","98.15","98.78","99.90","98.15","9.51M","-0.05%"
"05/05/2026","98.20","96.01","98.45","95.01","6.52M","1.34%"
"05/04/2026","96.90","96.50","97.95","95.90","8.15M","0.93%"
"05/03/2026","96.01","94.49","96.40","94.20","4.39M","2.02%"
"04/30/2026","94.11","95.01","95.27","94.04","7.02M","-0.62%"
"04/29/2026","94.70","94.28","95.50","93.93","4.72M","0.72%"
"04/28/2026","94.02","94.59","95.30","93.93","3.21M","0.02%"
"04/27/2026","94.00","93.45","95.37","93.01","4.47M","1.08%"
"04/26/2026","93.00","93.81","94.28","93.00","1.65M","-0.59%"
"04/23/2026","93.55","93.90","95.88","93.40","8.96M","0.31%"
"04/22/2026","93.26","94.80","95.47","93.00","3.43M","-0.84%"
"04/21/2026","94.05","94.50","95.63","93.91","4.99M","0.59%"
"04/20/2026","93.50","94.00","94.99","91.72","5.31M","0.16%"
"04/19/2026","93.35","91.00","100.00","91.00","16.88M","7.92%"
"04/16/2026","86.50","86.40","87.00","85.55","2.42M","0.58%"
"04/15/2026","86.00","85.55","86.50","85.50","1.91M","0.58%"
"04/14/2026","85.50","85.30","87.19","85.30","3.86M","0.60%"
"04/12/2026","84.99","84.00","84.99","84.99","4.82M","0.00%"
"04/09/2026","84.99","83.80","86.23","82.51","4.82M","1.18%"
"04/08/2026","84.00","80.00","84.00","79.98","7.84M","8.11%"
"04/07/2026","77.70","79.30","79.85","77.30","1.93M","-1.99%"
"04/06/2026","79.28","79.50","81.30","79.14","4.73M","0.20%"
"04/05/2026","79.12","77.51","79.50","77.40","2.23M","2.21%"
"04/02/2026","77.41","77.77","79.50","76.51","2.81M","-2.01%"
"04/01/2026","79.00","75.50","79.00","75.40","3.28M","6.03%"
"03/31/2026","74.51","75.00","76.00","74.20","3.46M","-0.65%"
"03/30/2026","75.00","76.45","76.78","74.01","2.93M","-1.85%"
"03/29/2026","76.41","78.02","78.49","76.25","1.93M","-2.08%"
"03/26/2026","78.03","79.35","79.78","78.01","1.34M","-1.54%"
"03/25/2026","79.25","78.85","80.40","78.60","2.18M","0.96%"
"03/24/2026","78.50","79.82","81.00","78.50","2.62M","-0.63%"
"03/18/2026","79.00","77.00","79.90","77.00","9.47M","3.11%"
"03/17/2026","76.62","74.33","76.95","74.30","2.31M","3.81%"
"03/16/2026","73.81","76.73","77.95","73.73","2.91M","-3.77%"
"03/15/2026","76.70","78.10","78.80","76.53","1.29M","-1.67%"
"03/12/2026","78.00","79.98","79.98","77.60","2.29M","-2.44%"
"03/11/2026","79.95","79.98","80.25","78.70","2.62M","0.19%"
"03/10/2026","79.80","77.21","79.98","77.21","4.52M","4.31%"
"03/09/2026","76.50","77.96","78.00","76.00","4.71M","-1.78%"
"03/08/2026","77.89","80.50","80.70","77.20","4.82M","-3.35%"
"03/05/2026","80.59","80.10","81.86","79.76","4.86M","2.01%"
"03/04/2026","79.00","78.70","80.00","74.50","10.55M","1.28%"
"03/03/2026","78.00","83.25","83.95","78.00","4.72M","-6.27%"
"03/02/2026","83.22","84.94","85.24","83.20","3.82M","-2.37%"
"03/01/2026","85.24","82.03","85.24","82.03","3.57M","-2.14%"
"02/26/2026","87.10","88.02","89.90","87.10","4.72M","-0.85%"
"02/25/2026","87.85","91.53","91.98","86.83","5.77M","-3.99%"
"02/24/2026","91.50","93.32","94.00","91.11","2.73M","-1.58%"
"02/23/2026","92.97","91.10","93.00","89.50","3.74M","2.74%"
"02/22/2026","90.49","93.00","93.50","89.00","2.18M","-1.16%"
"02/19/2026","91.55","96.37","97.39","91.55","2.63M","-5.00%"
"02/18/2026","96.37","96.10","96.80","95.54","1.61M","0.70%"
"02/17/2026","95.70","92.50","97.00","92.20","4.75M","4.02%"
"02/16/2026","92.00","92.04","95.35","91.80","6.17M","0.44%"
