"Date","Price","Open","High","Low","Vol.","Change %"
"07/28/2026","1,105.00","1,097.00","1,118.30","1,097.00","28.10M","2.39%"
"07/27/2026","1,079.20","1,065.00","1,082.00","1,057.40","15.96M","3.68%"
"07/24/2026","1,040.90","1,028.00","1,043.40","1,013.90","29.04M","-0.62%"
"07/23/2026","1,047.40","1,046.90","1,058.50","1,032.00","13.79M","-0.45%"
"07/22/2026","1,052.10","1,064.00","1,069.30","1,046.20","7.52M","-1.99%"
"07/21/2026","1,073.50","1,080.00","1,094.50","1,067.20","9.49M","-1.25%"
"07/20/2026","1,087.10","1,102.00","1,103.80","1,083.20","6.37M","-0.86%"
"07/17/2026","1,096.50","1,105.00","1,116.80","1,092.00","12.55M","1.30%"
"07/16/2026","1,082.40","1,082.50","1,097.30","1,077.90","8.59M","0.57%"
"07/15/2026","1,076.30","1,079.00","1,088.10","1,073.00","8.50M","-1.52%"
"07/14/2026","1,092.90","1,107.80","1,113.50","1,090.00","14.82M","-0.88%"
"07/13/2026","1,102.60","1,057.10","1,114.90","1,057.10","20.99M","3.24%"
"07/10/2026","1,068.00","1,075.00","1,091.30","1,064.70","9.75M","1.64%"
"07/09/2026","1,050.80","1,062.70","1,062.70","1,040.40","9.00M","-1.73%"
"07/08/2026","1,069.30","1,071.90","1,079.70","1,064.40","13.02M","-0.23%"
"07/07/2026","1,071.80","1,040.60","1,087.50","1,040.60","18.87M","2.84%"
"07/06/2026","1,042.20","1,050.10","1,053.00","1,033.00","5.56M","-0.48%"
"07/03/2026","1,047.20","1,063.00","1,068.70","1,042.00","11.65M","0.61%"
"07/02/2026","1,040.90","1,006.40","1,045.00","1,006.00","18.74M","5.64%"
"07/01/2026","985.30","1,006.00","1,014.00","982.40","13.04M","-1.51%"
"06/30/2026","1,000.40","1,030.00","1,030.40","996.00","24.13M","-3.50%"
"06/29/2026","1,036.70","1,037.10","1,046.60","1,029.10","15.08M","-0.43%"
"06/25/2026","1,041.20","1,065.00","1,068.00","1,039.10","15.87M","-1.46%"
"06/24/2026","1,056.60","1,040.90","1,065.50","1,037.70","12.35M","2.65%"
"06/23/2026","1,029.30","1,053.80","1,055.30","1,026.00","19.32M","-3.39%"
"06/22/2026","1,065.40","1,055.00","1,080.30","1,055.00","10.18M","1.33%"
"06/19/2026","1,051.40","1,062.30","1,066.00","1,030.00","45.67M","-6.75%"
"06/18/2026","1,127.50","1,142.90","1,142.90","1,125.30","16.78M","-2.61%"
"06/17/2026","1,157.70","1,149.00","1,162.50","1,148.00","6.00M","1.23%"
"06/16/2026","1,143.60","1,136.90","1,153.80","1,123.20","10.46M","0.77%"
"06/15/2026","1,134.90","1,130.00","1,151.00","1,123.00","7.86M","1.66%"
"06/12/2026","1,116.40","1,120.00","1,123.30","1,111.50","8.08M","0.16%"
"06/11/2026","1,114.60","1,129.70","1,133.70","1,109.00","9.37M","-2.68%"
"06/10/2026","1,145.30","1,160.10","1,171.40","1,143.30","8.89M","-2.97%"
"06/09/2026","1,180.30","1,193.60","1,193.60","1,167.30","10.98M","-0.61%"
"06/08/2026","1,187.60","1,177.50","1,200.70","1,176.50","8.63M","-0.83%"
"06/05/2026","1,197.50","1,220.00","1,223.80","1,194.30","8.69M","-0.32%"
"06/04/2026","1,201.30","1,208.00","1,215.20","1,196.20","12.76M","-1.74%"
"06/03/2026","1,222.60","1,242.10","1,249.90","1,216.00","18.53M","-3.79%"
"06/02/2026","1,270.80","1,232.50","1,278.90","1,232.50","36.03M","5.68%"
"06/01/2026","1,202.50","1,175.00","1,217.00","1,173.70","19.44M","3.58%"
"05/29/2026","1,160.90","1,182.00","1,210.00","1,153.60","69.09M","0.09%"
"05/27/2026","1,159.90","1,161.00","1,167.30","1,155.00","6.37M","-0.67%"
"05/26/2026","1,167.70","1,166.30","1,180.70","1,162.90","8.01M","-0.07%"
"05/25/2026","1,168.50","1,183.00","1,185.00","1,166.10","5.86M","-0.51%"
"05/22/2026","1,174.50","1,182.50","1,191.80","1,172.50","8.80M","-0.57%"
"05/21/2026","1,181.20","1,196.10","1,201.80","1,177.00","10.02M","-1.05%"
"05/20/2026","1,193.70","1,187.00","1,206.90","1,184.90","15.12M","-0.27%"
"05/19/2026","1,196.90","1,162.00","1,198.40","1,162.00","32.18M","4.76%"
"05/18/2026","1,142.50","1,119.00","1,146.10","1,118.00","12.10M","2.10%"
"05/15/2026","1,119.00","1,102.00","1,133.20","1,101.60","17.48M","2.19%"
"05/14/2026","1,095.00","1,119.80","1,121.90","1,089.00","16.91M","-2.50%"
"05/13/2026","1,123.10","1,136.60","1,142.60","1,121.00","6.66M","-1.51%"
"05/12/2026","1,140.30","1,162.00","1,162.00","1,123.00","16.89M","-3.12%"
"05/11/2026","1,177.00","1,176.00","1,187.00","1,172.10","7.34M","-0.19%"
