"Date","Price","Open","High","Low","Vol.","Change %"
"07/06/2026","1,321.30","1,304.00","1,325.60","1,299.40","7.61M","1.33%"
"07/03/2026","1,304.00","1,312.00","1,312.00","1,302.00","7.84M","0.04%"
"07/02/2026","1,303.50","1,310.00","1,313.20","1,299.00","17.80M","-0.34%"
"07/01/2026","1,308.00","1,298.90","1,312.20","1,296.50","7.00M","1.09%"
"06/30/2026","1,293.90","1,306.90","1,306.90","1,290.00","15.70M","-0.55%"
"06/29/2026","1,301.00","1,308.00","1,313.70","1,292.60","13.76M","-1.30%"
"06/25/2026","1,318.10","1,318.00","1,328.00","1,314.60","12.69M","0.34%"
"06/24/2026","1,313.60","1,305.70","1,322.00","1,297.50","11.03M","0.31%"
"06/23/2026","1,309.50","1,328.90","1,333.00","1,304.00","15.40M","-1.28%"
"06/22/2026","1,326.50","1,316.70","1,344.90","1,314.10","12.93M","1.30%"
"06/19/2026","1,309.50","1,328.00","1,338.20","1,305.30","24.89M","-1.40%"
"06/18/2026","1,328.10","1,330.00","1,333.90","1,322.00","15.49M","-0.35%"
"06/17/2026","1,332.70","1,333.00","1,334.00","1,317.00","10.03M","0.29%"
"06/16/2026","1,328.80","1,313.40","1,333.40","1,306.40","18.51M","1.67%"
"06/15/2026","1,307.00","1,315.30","1,325.00","1,303.30","18.63M","1.08%"
"06/12/2026","1,293.00","1,277.00","1,297.00","1,262.50","11.99M","2.38%"
"06/11/2026","1,263.00","1,258.00","1,276.00","1,253.20","13.12M","0.33%"
"06/10/2026","1,258.80","1,275.00","1,300.50","1,254.40","21.01M","-0.82%"
"06/09/2026","1,269.20","1,269.00","1,274.20","1,257.50","23.62M","0.47%"
"06/08/2026","1,263.30","1,277.00","1,282.60","1,259.20","16.49M","-2.15%"
"06/05/2026","1,291.00","1,304.50","1,306.00","1,288.00","17.79M","-0.97%"
"06/04/2026","1,303.70","1,301.00","1,311.20","1,293.10","23.47M","-0.72%"
"06/03/2026","1,313.20","1,315.00","1,324.00","1,301.00","20.01M","-0.11%"
"06/02/2026","1,314.60","1,307.70","1,327.80","1,300.30","23.30M","-0.41%"
"06/01/2026","1,320.00","1,332.50","1,335.50","1,318.50","10.70M","-0.09%"
"05/29/2026","1,321.20","1,364.00","1,369.00","1,317.00","42.63M","-2.17%"
"05/27/2026","1,350.50","1,353.00","1,361.00","1,348.60","13.22M","-0.43%"
"05/26/2026","1,356.30","1,360.10","1,368.50","1,352.40","13.77M","-0.78%"
"05/25/2026","1,367.00","1,366.80","1,371.10","1,357.00","6.75M","0.92%"
"05/22/2026","1,354.50","1,350.00","1,367.40","1,349.10","7.11M","0.36%"
"05/21/2026","1,349.60","1,367.20","1,370.90","1,345.20","17.15M","-0.74%"
"05/20/2026","1,359.70","1,318.70","1,362.90","1,312.60","13.25M","2.80%"
"05/19/2026","1,322.70","1,338.70","1,344.00","1,318.40","21.67M","-0.99%"
"05/18/2026","1,335.90","1,334.00","1,342.00","1,318.70","13.02M","-0.04%"
"05/15/2026","1,336.40","1,356.80","1,364.80","1,329.20","19.98M","-1.87%"
"05/14/2026","1,361.80","1,365.20","1,378.00","1,358.40","17.30M","0.22%"
"05/13/2026","1,358.80","1,361.40","1,372.40","1,352.40","13.80M","-0.38%"
"05/12/2026","1,364.00","1,392.00","1,393.50","1,360.30","24.36M","-1.74%"
"05/11/2026","1,388.20","1,420.00","1,428.00","1,382.00","15.26M","-3.27%"
"05/08/2026","1,435.20","1,426.00","1,442.80","1,417.50","8.66M","-0.07%"
"05/07/2026","1,436.20","1,438.80","1,449.50","1,430.30","19.82M","-0.12%"
"05/06/2026","1,437.90","1,463.00","1,473.30","1,427.50","14.22M","-1.76%"
"05/05/2026","1,463.60","1,460.00","1,473.40","1,450.00","23.54M","0.03%"
"05/04/2026","1,463.10","1,433.40","1,467.40","1,433.40","24.04M","2.26%"
"04/30/2026","1,430.80","1,409.00","1,437.00","1,393.10","30.96M","0.38%"
"04/29/2026","1,425.40","1,392.00","1,433.80","1,391.30","30.54M","2.63%"
"04/28/2026","1,388.90","1,358.00","1,395.20","1,357.00","41.03M","1.69%"
"04/27/2026","1,365.80","1,313.00","1,371.60","1,311.00","24.67M","2.86%"
"04/24/2026","1,327.80","1,340.00","1,345.90","1,325.00","11.74M","-1.16%"
"04/23/2026","1,343.40","1,346.00","1,355.50","1,340.70","16.39M","-1.37%"
"04/22/2026","1,362.10","1,350.30","1,366.00","1,349.10","9.53M","0.65%"
"04/21/2026","1,353.30","1,359.00","1,369.80","1,350.10","27.29M","-0.73%"
"04/20/2026","1,363.30","1,363.20","1,373.00","1,352.80","13.61M","-0.12%"
"04/17/2026","1,365.00","1,340.00","1,368.40","1,340.00","13.87M","1.62%"
"04/16/2026","1,343.30","1,352.00","1,353.80","1,330.00","30.21M","-0.06%"
"04/15/2026","1,344.10","1,337.00","1,347.00","1,334.20","15.31M","2.21%"
"04/13/2026","1,315.10","1,321.20","1,327.60","1,310.00","28.75M","-2.60%"
"04/10/2026","1,350.20","1,337.00","1,352.30","1,331.50","19.36M","1.52%"
"04/09/2026","1,330.00","1,346.00","1,350.00","1,326.30","20.73M","-1.32%"
"04/08/2026","1,347.80","1,349.00","1,350.60","1,326.20","21.82M","3.31%"
"04/07/2026","1,304.60","1,295.00","1,308.30","1,291.00","28.39M","-0.01%"
"04/06/2026","1,304.70","1,359.00","1,359.00","1,290.00","29.27M","-3.39%"
"04/02/2026","1,350.50","1,357.00","1,358.20","1,328.00","21.28M","-1.37%"
"04/01/2026","1,369.20","1,384.20","1,384.40","1,362.90","14.40M","1.88%"
"03/30/2026","1,343.90","1,335.00","1,365.00","1,334.10","24.39M","-0.31%"
"03/27/2026","1,348.10","1,401.00","1,404.70","1,345.00","23.27M","-4.60%"
"03/25/2026","1,413.10","1,420.00","1,430.50","1,408.40","19.04M","0.09%"
"03/24/2026","1,411.80","1,420.00","1,422.40","1,406.60","18.62M","0.28%"
"03/23/2026","1,407.80","1,400.00","1,415.60","1,391.00","18.98M","-0.47%"
"03/20/2026","1,414.40","1,398.00","1,430.00","1,396.10","22.99M","2.14%"
"03/19/2026","1,384.80","1,388.00","1,415.70","1,376.10","16.50M","-1.65%"
"03/18/2026","1,408.10","1,397.20","1,412.90","1,397.20","9.56M","0.75%"
"03/17/2026","1,397.60","1,399.00","1,405.90","1,388.20","19.01M","0.18%"
"03/16/2026","1,395.10","1,380.00","1,397.30","1,363.50","22.84M","1.04%"
"03/13/2026","1,380.70","1,385.20","1,400.80","1,378.40","17.27M","-0.83%"
"03/12/2026","1,392.20","1,390.00","1,410.90","1,381.10","20.94M","0.14%"
"03/11/2026","1,390.20","1,424.90","1,434.00","1,383.60","21.85M","-1.32%"
"03/10/2026","1,408.80","1,430.60","1,431.50","1,400.60","18.07M","-1.07%"
"03/09/2026","1,424.00","1,375.00","1,429.40","1,370.00","24.87M","1.37%"
"03/06/2026","1,404.80","1,396.50","1,424.30","1,390.30","19.31M","1.11%"
"03/05/2026","1,389.40","1,353.10","1,399.00","1,353.10","25.96M","3.30%"
"03/04/2026","1,345.00","1,330.00","1,352.80","1,307.00","32.50M","-0.96%"
