Date,Price,Open,High,Low,Vol.,Change %
07/28/2026,324.15,327.0,327.0,323.0,6.65M,-1.07%
07/27/2026,327.65,326.75,329.05,326.1,4.78M,1.19%
07/24/2026,323.8,321.0,325.75,318.25,7.17M,-0.15%
07/23/2026,324.3,326.95,328.5,323.8,6.99M,-1.04%
07/22/2026,327.7,333.8,334.6,327.1,8.61M,-1.83%
07/21/2026,333.8,336.1,337.65,331.8,5.85M,-0.79%
07/20/2026,336.45,335.5,337.6,332.45,7.56M,0.25%
07/17/2026,335.6,332.1,336.8,330.2,7.79M,1.15%
07/16/2026,331.8,334.65,339.2,331.3,8.19M,-0.36%
07/15/2026,333.0,335.0,335.1,330.8,7.14M,-0.10%
07/14/2026,333.35,340.05,340.75,332.55,8.04M,-2.60%
07/13/2026,342.25,339.35,344.0,334.4,8.40M,1.27%
07/10/2026,337.95,334.55,340.25,333.65,19.33M,1.95%
07/09/2026,331.5,332.9,334.6,330.0,11.55M,-0.17%
07/08/2026,332.05,340.95,341.4,330.75,10.79M,-2.99%
07/07/2026,342.3,348.8,348.8,341.7,7.43M,-1.37%
07/06/2026,347.05,345.5,348.65,341.6,4.98M,0.86%
07/03/2026,344.1,346.5,347.55,341.0,12.65M,-0.53%
07/02/2026,345.95,351.15,351.25,345.0,10.42M,-0.53%
07/01/2026,347.8,353.5,354.6,346.5,12.06M,-1.25%
06/30/2026,352.2,348.0,356.4,343.3,17.61M,2.07%
06/29/2026,345.05,350.0,354.45,343.4,11.88M,-2.31%
06/25/2026,353.2,352.3,360.5,351.0,15.42M,1.00%
06/24/2026,349.7,355.0,356.8,348.0,12.57M,-1.37%
06/23/2026,354.55,361.5,361.9,350.1,16.26M,-1.92%
06/22/2026,361.5,362.0,370.5,360.0,15.45M,0.56%
06/19/2026,359.5,363.75,363.75,356.5,11.93M,-1.41%
06/18/2026,364.65,363.9,366.25,359.15,22.66M,1.03%
06/17/2026,360.95,395.5,395.6,355.0,51.99M,-8.30%
06/16/2026,393.6,398.3,398.65,387.55,6.43M,-0.71%
06/15/2026,396.4,398.2,407.8,395.25,11.10M,1.64%
06/12/2026,390.0,380.25,392.95,379.0,7.79M,3.75%
06/11/2026,375.9,375.0,378.4,372.35,6.51M,-1.34%
06/10/2026,381.0,388.0,388.8,380.0,7.25M,-1.75%
06/09/2026,387.8,393.95,395.45,386.8,8.55M,-0.31%
06/08/2026,389.0,392.0,392.9,387.0,7.59M,-2.21%
