Date,Price,Open,High,Low,Vol.,Change %
01/03/2011,15360,15500,15500,15220,336.66K,-0.52%
01/04/2011,15520,15360,15880,15360,387.07K,1.04%
01/05/2011,15600,15560,15700,15400,276.98K,0.52%
01/06/2011,15640,15760,15840,15520,221.75K,0.26%
01/07/2011,16020,15720,16100,15580,508.82K,2.43%
01/10/2011,15860,16140,16340,15860,288.99K,-1.00%
01/11/2011,16200,15920,16200,15640,418.23K,2.14%
01/12/2011,16020,16280,16280,15860,446.13K,-1.11%
01/13/2011,16240,16020,16280,15800,546.10K,1.37%
01/14/2011,16120,16240,16320,15920,678.17K,-0.74%
01/17/2011,16160,15980,16200,15720,590.46K,0.25%
01/18/2011,15720,15980,16080,15720,383.10K,-2.72%
01/19/2011,16020,15780,16060,15460,490.39K,1.91%
01/20/2011,15740,15700,16020,15660,298.09K,-1.75%
01/21/2011,15740,15740,15840,15460,375.82K,0.00%
01/24/2011,15900,15740,15980,15600,372.80K,1.02%
01/25/2011,15800,15880,15980,15800,231.88K,-0.63%
01/26/2011,16280,15880,16320,15880,623.09K,3.04%
01/27/2011,16600,16340,16600,16120,605.49K,1.97%
01/28/2011,16640,16700,16940,16440,535.85K,0.24%
01/31/2011,16120,16440,16580,16100,393.98K,-3.13%
02/01/2011,16300,16140,16320,16020,284.57K,1.12%
02/07/2011,16460,16780,16780,16380,367.01K,0.98%
02/08/2011,16600,16460,16740,16400,358.96K,0.85%
02/09/2011,16680,16440,16800,16260,429.38K,0.48%
02/10/2011,16740,16520,17080,16520,614.81K,0.36%
02/11/2011,16780,16820,17340,16640,688.31K,0.24%
02/14/2011,17000,16780,17080,16700,514.34K,1.31%
02/15/2011,17280,17000,17360,16900,1.32M,1.65%
02/16/2011,17240,17440,17700,17120,637.22K,-0.23%
02/17/2011,17420,17400,17480,16600,776.45K,1.04%
02/18/2011,17700,17420,17840,17220,561.75K,1.61%
02/21/2011,17900,17700,18000,17600,455.27K,1.13%
02/22/2011,17880,17800,18020,17640,246.23K,-0.11%
02/23/2011,17900,17860,18000,17520,617.05K,0.11%
02/24/2011,18580,17900,18960,17800,1.30M,3.80%
02/25/2011,19560,18800,19900,18580,1.03M,5.27%
02/28/2011,19920,19800,19980,19000,1.29M,1.84%
03/02/2011,19160,19620,19920,18720,1.22M,-3.82%
03/03/2011,19700,19080,19720,18760,958.34K,2.82%
03/04/2011,18920,19700,19700,18880,1.00M,-3.96%
03/07/2011,18520,18820,19100,18520,610.08K,-2.11%
03/08/2011,19080,18660,19120,18500,500.00K,3.02%
03/09/2011,19400,19100,19460,18840,305.26K,1.68%
03/10/2011,18980,19500,19520,18480,603.72K,-2.16%
03/11/2011,18500,18780,18780,18240,482.94K,-2.53%
03/14/2011,18200,18300,18580,17520,594.90K,-1.62%
03/15/2011,18000,18200,18820,17200,685.60K,-1.10%
03/16/2011,18040,18100,18480,17840,605.65K,0.22%
03/17/2011,18140,17600,18160,17540,297.26K,0.55%
03/18/2011,18200,18160,18540,18120,550.00K,0.33%
03/21/2011,18080,18240,18340,17780,568.30K,-0.66%
03/22/2011,18400,18180,18400,17920,441.50K,1.77%
03/23/2011,19160,18480,19340,18320,573.17K,4.13%
