Date,Price,Open,High,Low,Vol.,Change %
06/26/2026,"339,500","354,000","356,500","321,500",35.23M,-5.30%
06/25/2026,"358,500","359,500","362,500","352,000",34.55M,5.29%
06/24/2026,"340,500","314,000","341,000","314,000",46.32M,9.84%
06/23/2026,"310,000","347,500","353,000","310,000",40.14M,-12.31%
06/22/2026,"353,500","343,000","363,000","342,000",24.14M,-0.14%
06/19/2026,"354,000","372,500","374,500","346,250",42.71M,-2.34%
06/18/2026,"362,500","345,000","363,000","344,500",32.23M,4.62%
06/17/2026,"346,500","332,000","348,000","331,500",17.96M,1.02%
06/16/2026,"343,000","343,000","345,500","332,500",16.69M,1.78%
06/15/2026,"337,000","342,500","344,500","334,000",20.18M,4.50%
06/12/2026,"322,500","326,000","339,000","320,000",30.72M,7.86%
06/11/2026,"299,000","290,500","306,500","287,500",30.07M,-1.16%
06/10/2026,"302,500","311,000","314,500","295,250",26.15M,-6.06%
06/09/2026,"322,000","310,000","324,000","300,000",28.99M,8.97%
06/08/2026,"295,500","293,000","315,500","292,500",38.47M,-10.18%
06/05/2026,"329,000","333,500","343,000","325,000",31.30M,-6.40%
06/04/2026,"351,500","349,000","366,000","348,000",34.29M,-2.50%
06/02/2026,"360,500","360,500","370,000","342,000",43.10M,3.30%
06/01/2026,"349,000","319,500","354,500","319,500",39.37M,10.09%
05/29/2026,"317,000","309,500","319,000","305,500",32.80M,5.84%
05/28/2026,"299,500","305,000","306,500","287,500",30.04M,-2.44%
05/27/2026,"307,000","321,500","323,000","306,000",33.45M,2.68%
05/26/2026,"299,000","298,000","302,000","297,500",21.77M,2.22%
05/22/2026,"292,500","300,000","300,500","292,000",18.19M,-2.34%
05/21/2026,"299,500","291,000","299,500","287,000",36.13M,8.51%
05/20/2026,"276,000","278,000","282,500","263,500",34.11M,0.18%
05/19/2026,"275,500","274,000","281,500","266,000",30.19M,-1.96%
05/18/2026,"281,000","269,500","288,500","262,000",33.50M,3.88%
05/15/2026,"270,500","291,000","296,500","266,000",37.93M,-8.61%
05/14/2026,"296,000","282,000","299,500","282,000",39.30M,4.23%
05/13/2026,"284,000","264,000","285,500","262,000",35.44M,1.79%
05/12/2026,"279,000","290,000","291,500","266,000",40.94M,-2.28%
05/11/2026,"285,500","284,500","288,500","280,000",34.32M,6.33%
05/08/2026,"268,500","260,000","270,000","260,000",25.70M,-1.10%
05/07/2026,"271,500","272,000","277,000","260,000",40.55M,2.07%
05/06/2026,"266,000","254,000","270,000","251,000",50.11M,14.41%
05/04/2026,"232,500","228,000","232,500","224,000",31.91M,5.44%
04/30/2026,"220,500","229,000","230,000","220,500",20.52M,-2.43%
04/29/2026,"226,000","219,500","228,000","218,500",20.21M,1.80%
04/28/2026,"222,000","224,000","226,000","221,500",18.37M,-1.11%
04/27/2026,"224,500","220,000","226,000","218,500",22.53M,2.28%
04/24/2026,"219,500","224,000","225,000","216,500",19.17M,-2.23%
04/23/2026,"224,500","223,000","229,500","216,000",33.87M,3.22%
