"Date","Price","Open","High","Low","Vol.","Change %"
"07/28/2026","10.700","10.880","10.900","10.670","1.45M","-1.83%"
"07/27/2026","10.900","10.900","10.940","10.810","587.16K","0.46%"
"07/26/2026","10.850","10.880","10.970","10.850","382.03K","-1.09%"
"07/23/2026","10.970","10.970","11.000","10.810","1.15M","0.00%"
"07/22/2026","10.970","10.910","11.090","10.850","2.21M","0.46%"
"07/21/2026","10.920","10.840","10.960","10.780","1.10M","0.74%"
"07/20/2026","10.840","10.680","10.840","10.670","1.57M","1.50%"
"07/19/2026","10.680","10.880","10.890","10.660","1.48M","-1.66%"
"07/12/2026","10.860","10.800","10.960","10.760","982.05K","0.56%"
"07/09/2026","10.800","11.000","11.000","10.800","1.95M","-2.00%"
"07/08/2026","11.020","11.080","11.080","10.960","1.66M","-0.54%"
"07/07/2026","11.080","11.100","11.110","11.000","2.66M","-0.45%"
"07/06/2026","11.130","11.070","11.130","11.050","762.94K","0.54%"
"07/05/2026","11.070","11.070","11.090","11.040","1.15M","0.00%"
"07/02/2026","11.070","11.100","11.140","11.030","974.74K","-0.27%"
"07/01/2026","11.100","11.010","11.110","10.970","1.26M","0.91%"
"06/30/2026","11.000","11.000","11.110","10.950","1.22M","-0.09%"
"06/29/2026","11.010","11.120","11.220","11.010","1.63M","-0.81%"
"06/28/2026","11.100","11.100","11.210","11.040","725.29K","0.63%"
"06/25/2026","11.030","11.270","11.270","11.030","2.00M","-0.99%"
"06/24/2026","11.140","11.200","11.300","11.140","1.93M","-0.54%"
"06/23/2026","11.200","11.330","11.390","11.200","1.84M","-0.97%"
"06/22/2026","11.310","11.400","11.490","11.310","2.53M","-1.82%"
"06/21/2026","11.520","11.520","11.660","11.500","1.14M","0.09%"
"06/18/2026","11.510","11.690","11.810","11.510","8.56M","-1.54%"
"06/17/2026","11.690","11.640","11.770","11.610","4.60M","0.43%"
"06/16/2026","11.640","11.750","11.830","11.620","2.95M","-0.94%"
"06/15/2026","11.750","12.050","12.050","11.670","5.72M","-1.09%"
"06/14/2026","11.880","12.300","12.300","11.850","2.13M","0.17%"
"06/11/2026","11.860","11.680","11.900","11.630","1.17M","1.28%"
"06/10/2026","11.710","11.570","11.760","11.560","1.18M","1.21%"
