Date,Price,Open,High,Low,Vol.,Change %
07/26/2026,191.2,192.2,193.5,190.3,147.87K,-1.44%
07/23/2026,194.0,188.3,194.0,186.7,437.73K,2.92%
07/22/2026,188.5,187.9,189.0,185.6,219.04K,0.43%
07/21/2026,187.7,183.9,187.7,182.5,242.54K,1.84%
07/20/2026,184.3,182.2,185.9,181.7,347.81K,1.15%
07/19/2026,182.2,183.6,183.6,178.6,261.42K,-0.82%
07/16/2026,183.7,186.0,186.0,183.5,179.44K,-1.24%
07/15/2026,186.0,187.8,187.8,185.0,198.60K,-0.96%
07/14/2026,187.8,189.0,189.3,186.0,293.64K,-0.48%
07/13/2026,188.7,190.1,194.0,188.7,371.01K,-0.84%
07/12/2026,190.3,192.1,192.5,190.3,161.35K,-0.89%
07/09/2026,192.0,194.0,194.9,189.2,314.30K,-1.39%
07/08/2026,194.7,196.8,196.8,193.9,416.91K,-2.11%
07/07/2026,198.9,196.2,199.9,193.1,673.28K,3.11%
07/06/2026,192.9,192.8,194.3,191.8,183.24K,-0.05%
07/05/2026,193.0,194.4,195.0,191.0,146.08K,-0.67%
07/02/2026,194.3,197.0,197.0,194.1,178.33K,-1.37%
07/01/2026,197.0,194.2,198.0,192.7,419.10K,1.55%
06/30/2026,194.0,188.9,194.5,188.5,449.97K,2.81%
06/29/2026,188.7,193.1,195.5,188.1,437.69K,-2.02%
06/28/2026,192.6,198.3,199.2,192.0,225.10K,-2.97%
06/25/2026,198.5,200.8,201.2,198.5,352.54K,-1.24%
06/24/2026,201.0,198.4,203.3,197.9,484.63K,1.11%
06/23/2026,198.8,198.6,199.8,196.5,313.98K,0.20%
06/22/2026,198.4,197.3,199.0,196.4,269.50K,0.51%
06/21/2026,197.4,201.4,203.0,197.0,479.44K,-1.99%
06/18/2026,201.4,202.9,203.8,200.2,757.05K,-0.54%
06/17/2026,202.5,200.0,205.0,197.7,791.82K,1.00%
06/16/2026,200.5,200.5,203.9,199.1,731.75K,0.20%
06/15/2026,200.1,202.6,203.0,198.3,627.60K,0.05%
06/14/2026,200.0,204.7,206.3,199.6,549.18K,0.25%
06/11/2026,199.5,197.4,200.5,193.3,794.49K,1.42%
06/10/2026,196.7,202.2,206.9,196.7,1.41M,-2.72%
06/09/2026,202.2,187.7,203.0,187.7,2.21M,7.73%
06/08/2026,187.7,184.0,189.0,182.3,565.99K,1.19%
06/07/2026,185.5,187.0,190.6,185.0,460.88K,-2.11%
06/04/2026,189.5,184.0,189.5,182.7,604.67K,2.65%
06/03/2026,184.6,181.2,184.6,180.1,620.97K,1.93%
06/02/2026,181.1,186.0,186.0,181.1,870.14K,-2.63%
06/01/2026,186.0,191.7,200.0,184.1,1.95M,-2.52%
05/31/2026,190.8,184.8,190.8,180.0,677.15K,3.30%
05/21/2026,184.7,184.0,184.7,175.7,8.86M,0.76%
05/20/2026,183.3,181.3,186.7,181.1,1.58M,1.10%
05/19/2026,181.3,181.7,184.1,180.1,871.72K,0.17%
05/18/2026,181.0,181.3,182.6,179.5,792.69K,-0.06%
05/17/2026,181.1,177.2,181.9,176.3,713.58K,2.20%
05/14/2026,177.2,180.9,183.4,174.0,1.33M,-2.10%
05/13/2026,181.0,182.2,185.5,179.3,1.23M,-0.60%
05/12/2026,182.1,199.9,199.9,182.0,1.62M,-8.90%
05/11/2026,199.9,184.0,201.8,182.6,3.38M,8.00%
05/10/2026,185.1,182.2,188.2,181.8,2.07M,1.65%
05/07/2026,182.1,170.0,182.1,166.7,1.54M,9.96%
05/06/2026,165.6,165.1,168.3,163.4,344.41K,0.36%
05/05/2026,165.0,167.0,167.2,164.3,353.20K,-1.32%
05/04/2026,167.2,169.0,169.6,167.1,289.82K,-0.95%
05/03/2026,168.8,167.7,170.7,167.7,256.50K,0.36%
04/30/2026,168.2,169.5,169.5,168.0,211.01K,-0.47%
04/29/2026,169.0,168.3,169.6,167.2,237.80K,0.90%
04/28/2026,167.5,170.0,170.7,167.5,167.38K,-1.30%
04/27/2026,169.7,167.0,169.9,167.0,371.44K,1.80%
04/26/2026,166.7,169.7,170.7,166.4,290.25K,-1.71%
04/23/2026,169.6,170.5,171.0,168.0,284.85K,-0.29%
04/22/2026,170.1,175.2,175.2,170.1,301.46K,-2.24%
04/21/2026,174.0,175.4,177.5,172.4,335.34K,-0.29%
04/20/2026,174.5,178.6,178.6,174.5,480.60K,-2.13%
04/19/2026,178.3,177.9,182.5,176.1,699.04K,1.25%
04/16/2026,176.1,176.6,178.1,175.2,511.72K,0.23%
