Date,Price,Open,High,Low,Vol.,Change %
08/31/2026,25.72,25.5,25.88,25.5,8.72M,0.86%
08/30/2026,25.5,25.84,25.9,25.5,3.41M,-1.32%
08/27/2026,25.84,25.9,25.98,25.66,5.29M,-0.23%
08/26/2026,25.9,25.46,26.0,25.36,10.49M,1.89%
08/25/2026,25.42,25.2,25.5,25.12,7.85M,0.71%
08/24/2026,25.24,25.22,25.44,25.16,7.47M,0.08%
08/23/2026,25.22,24.86,25.26,24.86,6.64M,1.45%
08/20/2026,24.86,24.77,25.0,24.63,5.55M,0.28%
08/19/2026,24.79,24.8,24.91,24.63,3.35M,-0.04%
08/18/2026,24.8,24.9,25.12,24.74,8.78M,-0.40%
08/17/2026,24.9,24.68,24.99,24.62,7.35M,0.89%
08/16/2026,24.68,24.75,24.8,24.6,5.56M,1.82%
08/13/2026,24.24,24.25,24.5,24.19,3.04M,-0.04%
08/12/2026,24.25,24.1,24.25,24.1,3.65M,0.62%
08/11/2026,24.1,24.03,24.17,23.96,3.05M,0.29%
08/10/2026,24.03,24.0,24.24,24.0,3.90M,0.17%
08/09/2026,23.99,23.91,24.02,23.91,1.69M,0.33%
08/06/2026,23.91,24.14,24.22,23.91,3.80M,-0.91%
08/05/2026,24.13,24.1,24.22,24.0,4.02M,0.25%
08/04/2026,24.07,23.75,24.3,23.7,6.73M,0.08%
08/03/2026,24.05,23.89,24.05,23.65,7.39M,0.67%
08/02/2026,23.89,23.36,23.93,23.36,5.12M,2.27%
07/30/2026,23.36,23.18,23.42,23.11,4.67M,0.78%
07/29/2026,23.18,23.32,23.44,23.04,5.27M,-0.73%
07/28/2026,23.35,23.81,23.85,23.28,6.93M,-2.14%
07/27/2026,23.86,23.78,23.93,23.73,2.75M,0.25%
07/26/2026,23.8,23.8,23.85,23.72,1.69M,0.00%
07/23/2026,23.8,23.72,23.8,23.62,3.37M,0.34%
07/22/2026,23.72,23.53,23.74,23.45,5.72M,0.89%
07/21/2026,23.51,24.28,24.3,23.51,14.10M,-4.43%
07/20/2026,24.6,24.06,24.6,24.05,3.73M,2.24%
07/19/2026,24.06,24.2,24.23,24.0,2.03M,-0.58%
07/16/2026,24.2,24.0,24.2,24.0,2.42M,0.83%
07/15/2026,24.0,24.02,24.16,23.91,3.62M,-0.08%
07/14/2026,24.02,24.34,24.39,24.0,4.05M,-1.56%
07/13/2026,24.4,24.26,24.48,24.2,2.72M,0.45%
07/12/2026,24.29,24.32,24.39,24.19,2.26M,-0.86%
07/09/2026,24.5,24.3,24.52,24.28,1.99M,0.25%
07/08/2026,24.44,24.2,24.45,24.11,3.81M,0.99%
07/07/2026,24.2,24.15,24.2,23.94,4.75M,0.21%
07/06/2026,24.15,24.16,24.34,24.11,2.38M,-0.04%
07/05/2026,24.16,24.18,24.25,24.1,1.99M,-0.17%
07/02/2026,24.2,24.09,24.29,24.06,2.93M,0.46%
07/01/2026,24.09,24.44,24.63,24.09,4.44M,-1.43%
06/30/2026,24.44,24.6,24.65,24.42,3.35M,-0.65%
06/29/2026,24.6,24.83,24.84,24.53,2.97M,-0.93%
06/28/2026,24.83,24.99,24.99,24.74,2.07M,-0.64%
06/25/2026,24.99,25.1,25.12,24.86,4.02M,-0.52%
06/24/2026,25.12,25.22,25.28,25.12,2.89M,-0.32%
06/23/2026,25.2,25.16,25.34,25.08,3.64M,0.16%
06/22/2026,25.16,25.12,25.2,25.04,2.33M,0.08%
06/21/2026,25.14,25.12,25.26,25.12,2.40M,-0.24%
06/18/2026,25.2,25.22,25.32,25.2,3.90M,0.00%
06/17/2026,25.2,25.3,25.32,25.18,3.21M,-0.40%
06/16/2026,25.3,25.16,25.38,25.12,5.82M,0.88%
06/15/2026,25.08,25.12,25.24,24.86,8.27M,-0.08%
06/14/2026,25.1,24.87,25.2,24.87,5.09M,1.25%
06/11/2026,24.79,24.63,24.79,24.55,5.25M,0.65%
06/10/2026,24.63,24.82,24.88,24.63,6.74M,-0.81%
