"Date","Price","Open","High","Low","Vol.","Change %"
"07/07/2026","658.50","663.50","662.50","655.50","31.55K","-0.75%"
"07/06/2026","663.50","669.00","671.50","657.00","47.47K","-0.82%"
"07/05/2026","669.00","680.00","686.50","666.50","60.81K","-1.33%"
"07/02/2026","678.00","686.50","690.00","678.00","48.82K","-1.09%"
"07/01/2026","685.50","689.00","695.00","685.50","55.55K","-0.22%"
"06/30/2026","687.00","687.50","690.00","679.50","82.37K","0.22%"
"06/29/2026","685.50","687.00","691.00","678.00","54.81K","-0.15%"
"06/28/2026","686.50","692.00","694.50","683.50","45.63K","-0.79%"
"06/25/2026","692.00","693.50","699.50","691.00","60.27K","-0.22%"
"06/24/2026","693.50","698.00","702.00","692.00","80.64K","-0.64%"
"06/23/2026","698.00","701.00","709.50","697.00","69.32K","-0.43%"
"06/22/2026","701.00","715.00","715.00","701.00","66.26K","-2.09%"
"06/21/2026","716.00","726.50","726.50","716.00","43.42K","-1.31%"
"06/18/2026","725.50","736.50","736.50","720.00","193.78K","-1.56%"
"06/17/2026","737.00","713.00","739.00","710.00","191.78K","3.37%"
"06/16/2026","713.00","715.00","720.00","712.50","74.01K","-0.21%"
"06/15/2026","714.50","710.00","719.00","704.00","110.82K","1.49%"
"06/14/2026","704.00","705.00","710.00","703.00","48.79K","0.43%"
"06/11/2026","701.00","696.00","708.50","693.00","75.94K","0.72%"
"06/10/2026","696.00","708.50","713.00","695.00","91.26K","-1.83%"
"06/09/2026","709.00","691.00","710.00","691.00","167.23K","2.60%"
"06/08/2026","691.00","685.50","692.00","679.00","78.92K","0.14%"
"06/07/2026","690.00","697.00","699.00","684.00","129.10K","-1.71%"
"06/04/2026","702.00","694.00","705.00","694.00","57.29K","0.43%"
"06/03/2026","699.00","701.00","704.50","695.50","49.42K","-0.14%"
"06/02/2026","700.00","701.00","705.00","695.00","76.42K","-0.14%"
"06/01/2026","701.00","704.00","717.00","700.00","92.63K","-0.43%"
"05/31/2026","704.00","695.00","707.50","690.00","50.40K","2.62%"
"05/21/2026","686.00","708.00","708.00","686.00","131.03K","-2.35%"
"05/20/2026","702.50","708.00","713.00","694.00","104.72K","-0.78%"
"05/19/2026","708.00","710.00","713.00","707.00","102.51K","-0.14%"
"05/18/2026","709.00","691.50","726.00","690.50","342.27K","2.83%"
"05/17/2026","689.50","689.50","699.00","684.50","108.04K","0.51%"
"05/14/2026","686.00","680.50","698.00","678.00","147.62K","0.88%"
"05/13/2026","680.00","677.00","692.50","658.50","366.34K","0.44%"
"05/12/2026","677.00","698.50","704.50","674.50","277.30K","-3.08%"
"05/11/2026","698.50","693.00","712.00","692.00","509.48K","0.79%"
"05/10/2026","693.00","695.00","699.50","670.00","482.85K","5.40%"
"05/07/2026","657.50","657.50","657.50","657.50","210.51K","9.95%"
"05/06/2026","598.00","579.50","606.00","573.00","232.24K","3.28%"
"05/05/2026","579.00","589.50","592.50","579.00","157.84K","-1.86%"
"05/04/2026","590.00","616.00","618.50","590.00","217.55K","-4.22%"
"05/03/2026","616.00","589.00","616.00","584.50","194.41K","5.12%"
"04/30/2026","586.00","576.50","598.50","573.00","176.49K","1.91%"
"04/29/2026","575.00","571.00","578.00","569.50","75.42K","0.79%"
"04/28/2026","570.50","584.50","584.50","570.50","65.60K","-1.13%"
"04/27/2026","577.00","567.00","583.00","562.50","129.45K","1.94%"
"04/26/2026","566.00","572.00","575.50","562.50","53.45K","-1.14%"
"04/23/2026","572.50","576.00","579.50","572.00","72.45K","-0.61%"
"04/22/2026","576.00","585.00","589.50","576.00","100.93K","-1.20%"
"04/21/2026","583.00","591.50","601.50","581.50","139.42K","-1.27%"
"04/20/2026","590.50","606.50","606.50","585.00","152.11K","-2.64%"
"04/19/2026","606.50","620.00","621.00","602.00","129.29K","-0.49%"
"04/16/2026","609.50","600.50","622.00","598.50","301.98K","1.50%"
"04/15/2026","600.50","589.00","601.00","583.50","324.64K","2.56%"
"04/14/2026","585.50","548.50","596.00","545.00","529.32K","7.04%"
"04/13/2026","547.00","543.00","553.00","532.50","229.00K","1.39%"
"04/12/2026","539.50","531.50","542.50","519.50","176.76K","1.41%"
"04/09/2026","532.00","537.00","537.00","524.00","169.66K","-1.21%"
"04/08/2026","538.50","522.00","539.00","522.00","412.88K","5.69%"
"04/07/2026","509.50","524.00","524.00","505.00","229.89K","-2.86%"
"04/06/2026","524.50","518.50","527.50","514.50","182.35K","1.16%"
