Date,Price,Open,High,Low,Vol.,Change %
07/26/2026,68.5,68.4,68.6,68.25,43.99K,0.00%
07/23/2026,68.5,68.5,68.6,68.2,80.37K,0.00%
07/22/2026,68.5,67.85,68.55,67.7,122.69K,1.18%
07/21/2026,67.7,68.5,68.5,67.7,69.21K,-1.31%
07/20/2026,68.6,68.75,68.9,68.3,101.49K,-0.22%
07/19/2026,68.75,68.7,68.95,68.25,74.21K,-0.15%
07/16/2026,68.85,68.65,68.85,68.4,138.50K,0.22%
07/15/2026,68.7,68.2,68.9,68.2,133.24K,1.03%
07/14/2026,68.0,68.8,68.8,68.0,162.70K,-0.95%
07/13/2026,68.65,68.3,68.9,67.55,331.01K,0.51%
07/12/2026,68.3,68.1,68.85,67.5,231.88K,0.29%
07/09/2026,68.1,69.35,69.5,67.75,534.54K,-1.80%
07/08/2026,69.35,72.85,72.85,69.15,705.96K,-6.03%
07/07/2026,73.8,73.9,74.15,73.25,66.36K,0.41%
07/06/2026,73.5,73.3,74.05,73.3,87.71K,0.89%
07/05/2026,72.85,74.35,74.45,72.85,106.98K,-1.95%
07/02/2026,74.3,73.7,74.45,73.6,153.25K,0.88%
07/01/2026,73.65,72.5,73.7,72.5,150.83K,1.87%
06/30/2026,72.3,73.0,73.25,72.0,205.33K,-0.96%
06/29/2026,73.0,73.05,73.1,72.25,155.79K,0.34%
06/28/2026,72.75,73.65,73.7,72.55,139.11K,-1.22%
06/25/2026,73.65,74.1,74.1,73.6,134.88K,-0.61%
06/24/2026,74.1,74.25,74.35,74.0,253.05K,-0.20%
06/23/2026,74.25,74.05,74.35,73.85,129.26K,0.34%
06/22/2026,74.0,74.25,74.45,73.9,161.17K,0.00%
06/21/2026,74.0,74.8,75.25,73.95,256.20K,-1.07%
06/18/2026,74.8,75.0,75.3,74.8,255.72K,0.07%
06/17/2026,74.75,75.2,75.5,74.75,153.56K,-0.60%
06/16/2026,75.2,75.5,75.9,75.1,154.18K,-0.33%
06/15/2026,75.45,75.1,75.8,74.85,277.54K,0.73%
06/14/2026,74.9,74.7,75.1,74.5,133.97K,0.74%
06/11/2026,74.35,74.95,75.0,74.2,189.21K,-0.60%
06/10/2026,74.8,75.1,75.2,74.6,111.74K,-0.40%
06/09/2026,75.1,74.2,75.45,74.2,255.48K,1.28%
06/08/2026,74.15,75.7,75.7,74.05,283.52K,-2.18%
06/07/2026,75.8,76.45,76.45,75.8,123.18K,-1.11%
06/04/2026,76.65,76.65,77.25,76.0,165.18K,0.00%
06/03/2026,76.65,75.95,76.8,75.55,135.60K,0.86%
