Date,Price,Open,High,Low,Vol.,Change %
07/26/2026,58.2,58.0,58.85,57.65,543.47K,-0.43%
07/23/2026,58.45,58.55,58.65,57.8,1.52M,-0.17%
07/22/2026,58.55,56.8,58.55,56.55,1.63M,3.08%
07/21/2026,56.8,56.9,57.3,56.3,829.74K,-0.35%
07/20/2026,57.0,57.3,57.4,56.65,868.64K,-0.52%
07/19/2026,57.3,56.2,57.8,55.85,948.86K,2.05%
07/16/2026,56.15,56.3,57.0,56.15,782.36K,-0.35%
07/15/2026,56.35,56.75,57.2,56.35,1.89M,-1.49%
07/14/2026,57.2,57.8,58.15,56.95,984.58K,-1.21%
07/13/2026,57.9,58.75,58.75,57.9,1.08M,-1.53%
07/12/2026,58.8,57.75,59.0,57.5,718.42K,1.82%
07/09/2026,57.75,58.4,58.4,57.15,1.50M,-1.11%
07/08/2026,58.4,59.0,59.0,58.1,925.86K,-1.10%
07/07/2026,59.05,58.95,59.05,57.9,2.36M,0.08%
07/06/2026,59.0,58.9,59.3,58.5,934.90K,0.17%
07/05/2026,58.9,59.3,59.8,58.2,746.31K,0.00%
07/02/2026,58.9,59.9,59.9,58.9,1.25M,-1.26%
07/01/2026,59.65,59.1,59.85,59.05,945.64K,0.42%
06/30/2026,59.4,59.35,59.4,58.55,1.62M,0.93%
06/29/2026,58.85,60.45,60.55,58.85,1.46M,-2.65%
06/28/2026,60.45,60.1,60.6,59.9,617.13K,0.58%
06/25/2026,60.1,61.65,61.65,59.7,3.32M,-2.51%
06/24/2026,61.65,62.9,63.3,61.65,1.54M,-2.30%
06/23/2026,63.1,62.55,63.85,62.55,1.49M,0.16%
06/22/2026,63.0,63.9,64.0,62.5,1.42M,-0.79%
06/21/2026,63.5,64.7,64.75,63.3,851.25K,-2.01%
06/18/2026,64.8,62.8,64.95,62.3,8.21M,3.10%
06/17/2026,62.85,61.85,63.2,61.4,2.50M,1.21%
06/16/2026,62.1,62.9,63.85,61.75,2.23M,-0.48%
06/15/2026,62.4,63.15,63.95,62.35,2.72M,0.56%
06/14/2026,62.05,60.6,63.15,60.5,3.16M,5.17%
06/11/2026,59.0,58.55,59.4,58.55,1.09M,0.77%
06/10/2026,58.55,60.35,60.4,58.55,2.18M,-3.46%
06/09/2026,60.65,60.1,61.0,59.75,2.96M,1.25%
06/08/2026,59.9,60.2,60.95,59.3,2.68M,-2.04%
06/07/2026,61.15,62.5,62.8,60.75,2.13M,-3.09%
06/04/2026,63.1,63.4,64.6,63.1,2.42M,0.08%
06/03/2026,63.05,63.0,63.6,62.65,1.25M,-0.08%
