"Date","Price","Open","High","Low","Vol.","Change %"
"07/02/2026","66.00","66.00","66.30","65.90","3.35M","0.00%"
"07/01/2026","66.00","65.95","66.35","65.95","3.37M","0.15%"
"06/30/2026","65.90","65.80","66.15","65.60","5.57M","0.15%"
"06/29/2026","65.80","66.30","66.45","65.80","4.78M","-0.75%"
"06/28/2026","66.30","66.35","66.40","65.90","1.99M","-0.08%"
"06/25/2026","66.35","65.90","66.45","65.60","4.24M","0.53%"
"06/24/2026","66.00","66.75","67.00","66.00","8.94M","-1.42%"
"06/23/2026","66.95","67.00","67.00","66.55","4.84M","-0.07%"
"06/22/2026","67.00","67.00","67.15","66.85","2.97M","0.00%"
"06/21/2026","67.00","66.90","67.15","66.80","2.14M","0.37%"
"06/18/2026","66.75","67.10","67.35","66.75","7.89M","-0.67%"
"06/17/2026","67.20","67.50","67.55","67.00","4.10M","-0.44%"
"06/16/2026","67.50","66.70","67.55","66.60","7.52M","1.20%"
"06/15/2026","66.70","67.10","67.25","66.55","10.54M","-0.45%"
"06/14/2026","67.00","67.10","67.35","66.75","5.16M","0.15%"
"06/11/2026","66.90","66.70","66.90","66.50","7.68M","0.15%"
"06/10/2026","66.80","67.45","67.45","66.65","7.04M","-0.96%"
"06/09/2026","67.45","66.85","68.00","66.80","16.30M","0.90%"
"06/08/2026","66.85","66.30","66.90","66.00","9.93M","0.22%"
"06/07/2026","66.70","66.50","66.85","66.15","3.88M","0.08%"
"06/04/2026","66.65","66.85","66.90","66.65","5.10M","-0.15%"
"06/03/2026","66.75","66.75","66.95","66.50","4.37M","0.07%"
"06/02/2026","66.70","66.70","67.10","66.65","7.18M","0.00%"
"06/01/2026","66.70","66.80","67.15","66.70","9.37M","-0.82%"
"05/31/2026","67.25","67.70","67.70","66.90","4.07M","0.98%"
"05/21/2026","66.60","67.30","67.60","66.60","14.42M","-0.75%"
"05/20/2026","67.10","66.90","67.35","66.45","4.78M","0.30%"
"05/19/2026","66.90","66.40","66.90","66.20","6.15M","0.75%"
"05/18/2026","66.40","66.30","66.55","66.05","3.37M","0.15%"
"05/17/2026","66.30","66.20","66.45","65.90","1.94M","0.00%"
"05/14/2026","66.30","66.20","66.70","66.05","5.39M","0.76%"
"05/13/2026","65.80","65.95","66.50","65.80","8.41M","-0.23%"
"05/12/2026","65.95","67.10","67.30","65.95","9.81M","-1.64%"
"05/11/2026","67.05","67.90","67.95","67.05","7.07M","-1.03%"
"05/10/2026","67.75","66.75","68.55","66.55","5.03M","1.73%"
"05/07/2026","66.60","66.90","67.00","66.55","8.84M","0.15%"
"05/06/2026","66.50","67.40","67.40","66.50","7.37M","-0.67%"
"05/05/2026","66.95","67.65","67.70","66.70","5.18M","-1.03%"
"05/04/2026","67.65","68.80","68.85","67.50","7.53M","-1.60%"
"05/03/2026","68.75","69.00","69.25","68.55","3.20M","0.29%"
"04/30/2026","68.55","69.35","69.45","68.55","6.64M","-1.15%"
"04/29/2026","69.35","69.70","69.70","69.10","4.21M","0.36%"
"04/28/2026","69.10","69.65","70.05","69.10","5.42M","0.00%"
"04/27/2026","69.10","69.20","69.55","68.80","5.58M","0.00%"
"04/26/2026","69.10","68.75","69.30","68.15","3.91M","0.58%"
"04/23/2026","68.70","70.25","70.25","68.45","12.04M","-2.21%"
"04/22/2026","70.25","71.75","71.80","70.25","6.31M","-2.02%"
"04/21/2026","71.70","72.00","73.40","71.40","13.21M","0.42%"
"04/20/2026","71.40","72.27","72.27","71.13","6.24M","-1.20%"
"04/19/2026","72.27","72.87","73.07","71.87","5.47M","-0.73%"
"04/16/2026","72.80","72.87","73.07","72.40","5.20M","-0.09%"
"04/15/2026","72.87","72.00","73.27","72.00","7.71M","1.02%"
"04/14/2026","72.13","71.80","72.33","71.60","4.68M","0.56%"
"04/13/2026","71.73","72.07","72.73","71.73","9.13M","-0.46%"
"04/12/2026","72.07","71.67","72.33","71.33","3.64M","0.19%"
"04/09/2026","71.93","71.87","72.20","71.60","4.89M","0.19%"
"04/08/2026","71.80","71.33","72.20","71.07","8.89M","2.77%"
"04/07/2026","69.87","71.27","71.27","69.87","5.92M","-2.06%"
"04/06/2026","71.33","71.33","71.53","70.93","3.84M","0.09%"
"04/05/2026","71.27","70.93","71.47","70.73","2.47M","0.47%"
"04/02/2026","70.93","71.00","71.47","70.73","4.33M","-0.09%"
"04/01/2026","71.00","71.33","71.67","70.93","4.69M","-0.09%"
"03/31/2026","71.07","70.33","71.80","70.13","8.86M","1.14%"
"03/30/2026","70.27","69.67","70.60","69.60","7.51M","1.35%"
"03/29/2026","69.33","69.53","69.93","69.27","2.44M","-0.29%"
"03/26/2026","69.53","69.93","69.93","69.20","3.99M","-0.57%"
"03/25/2026","69.93","69.13","70.13","68.73","9.42M","0.38%"
"03/24/2026","69.67","67.67","69.67","67.20","11.86M","3.26%"
"03/16/2026","67.47","68.00","68.07","67.27","6.32M","-0.49%"
"03/15/2026","67.80","67.33","67.80","66.53","2.33M","0.49%"
"03/12/2026","67.47","67.00","67.80","67.00","5.63M","0.20%"
"03/11/2026","67.33","67.33","68.00","66.87","4.68M","0.20%"
"03/10/2026","67.20","66.00","67.80","66.00","5.72M","2.02%"
"03/09/2026","65.87","68.00","68.20","65.87","9.41M","-3.89%"
"03/08/2026","68.53","67.33","68.93","67.33","3.51M","1.78%"
"03/05/2026","67.33","66.23","67.47","66.23","5.56M","1.76%"
"03/04/2026","66.17","65.30","67.13","64.90","8.26M","1.33%"
"03/03/2026","65.30","64.70","65.63","64.40","7.56M","0.88%"
"03/02/2026","64.73","64.87","65.33","63.93","25.86M","-0.46%"
"03/01/2026","65.03","63.33","66.57","63.33","7.69M","-3.42%"
"02/26/2026","67.33","67.87","68.13","67.33","7.06M","-1.37%"
"02/25/2026","68.27","68.53","68.67","67.87","3.82M","-0.68%"
"02/24/2026","68.73","68.87","69.07","68.20","4.89M","-0.19%"
"02/23/2026","68.87","68.13","68.87","67.93","4.33M","1.27%"
"02/19/2026","68.00","69.87","69.87","67.93","5.78M","-2.86%"
"02/18/2026","70.00","69.47","70.67","69.47","3.74M","0.38%"
"02/17/2026","69.73","70.47","70.47","69.00","4.69M","-1.04%"
"02/16/2026","70.47","70.47","70.80","70.13","2.21M","0.00%"
"02/15/2026","70.47","70.67","70.80","70.47","1.44M","-0.47%"
"02/12/2026","70.80","70.53","70.80","70.13","4.30M","0.19%"
"02/11/2026","70.67","70.47","70.87","70.33","4.76M","0.00%"
"02/10/2026","70.67","71.33","71.33","70.40","6.26M","-0.93%"
"02/09/2026","71.33","71.53","71.67","70.80","3.81M","-0.47%"
