"Date","Price","Open","High","Low","Vol.","Change %"
"07/07/2026","20.23","20.17","20.32","20.17","1.20M","0.20%"
"07/06/2026","20.19","20.06","20.19","20.06","2.06M","0.65%"
"07/05/2026","20.06","20.03","20.14","20.00","1.77M","0.20%"
"07/02/2026","20.02","20.06","20.11","20.00","3.71M","-0.20%"
"07/01/2026","20.06","19.99","20.15","19.98","3.74M","0.75%"
"06/30/2026","19.91","20.04","20.20","19.91","6.45M","-0.80%"
"06/29/2026","20.07","20.19","20.28","20.01","6.39M","-0.74%"
"06/28/2026","20.22","20.51","20.65","20.21","2.60M","-1.41%"
"06/25/2026","20.51","20.65","20.73","20.50","4.50M","-1.11%"
"06/24/2026","20.74","21.03","21.03","20.74","3.54M","-1.10%"
"06/23/2026","20.97","20.97","21.11","20.90","1.93M","-0.24%"
"06/22/2026","21.02","20.95","21.02","20.83","1.46M","0.33%"
"06/21/2026","20.95","20.90","21.00","20.85","492.66K","0.24%"
"06/18/2026","20.90","21.02","21.16","20.90","4.47M","-0.57%"
"06/17/2026","21.02","21.06","21.12","20.91","2.48M","-0.57%"
"06/16/2026","21.14","20.79","21.48","20.76","5.09M","1.68%"
"06/15/2026","20.79","21.00","21.05","20.73","4.04M","0.97%"
"06/14/2026","20.59","20.31","20.59","20.30","1.93M","1.73%"
"06/11/2026","20.24","20.21","20.24","20.08","2.29M","0.15%"
"06/10/2026","20.21","20.78","20.78","20.18","2.75M","-2.65%"
"06/09/2026","20.76","20.19","20.76","20.15","4.23M","2.82%"
"06/08/2026","20.19","20.00","20.21","19.90","2.61M","0.90%"
"06/07/2026","20.01","20.05","20.12","19.96","1.44M","0.00%"
"06/04/2026","20.01","20.04","20.14","20.01","2.53M","-0.15%"
"06/03/2026","20.04","20.31","20.40","20.04","3.89M","-1.33%"
"06/02/2026","20.31","20.31","20.50","20.24","1.57M","0.00%"
"06/01/2026","20.31","20.18","20.50","20.01","5.98M","-0.49%"
"05/31/2026","20.41","20.44","20.57","20.35","743.31K","1.34%"
"05/21/2026","20.14","20.37","20.77","20.14","6.33M","-0.98%"
"05/20/2026","20.34","20.32","20.42","20.22","1.49M","0.39%"
"05/19/2026","20.26","20.26","20.38","20.20","1.99M","0.05%"
"05/18/2026","20.25","20.36","20.56","20.22","2.88M","-1.22%"
"05/17/2026","20.50","20.48","20.58","20.44","1.06M","0.39%"
"05/14/2026","20.42","20.37","20.56","20.37","1.36M","0.34%"
"05/13/2026","20.35","20.49","20.66","20.35","2.26M","-1.69%"
"05/12/2026","20.70","20.94","21.10","20.70","2.03M","-0.72%"
"05/11/2026","20.85","20.84","21.02","20.74","2.57M","-0.14%"
"05/10/2026","20.88","20.90","21.02","20.73","716.51K","0.19%"
"05/07/2026","20.84","20.90","21.05","20.80","2.63M","-0.05%"
"05/06/2026","20.85","20.76","21.03","20.76","2.83M","-0.24%"
"05/05/2026","20.90","20.71","20.93","20.61","2.62M","0.77%"
"05/04/2026","20.74","20.52","20.87","20.52","2.20M","-0.14%"
"05/03/2026","20.77","20.85","20.91","20.68","862.70K","0.10%"
"04/30/2026","20.75","21.27","21.27","20.75","4.75M","-2.35%"
"04/29/2026","21.25","21.28","21.30","21.14","2.07M","0.24%"
"04/28/2026","21.20","21.25","21.44","21.20","2.75M","0.24%"
"04/27/2026","21.15","21.43","21.43","21.08","3.69M","-0.84%"
"04/26/2026","21.33","21.44","21.53","21.24","835.40K","-0.56%"
"04/23/2026","21.45","21.77","21.77","21.40","2.67M","-1.47%"
"04/22/2026","21.77","21.85","21.94","21.65","1.94M","0.51%"
"04/21/2026","21.66","21.91","22.03","21.66","2.81M","-0.23%"
"04/20/2026","21.71","21.88","22.02","21.68","1.71M","-0.87%"
"04/19/2026","21.90","22.35","22.35","21.85","1.42M","-1.57%"
"04/16/2026","22.25","22.35","22.38","22.19","2.14M","-0.45%"
"04/15/2026","22.35","22.10","22.35","22.10","3.88M","1.22%"
"04/14/2026","22.08","22.15","22.15","21.95","3.33M","-0.09%"
"04/13/2026","22.10","21.60","22.10","21.59","5.41M","2.31%"
"04/12/2026","21.60","21.60","21.80","21.50","1.16M","0.00%"
"04/09/2026","21.60","21.55","21.69","21.39","3.38M","0.51%"
"04/08/2026","21.49","21.54","21.69","21.30","4.55M","1.37%"
"04/07/2026","21.20","21.64","21.64","21.20","2.03M","-1.12%"
"04/06/2026","21.44","21.46","21.65","21.33","2.48M","-1.76%"
"04/05/2026","21.83","21.93","22.00","21.76","2.21M","-0.41%"
"04/02/2026","21.92","22.23","22.23","21.87","3.52M","-1.02%"
"04/01/2026","22.14","22.27","22.41","21.99","4.57M","0.14%"
"03/31/2026","22.11","21.84","22.35","21.84","5.01M","1.24%"
"03/30/2026","21.84","21.63","22.03","21.63","3.12M","0.55%"
"03/29/2026","21.72","21.69","21.80","21.61","1.03M","0.14%"
"03/26/2026","21.69","21.78","21.81","21.50","3.23M","-0.41%"
"03/25/2026","21.78","21.60","21.83","21.57","3.57M","0.14%"
"03/24/2026","21.75","21.52","21.85","21.43","4.87M","1.19%"
"03/16/2026","21.50","21.30","21.51","21.06","4.67M","1.49%"
"03/15/2026","21.18","21.39","21.47","21.09","1.41M","-0.98%"
"03/12/2026","21.39","21.69","21.70","21.27","3.32M","-1.18%"
"03/11/2026","21.65","21.65","21.75","21.54","2.38M","0.28%"
"03/10/2026","21.58","21.06","21.58","20.97","3.42M","2.49%"
