Date,Price,Open,High,Low,Vol.,Change %
08/18/2026,104.9,106.4,107.6,104.4,317.63K,-1.32%
08/17/2026,106.3,108.8,108.8,106.3,111.42K,-2.21%
08/16/2026,108.7,108.0,109.4,107.8,165.78K,1.21%
08/13/2026,107.4,106.5,108.4,106.0,155.08K,1.03%
08/12/2026,106.3,107.8,109.8,105.9,300.30K,-2.12%
08/11/2026,108.6,106.1,109.1,105.6,353.43K,1.50%
08/10/2026,107.0,107.9,108.0,105.8,403.98K,-0.65%
08/09/2026,107.7,108.9,110.4,107.7,315.63K,-1.01%
08/06/2026,108.8,108.0,109.2,106.4,462.87K,1.21%
08/05/2026,107.5,105.0,107.7,103.7,547.52K,3.07%
08/04/2026,104.3,102.8,105.3,102.2,307.28K,1.56%
08/03/2026,102.7,102.0,103.4,100.6,282.09K,2.19%
08/02/2026,100.5,99.9,103.8,99.9,169.41K,0.70%
07/30/2026,99.8,102.4,102.5,99.6,356.28K,-2.16%
07/29/2026,102.0,105.5,105.6,101.5,363.49K,-0.87%
07/28/2026,102.9,108.2,108.2,102.9,226.82K,-4.46%
07/27/2026,107.7,108.2,109.0,106.7,164.04K,-0.37%
07/26/2026,108.1,108.6,110.9,107.0,140.39K,-1.73%
07/23/2026,110.0,106.1,110.9,106.0,288.53K,3.68%
07/22/2026,106.1,108.8,108.8,105.2,210.47K,-2.48%
07/21/2026,108.8,107.6,109.9,107.5,187.11K,1.12%
07/20/2026,107.6,112.9,112.9,107.4,280.10K,-4.36%
07/19/2026,112.5,110.9,112.9,110.5,89.99K,1.44%
07/16/2026,110.9,111.0,111.0,108.8,126.92K,0.36%
07/15/2026,110.5,113.0,113.8,110.5,168.21K,-2.21%
07/14/2026,113.0,114.9,114.9,112.4,197.62K,-1.14%
07/13/2026,114.3,117.0,117.0,114.0,493.67K,-2.31%
07/12/2026,117.0,116.0,117.5,116.0,48.80K,0.43%
07/09/2026,116.5,116.5,117.1,115.6,79.83K,0.00%
07/08/2026,116.5,117.0,117.1,114.9,172.97K,-0.43%
07/07/2026,117.0,118.6,118.8,116.7,115.85K,-1.35%
07/06/2026,118.6,118.1,119.7,117.6,83.72K,0.25%
07/05/2026,118.3,118.9,119.8,117.4,60.29K,-1.33%
07/02/2026,119.9,122.2,122.2,119.5,169.09K,-1.88%
07/01/2026,122.2,120.0,123.8,119.3,162.75K,2.00%
06/30/2026,119.8,119.0,120.5,117.4,134.99K,0.67%
06/29/2026,119.0,124.2,124.8,119.0,174.12K,-4.49%
06/28/2026,124.6,125.0,126.0,122.5,131.58K,-1.50%
06/25/2026,126.5,126.5,127.2,124.7,216.55K,-0.08%
06/24/2026,126.6,125.8,127.6,125.8,108.00K,0.00%
06/23/2026,126.6,127.7,127.9,125.5,420.83K,-0.86%
06/22/2026,127.7,127.6,129.1,127.4,182.50K,-0.23%
06/21/2026,128.0,127.4,129.1,126.9,127.49K,0.47%
06/18/2026,127.4,128.0,129.4,125.4,476.98K,-1.39%
06/17/2026,129.2,127.7,129.7,127.3,426.40K,1.49%
06/16/2026,127.3,124.5,127.6,124.1,298.19K,2.50%
06/15/2026,124.2,123.0,124.8,122.7,218.40K,0.98%
06/14/2026,123.0,121.0,123.8,121.0,304.64K,2.50%
06/11/2026,120.0,120.9,122.0,119.4,161.23K,-0.74%
06/10/2026,120.9,117.9,122.2,117.3,595.03K,2.89%
06/09/2026,117.5,116.6,118.3,116.6,517.02K,0.77%
06/08/2026,116.6,117.0,117.8,115.8,210.88K,-0.85%
06/07/2026,117.6,116.3,118.4,116.0,135.51K,0.26%
06/04/2026,117.3,115.4,117.6,114.7,213.23K,1.65%
06/03/2026,115.4,117.0,117.4,115.2,179.89K,-1.37%
06/02/2026,117.0,117.1,118.4,116.3,248.46K,-0.26%
06/01/2026,117.3,115.7,118.0,115.1,188.70K,1.91%
05/31/2026,115.1,114.8,116.4,114.0,60.49K,1.41%
05/21/2026,113.5,114.9,115.3,113.5,161.96K,-0.44%
05/20/2026,114.0,114.8,114.8,112.7,185.06K,-0.70%
05/19/2026,114.8,116.3,116.3,114.2,155.34K,-1.20%
05/18/2026,116.2,115.4,117.6,114.7,213.05K,0.87%
05/17/2026,115.2,116.6,117.4,115.0,96.44K,-1.45%
05/14/2026,116.9,115.1,117.6,114.4,204.55K,1.56%
05/13/2026,115.1,117.0,117.6,114.5,235.52K,-1.88%
05/12/2026,117.3,118.1,120.1,117.0,275.36K,0.09%
05/11/2026,117.2,117.5,118.4,116.2,192.21K,-1.51%
05/10/2026,119.0,120.0,120.3,118.1,120.71K,-0.67%
05/07/2026,119.8,120.5,120.5,117.0,345.86K,0.25%
05/06/2026,119.5,128.6,128.6,119.5,591.98K,-7.86%
05/05/2026,129.7,132.0,132.0,127.2,234.23K,-1.67%
05/04/2026,131.9,131.1,134.7,130.5,243.68K,0.15%
05/03/2026,131.7,132.3,132.3,130.8,69.28K,-0.53%
04/30/2026,132.4,130.5,132.9,129.5,267.87K,1.30%
04/29/2026,130.7,125.9,130.9,125.3,281.68K,3.65%
04/28/2026,126.1,127.8,127.8,125.5,87.42K,-1.33%
04/27/2026,127.8,126.1,128.2,124.2,143.35K,1.83%
04/26/2026,125.5,126.5,127.0,123.6,92.75K,-0.79%
04/23/2026,126.5,129.0,129.5,126.2,100.06K,-1.94%
04/22/2026,129.0,129.0,129.5,127.4,82.33K,0.08%
04/21/2026,128.9,128.1,130.2,128.1,92.75K,0.31%
04/20/2026,128.5,129.1,130.0,127.7,116.22K,-0.62%
