"Date","Price","Open","High","Low","Vol.","Change %"
"08/18/2026","25.30","25.66","25.78","25.24","735.48K","-2.01%"
"08/17/2026","25.82","25.66","25.84","25.36","648.87K","0.94%"
"08/16/2026","25.58","26.00","26.00","25.50","388.68K","-1.31%"
"08/13/2026","25.92","25.06","25.92","25.06","973.02K","2.29%"
"08/12/2026","25.34","25.82","25.82","24.98","1.75M","-2.01%"
"08/11/2026","25.86","26.08","26.10","25.60","842.34K","-1.22%"
"08/10/2026","26.18","26.00","26.60","26.00","978.87K","1.00%"
"08/09/2026","25.92","26.32","26.40","25.76","684.42K","-1.44%"
"08/06/2026","26.30","26.66","27.12","26.02","2.65M","-0.15%"
"08/05/2026","26.34","26.46","26.94","26.02","683.86K","-0.45%"
"08/04/2026","26.46","26.40","26.60","26.04","580.64K","0.23%"
"08/03/2026","26.40","26.26","26.72","26.04","963.47K","0.61%"
"08/02/2026","26.24","25.94","26.38","25.90","274.53K","0.69%"
"07/30/2026","26.06","25.90","26.30","25.82","491.89K","0.23%"
"07/29/2026","26.00","26.26","26.60","25.92","603.14K","-0.69%"
"07/28/2026","26.18","26.48","26.70","26.18","427.62K","-1.21%"
"07/27/2026","26.50","25.36","26.56","25.34","1.86M","4.74%"
"07/26/2026","25.30","25.80","25.80","25.26","406.32K","-1.79%"
"07/23/2026","25.76","25.92","26.00","25.72","456.79K","-0.77%"
"07/22/2026","25.96","26.20","26.20","25.84","793.47K","-0.54%"
"07/21/2026","26.10","26.10","26.24","25.94","543.99K","-0.38%"
"07/20/2026","26.20","26.20","26.40","26.08","799.54K","-0.61%"
"07/19/2026","26.36","26.72","26.72","26.14","556.64K","-2.08%"
"07/16/2026","26.92","26.66","26.98","26.58","511.08K","0.98%"
"07/15/2026","26.66","26.62","26.70","26.14","651.22K","0.60%"
"07/14/2026","26.50","27.40","27.40","26.38","1.15M","-3.64%"
"07/13/2026","27.50","26.88","27.50","26.78","373.30K","2.23%"
"07/12/2026","26.90","27.38","27.42","26.66","572.17K","-2.04%"
"07/09/2026","27.46","27.96","27.96","27.30","458.19K","-1.08%"
"07/08/2026","27.76","27.48","27.76","27.06","1.05M","0.73%"
"07/07/2026","27.56","27.20","27.78","27.06","802.70K","1.25%"
