Date,Price,Open,High,Low,Vol.,Change %
07/26/2026,39.92,39.8,39.94,39.44,1.52M,0.91%
07/23/2026,39.56,39.7,39.8,39.3,4.95M,-0.85%
07/22/2026,39.9,38.88,39.9,38.88,7.13M,2.84%
07/21/2026,38.8,38.96,39.36,38.52,8.04M,0.62%
07/20/2026,38.56,38.16,38.62,38.04,5.10M,1.05%
07/19/2026,38.16,38.0,38.3,37.78,905.01K,0.05%
07/16/2026,38.14,38.08,38.28,37.94,3.78M,0.90%
07/15/2026,37.8,37.98,38.02,37.5,5.23M,1.29%
07/14/2026,37.32,38.3,38.38,37.32,4.19M,-2.46%
07/13/2026,38.26,38.7,38.7,38.26,2.55M,-0.26%
07/12/2026,38.36,38.44,38.62,38.36,1.18M,-0.05%
07/09/2026,38.38,38.4,38.58,38.3,3.39M,-0.10%
07/08/2026,38.42,38.94,38.96,38.42,3.69M,-1.23%
07/07/2026,38.9,38.96,38.98,38.66,3.07M,-0.31%
07/06/2026,39.02,39.18,39.4,38.92,2.19M,0.05%
07/05/2026,39.0,38.98,39.32,38.98,1.56M,0.10%
07/02/2026,38.96,38.94,39.28,38.84,3.26M,0.00%
07/01/2026,38.96,39.08,39.36,38.8,3.30M,0.78%
06/30/2026,38.66,38.6,39.08,38.42,12.32M,0.10%
06/29/2026,38.62,39.52,39.78,38.6,4.67M,-2.23%
06/28/2026,39.5,39.96,40.06,39.3,2.04M,-1.20%
06/25/2026,39.98,40.8,40.8,39.96,4.12M,-2.11%
06/24/2026,40.84,41.1,41.24,40.84,3.54M,-0.83%
06/23/2026,41.18,40.9,41.3,40.86,3.58M,0.44%
06/22/2026,41.0,41.2,41.4,40.88,2.08M,-0.82%
06/21/2026,41.34,41.32,41.52,41.28,354.47K,-0.62%
06/18/2026,41.6,40.92,41.6,40.92,6.43M,1.46%
06/17/2026,41.0,41.0,41.34,40.88,2.29M,-0.73%
06/16/2026,41.3,40.98,41.52,40.96,3.86M,0.78%
06/15/2026,40.98,41.88,41.88,40.98,4.97M,0.54%
06/14/2026,40.76,40.32,40.98,40.32,1.93M,1.70%
06/11/2026,40.08,40.6,40.6,39.92,3.47M,-0.15%
06/10/2026,40.14,41.2,41.2,40.14,7.79M,-2.29%
06/09/2026,41.08,39.8,41.3,39.7,11.56M,4.21%
06/08/2026,39.42,38.5,39.46,38.5,6.03M,1.49%
06/07/2026,38.84,39.16,39.16,38.7,2.02M,-0.82%
06/04/2026,39.16,39.42,39.46,39.04,4.30M,-0.46%
06/03/2026,39.34,39.52,39.74,39.06,3.32M,0.00%
06/02/2026,39.34,39.7,39.7,39.08,3.23M,0.51%
06/01/2026,39.14,39.9,39.9,39.06,10.63M,-0.91%
05/31/2026,39.5,39.96,39.96,39.44,3.55M,0.25%
05/21/2026,39.4,38.6,39.48,38.6,13.79M,2.18%
05/20/2026,38.56,38.52,38.9,38.28,6.09M,0.36%
05/19/2026,38.42,38.6,38.84,38.42,3.84M,-0.21%
05/18/2026,38.5,38.44,38.74,38.26,3.70M,0.00%
05/17/2026,38.5,38.62,38.78,38.4,889.67K,-0.26%
05/14/2026,38.6,39.06,39.16,38.6,3.01M,-0.41%
05/13/2026,38.76,38.98,39.0,38.54,4.06M,0.62%
05/12/2026,38.52,39.32,39.64,38.52,4.99M,-2.23%
05/11/2026,39.4,40.0,40.12,39.24,7.11M,-1.70%
05/10/2026,40.08,39.38,40.28,39.2,2.43M,1.98%
05/07/2026,39.3,38.64,39.3,38.6,6.01M,1.92%
