"Date","Price","Open","High","Low","Vol.","Change %"
"07/07/2026","43.58","43.70","43.68","43.52","261.93K","0.18%"
"07/06/2026","43.50","43.52","43.86","43.50","1.67M","-0.09%"
"07/05/2026","43.54","43.28","43.56","43.28","920.76K","0.60%"
"07/02/2026","43.28","43.60","43.68","43.28","2.14M","-0.73%"
"07/01/2026","43.60","43.24","43.68","43.20","2.31M","0.83%"
"06/30/2026","43.24","43.80","43.80","43.24","3.66M","-1.28%"
"06/29/2026","43.80","43.58","43.80","43.44","1.91M","0.50%"
"06/28/2026","43.58","43.86","44.00","43.50","1.57M","-0.68%"
"06/25/2026","43.88","43.70","44.00","43.68","1.88M","0.41%"
"06/24/2026","43.70","43.94","44.20","43.70","2.41M","-0.64%"
"06/23/2026","43.98","44.20","44.30","43.98","1.99M","-0.59%"
"06/22/2026","44.24","44.22","44.30","44.16","887.22K","0.05%"
"06/21/2026","44.22","44.60","44.60","44.10","1.28M","-0.99%"
"06/18/2026","44.66","44.80","44.80","44.64","4.40M","-0.31%"
"06/17/2026","44.80","44.40","44.88","44.38","3.53M","0.90%"
"06/16/2026","44.40","44.20","44.50","44.16","2.26M","0.68%"
"06/15/2026","44.10","44.32","44.36","44.10","1.80M","-0.05%"
"06/14/2026","44.12","44.34","44.44","44.00","1.59M","-0.50%"
"06/11/2026","44.34","44.00","44.34","43.98","1.65M","0.77%"
"06/10/2026","44.00","44.10","44.18","43.94","1.59M","-0.36%"
"06/09/2026","44.16","44.00","44.36","43.94","2.97M","0.36%"
"06/08/2026","44.00","43.36","44.00","43.32","3.88M","1.38%"
"06/07/2026","43.40","43.46","43.60","43.30","1.27M","-0.64%"
"06/04/2026","43.68","43.70","43.90","43.66","1.62M","-0.05%"
"06/03/2026","43.70","43.90","43.98","43.70","1.52M","0.00%"
"06/02/2026","43.70","43.46","44.00","43.46","2.38M","0.64%"
"06/01/2026","43.42","44.08","44.08","43.42","3.86M","-1.32%"
"05/31/2026","44.00","44.06","44.10","43.76","2.26M","-0.09%"
"05/21/2026","44.04","43.82","44.04","43.82","11.43M","0.50%"
"05/20/2026","43.82","43.68","43.98","43.60","2.95M","0.32%"
"05/19/2026","43.68","43.34","43.68","43.30","2.55M","0.41%"
"05/18/2026","43.50","43.14","43.50","43.12","2.66M","0.83%"
"05/17/2026","43.14","43.18","43.20","42.98","1.14M","-0.09%"
"05/14/2026","43.18","43.12","43.40","43.12","2.93M","0.14%"
"05/13/2026","43.12","43.04","43.26","43.00","2.05M","0.28%"
"05/12/2026","43.00","43.34","43.44","43.00","2.43M","-0.74%"
"05/11/2026","43.32","43.14","43.36","43.06","3.92M","0.74%"
"05/10/2026","43.00","43.00","43.18","42.90","1.31M","-0.23%"
"05/07/2026","43.10","42.90","43.20","42.82","2.88M","0.56%"
"05/06/2026","42.86","42.90","43.18","42.80","2.22M","-0.19%"
"05/05/2026","42.94","42.86","42.94","42.68","1.88M","0.14%"
"05/04/2026","42.88","42.84","42.92","42.64","2.16M","0.28%"
"05/03/2026","42.76","43.00","43.04","42.76","2.66M","-1.79%"
"04/30/2026","43.54","43.84","43.84","43.50","3.79M","-0.68%"
"04/29/2026","43.84","43.06","43.96","43.02","6.69M","2.38%"
"04/28/2026","42.82","42.68","42.88","42.66","1.35M","0.42%"
"04/27/2026","42.64","42.50","43.14","42.46","2.50M","0.28%"
"04/26/2026","42.52","42.62","42.72","42.48","1.96M","-0.19%"
"04/23/2026","42.60","42.90","43.12","42.60","2.35M","-0.70%"
"04/22/2026","42.90","43.24","43.24","42.90","1.83M","-0.14%"
"04/21/2026","42.96","43.00","43.30","42.92","2.07M","0.05%"
"04/20/2026","42.94","43.18","43.18","42.94","1.83M","-0.74%"
"04/19/2026","43.26","43.30","43.34","43.12","2.24M","-0.09%"
"04/16/2026","43.30","44.00","44.02","43.14","3.20M","-0.73%"
"04/15/2026","43.62","43.10","43.62","43.10","3.84M","1.16%"
"04/14/2026","43.12","43.18","43.22","43.00","2.22M","-0.14%"
"04/13/2026","43.18","42.64","43.30","42.62","4.16M","1.27%"
"04/12/2026","42.64","42.54","42.72","42.50","1.77M","-0.28%"
"04/09/2026","42.76","42.64","42.78","42.54","3.18M","0.19%"
"04/08/2026","42.68","42.36","42.68","42.36","4.02M","1.67%"
"04/07/2026","41.98","42.48","42.52","41.92","3.92M","-1.22%"
"04/06/2026","42.50","42.58","42.68","42.44","1.70M","-0.09%"
"04/05/2026","42.54","42.44","42.64","42.40","1.31M","0.28%"
"04/02/2026","42.42","42.48","42.54","42.34","2.25M","-0.14%"
"04/01/2026","42.48","42.56","42.60","42.42","2.47M","-0.05%"
"03/31/2026","42.50","42.36","42.64","42.36","3.17M","0.33%"
"03/30/2026","42.36","42.28","42.52","42.28","2.15M","0.24%"
"03/29/2026","42.26","42.32","42.40","42.26","1.23M","0.05%"
"03/26/2026","42.24","42.30","42.40","42.20","2.14M","0.05%"
"03/25/2026","42.22","41.96","42.50","41.92","4.73M","1.05%"
"03/24/2026","41.78","42.30","42.46","41.78","6.82M","-1.04%"
"03/16/2026","42.22","42.44","42.44","42.20","4.94M","-0.52%"
"03/15/2026","42.44","42.40","42.50","41.96","2.13M","0.33%"
"03/12/2026","42.30","42.38","42.76","42.26","3.50M","-0.14%"
"03/11/2026","42.36","42.30","42.48","42.18","2.16M","0.47%"
"03/10/2026","42.16","42.20","42.42","42.16","1.40M","-0.09%"
"03/09/2026","42.20","42.14","42.42","42.00","2.83M","0.24%"
"03/08/2026","42.10","42.10","42.70","42.04","2.01M","0.24%"
"03/05/2026","42.00","42.30","42.62","41.96","3.13M","-0.24%"
"03/04/2026","42.10","41.74","42.84","41.74","4.19M","0.86%"
"03/03/2026","41.74","41.22","41.84","41.22","4.28M","1.26%"
"03/02/2026","41.22","41.56","41.84","41.14","3.92M","-0.67%"
"03/01/2026","41.50","40.30","41.80","40.20","4.28M","-0.77%"
"02/26/2026","41.82","42.50","42.50","41.82","6.42M","-1.51%"
"02/25/2026","42.46","42.32","42.46","42.10","2.42M","0.38%"
"02/24/2026","42.30","42.80","42.82","42.10","3.21M","-2.08%"
"02/23/2026","43.20","43.00","43.34","43.00","2.61M","0.47%"
"02/19/2026","43.00","43.62","43.64","43.00","4.00M","-1.38%"
"02/18/2026","43.60","43.84","44.20","43.10","5.90M","-2.68%"
"02/17/2026","44.80","44.78","44.84","44.50","1.71M","0.00%"
"02/16/2026","44.80","44.72","44.80","44.58","1.36M","0.00%"
"02/15/2026","44.80","44.70","44.80","44.64","1.06M","0.04%"
"02/12/2026","44.78","44.50","44.78","44.42","1.39M","0.49%"
"02/11/2026","44.56","44.46","44.56","44.20","1.69M","0.18%"
"02/10/2026","44.48","44.50","44.56","44.30","1.58M","-0.27%"
"02/09/2026","44.60","44.46","44.68","44.26","2.28M","0.36%"
"02/08/2026","44.44","44.74","44.74","44.34","1.01M","0.36%"
"02/05/2026","44.28","44.74","44.74","44.10","1.86M","-1.07%"
"02/04/2026","44.76","44.68","44.86","44.60","1.40M","-0.31%"
"02/03/2026","44.90","44.78","45.00","44.64","1.67M","0.22%"
"02/02/2026","44.80","44.16","44.80","43.88","3.04M","1.22%"
"02/01/2026","44.26","44.60","44.68","44.10","2.48M","-0.32%"
"01/29/2026","44.40","44.86","44.88","44.40","5.94M","-0.89%"
"01/28/2026","44.80","45.00","45.10","44.62","3.70M","-0.36%"
"01/27/2026","44.96","44.32","44.96","44.32","3.80M","1.44%"
"01/26/2026","44.32","44.18","44.32","44.02","2.75M","0.32%"
"01/25/2026","44.18","43.94","44.32","43.94","2.66M","0.55%"
"01/22/2026","43.94","43.90","44.04","43.80","4.21M","0.09%"
"01/21/2026","43.90","44.10","44.14","43.90","2.78M","-0.59%"
"01/20/2026","44.16","43.96","44.24","43.86","2.36M","0.36%"
"01/19/2026","44.00","44.00","44.10","43.60","2.56M","0.00%"
"01/18/2026","44.00","44.18","44.38","43.94","2.27M","-0.68%"
"01/15/2026","44.30","44.36","44.38","43.98","2.18M","-0.36%"
"01/14/2026","44.46","44.54","44.66","44.18","2.57M","-0.18%"
"01/13/2026","44.54","44.06","44.54","44.02","3.37M","1.23%"
"01/12/2026","44.00","43.00","44.00","43.00","4.14M","2.33%"
"01/11/2026","43.00","42.90","43.10","42.88","1.35M","0.28%"
"01/08/2026","42.88","42.80","42.94","42.62","2.50M","0.19%"
"01/07/2026","42.80","42.86","42.86","42.38","3.98M","1.28%"
"01/06/2026","42.26","42.72","42.76","42.00","4.09M","-1.08%"
"01/05/2026","42.72","42.70","42.92","42.52","2.90M","0.05%"
"01/04/2026","42.70","43.00","43.02","42.62","2.28M","-0.61%"
"01/01/2026","42.96","42.98","43.10","42.88","818.85K","-0.05%"
"12/31/2025","42.98","42.50","43.00","42.50","2.52M","0.75%"
"12/30/2025","42.66","42.66","42.78","42.30","2.42M","0.19%"
"12/29/2025","42.58","42.52","42.84","42.42","2.18M","0.14%"
"12/28/2025","42.52","42.80","42.88","42.52","2.03M","-0.89%"
"12/25/2025","42.90","42.80","42.92","42.64","1.12M","0.09%"
"12/24/2025","42.86","42.80","42.94","42.62","1.60M","0.19%"
"12/23/2025","42.78","42.60","42.78","42.30","1.84M","0.42%"
"12/22/2025","42.60","42.24","42.60","42.18","2.57M","0.90%"
"12/21/2025","42.22","42.50","42.60","42.22","2.64M","0.38%"
"12/18/2025","42.06","42.30","42.44","42.06","5.81M","-0.33%"
"12/17/2025","42.20","42.42","42.42","42.16","2.40M","-0.57%"
"12/16/2025","42.44","42.60","42.70","42.26","2.00M","-0.09%"
"12/15/2025","42.48","42.50","42.70","42.16","2.58M","-0.05%"
"12/14/2025","42.50","43.30","43.32","42.50","1.55M","-1.94%"
"12/11/2025","43.34","42.66","43.34","42.56","3.61M","1.59%"
"12/10/2025","42.66","42.38","42.66","42.24","2.49M","0.66%"
"12/09/2025","42.38","42.00","42.38","41.94","4.37M","0.90%"
"12/08/2025","42.00","42.10","42.20","41.96","5.26M","-0.24%"
"12/07/2025","42.10","42.36","42.48","42.08","2.65M","-0.52%"
"12/04/2025","42.32","42.32","42.58","42.22","2.92M","0.00%"
"12/03/2025","42.32","42.28","42.32","42.08","3.02M","0.09%"
"12/02/2025","42.28","42.20","42.34","42.02","3.12M","0.19%"
"12/01/2025","42.20","42.50","42.58","42.02","2.97M","-0.71%"
"11/30/2025","42.50","42.66","42.68","42.40","1.31M","-0.38%"
"11/27/2025","42.66","42.62","42.90","42.36","2.63M","0.09%"
"11/26/2025","42.62","42.52","42.66","42.30","3.31M","0.19%"
"11/25/2025","42.54","42.60","42.94","42.32","2.40M","0.00%"
"11/24/2025","42.54","43.24","43.24","42.54","7.62M","-1.62%"
"11/23/2025","43.24","43.10","43.26","42.94","920.90K","0.56%"
"11/20/2025","43.00","43.08","43.20","42.86","2.37M","-0.19%"
"11/19/2025","43.08","43.32","43.50","43.08","1.95M","-0.55%"
"11/18/2025","43.32","43.38","43.40","43.02","2.63M","-0.18%"
"11/17/2025","43.40","43.16","43.44","43.08","2.31M","0.60%"
"11/16/2025","43.14","43.80","43.82","43.06","2.18M","-1.55%"
"11/13/2025","43.82","43.96","44.14","43.82","1.98M","-0.36%"
"11/12/2025","43.98","44.34","44.50","43.90","1.69M","-1.04%"
"11/11/2025","44.44","43.86","44.44","43.80","2.47M","1.32%"
"11/10/2025","43.86","44.00","44.00","43.50","3.33M","-0.36%"
"11/09/2025","44.02","44.00","44.08","43.60","1.81M","-0.72%"
"11/06/2025","44.34","44.66","44.84","44.34","2.64M","-0.63%"
"11/05/2025","44.62","44.90","44.96","44.52","1.92M","-0.62%"
"11/04/2025","44.90","44.40","45.00","44.40","3.71M","1.49%"
"11/03/2025","44.24","44.72","44.74","44.00","3.11M","-1.07%"
"11/02/2025","44.72","44.94","45.06","44.72","1.51M","-1.02%"
"10/30/2025","45.18","45.00","45.38","44.82","5.55M","0.58%"
"10/29/2025","44.92","44.78","44.92","44.60","2.37M","0.49%"
"10/28/2025","44.70","44.72","44.82","44.60","3.30M","-0.04%"
"10/27/2025","44.72","45.04","45.08","44.62","2.54M","-0.71%"
"10/26/2025","45.04","44.96","45.08","44.90","1.37M","0.18%"
"10/23/2025","44.96","44.68","44.96","44.54","2.17M","0.90%"
"10/22/2025","44.56","44.32","44.68","44.20","2.01M","0.54%"
"10/21/2025","44.32","44.24","44.50","44.20","1.89M","0.45%"
"10/20/2025","44.12","44.70","44.80","44.12","3.67M","-1.34%"
"10/19/2025","44.72","44.90","45.12","44.72","1.47M","-0.40%"
"10/16/2025","44.90","44.82","45.24","44.82","3.16M","0.22%"
"10/15/2025","44.80","45.00","45.06","44.70","5.93M","-0.44%"
"10/14/2025","45.00","44.70","45.36","44.70","4.92M","0.45%"
"10/13/2025","44.80","44.40","44.86","44.38","3.31M","1.27%"
"10/12/2025","44.24","44.00","44.46","43.80","2.68M","-0.85%"
"10/09/2025","44.62","44.56","44.88","44.52","2.25M","0.18%"
"10/08/2025","44.54","44.36","44.68","44.30","2.32M","0.41%"
"10/07/2025","44.36","44.36","44.74","44.00","4.41M","0.00%"
"10/06/2025","44.36","44.50","44.66","44.10","4.05M","-0.36%"
"10/05/2025","44.52","44.64","44.82","44.32","1.82M","-0.27%"
"10/02/2025","44.64","44.14","45.10","44.04","9.47M","1.45%"
"10/01/2025","44.00","44.08","44.44","43.94","4.26M","-0.18%"
"09/30/2025","44.08","43.66","44.08","43.44","5.55M","0.96%"
"09/29/2025","43.66","43.34","43.66","43.14","5.48M","0.74%"
"09/28/2025","43.34","43.00","43.60","43.00","3.05M","0.79%"
"09/25/2025","43.00","44.86","44.86","43.00","9.60M","-4.15%"
"09/24/2025","44.86","44.00","45.04","43.74","14.96M","3.41%"
"09/22/2025","43.38","43.02","43.40","42.86","3.26M","0.88%"
"09/21/2025","43.00","42.60","43.16","42.52","3.86M","1.32%"
"09/18/2025","42.44","42.20","42.56","42.08","7.59M","0.81%"
"09/17/2025","42.10","41.52","42.10","41.50","3.24M","1.35%"
"09/16/2025","41.54","41.44","41.54","41.30","2.74M","0.24%"
"09/15/2025","41.44","41.50","41.56","41.24","2.67M","-0.10%"
"09/14/2025","41.48","41.34","41.54","41.16","1.66M","0.63%"
"09/11/2025","41.22","41.40","41.54","41.14","3.14M","-0.24%"
"09/10/2025","41.32","41.74","41.74","41.32","2.88M","-1.01%"
"09/09/2025","41.74","41.70","41.76","41.32","3.58M","0.29%"
"09/08/2025","41.62","41.92","41.96","41.60","3.33M","-0.48%"
"09/07/2025","41.82","41.84","42.06","41.80","1.55M","0.05%"
"09/04/2025","41.80","41.90","41.98","41.78","2.90M","-0.24%"
"09/03/2025","41.90","41.96","42.00","41.80","1.82M","-0.14%"
"09/02/2025","41.96","41.84","42.00","41.72","2.50M","0.33%"
"09/01/2025","41.82","42.04","42.10","41.76","3.80M","-0.48%"
"08/31/2025","42.02","42.00","42.18","41.90","1.21M","0.05%"
"08/28/2025","42.00","42.16","42.36","42.00","2.86M","-0.24%"
"08/27/2025","42.10","42.28","42.40","42.10","1.67M","-0.28%"
"08/26/2025","42.22","42.34","42.52","42.22","4.60M","-0.38%"
"08/25/2025","42.38","42.80","42.90","42.34","3.16M","-0.98%"
"08/24/2025","42.80","42.92","43.00","42.76","1.99M","-0.23%"
"08/21/2025","42.90","42.96","43.00","42.78","1.98M","0.05%"
"08/20/2025","42.88","42.94","43.24","42.82","3.25M","-0.14%"
"08/19/2025","42.94","42.86","43.10","42.62","3.40M","0.19%"
"08/18/2025","42.86","43.00","43.02","42.56","2.36M","-0.42%"
"08/17/2025","43.04","42.68","43.22","42.66","2.51M","0.75%"
"08/14/2025","42.72","42.42","42.78","42.28","3.86M","0.75%"
"08/13/2025","42.40","42.30","42.48","42.14","2.06M","0.24%"
"08/12/2025","42.30","42.04","42.30","42.02","1.65M","0.62%"
"08/11/2025","42.04","42.62","42.62","42.04","2.25M","-1.36%"
"08/10/2025","42.62","42.12","42.62","42.12","2.12M","1.14%"
"08/07/2025","42.14","42.40","42.44","42.10","2.23M","-0.61%"
"08/06/2025","42.40","42.28","42.46","42.10","1.60M","0.05%"
"08/05/2025","42.38","41.72","42.38","41.70","3.76M","1.58%"
"08/04/2025","41.72","41.82","41.94","41.70","2.68M","-0.24%"
"08/03/2025","41.82","41.90","41.92","41.66","1.94M","-0.52%"
"07/31/2025","42.04","41.96","42.04","41.52","5.11M","-0.61%"
"07/30/2025","42.30","42.28","42.44","42.18","2.92M","0.09%"
"07/29/2025","42.26","42.20","42.32","42.04","4.07M","0.33%"
"07/28/2025","42.12","42.32","42.50","42.12","4.01M","-0.24%"
"07/27/2025","42.22","41.98","42.24","41.88","2.81M","0.57%"
"07/24/2025","41.98","42.08","42.12","41.62","2.78M","-0.24%"
"07/23/2025","42.08","41.34","42.08","41.34","2.60M","1.84%"
"07/22/2025","41.32","41.96","42.04","41.32","3.09M","-1.53%"
"07/21/2025","41.96","41.50","41.96","41.50","2.08M","1.11%"
"07/20/2025","41.50","41.74","41.88","41.48","2.07M","-0.48%"
"07/17/2025","41.70","41.70","42.04","41.62","2.76M","0.00%"
"07/16/2025","41.70","41.80","42.10","41.70","3.09M","-0.24%"
"07/15/2025","41.80","42.20","42.20","41.70","4.83M","-0.95%"
"07/14/2025","42.20","42.22","42.42","42.08","2.29M","-0.05%"
"07/13/2025","42.22","42.44","42.50","42.18","1.58M","-0.24%"
"07/10/2025","42.32","42.58","42.62","42.32","2.95M","-0.89%"
"07/09/2025","42.70","42.70","42.82","42.46","3.06M","-0.19%"
"07/08/2025","42.78","42.66","42.80","42.56","2.48M","0.47%"
"07/07/2025","42.58","42.46","42.70","42.28","2.41M","0.28%"
"07/06/2025","42.46","42.52","42.62","42.36","1.94M","-0.09%"
"07/03/2025","42.50","41.98","42.62","41.98","2.71M","1.24%"
"07/02/2025","41.98","41.84","42.00","41.64","4.17M","0.38%"
"07/01/2025","41.82","42.54","42.54","41.82","5.62M","-1.69%"
"06/30/2025","42.54","43.20","43.30","42.54","4.34M","-1.53%"
"06/29/2025","43.20","43.40","43.48","43.00","3.27M","-0.35%"
"06/26/2025","43.35","42.95","43.35","42.80","3.13M","0.93%"
"06/25/2025","42.95","42.75","42.95","42.45","3.16M","0.59%"
"06/24/2025","42.70","42.70","43.00","42.35","7.18M","1.43%"
"06/23/2025","42.10","41.70","42.10","41.60","2.16M","0.96%"
"06/22/2025","41.70","41.70","41.90","41.60","2.30M","0.24%"
