Date,Price,Open,High,Low,Vol.,Change %
07/28/2026,57.207,58.3895,58.423,56.715,,-2.00%
07/27/2026,58.377,59.5805,60.0989,58.1584,,0.32%
07/24/2026,58.19,57.555,59.005,57.0879,,0.85%
07/23/2026,57.7,59.55,60.1095,57.0544,,-3.40%
07/22/2026,59.73,58.8415,60.9342,58.71,,1.56%
07/21/2026,58.81,56.4601,59.265,56.1091,,4.20%
07/20/2026,56.44,55.6659,57.4955,55.5235,,0.88%
07/17/2026,55.95,55.7612,56.2297,54.7667,,0.76%
07/16/2026,55.53,57.005,58.1741,55.3142,,-3.92%
07/15/2026,57.795,58.7293,59.2478,56.6122,,-1.51%
07/14/2026,58.68,57.62,59.6794,56.8543,,1.75%
07/13/2026,57.67,59.8442,59.9046,57.248,,-3.67%
07/10/2026,59.865,60.1485,60.7747,58.785,,-0.25%
07/09/2026,60.015,58.419,60.6266,57.5779,,2.91%
07/08/2026,58.32,60.385,61.04,57.215,,-2.86%
07/07/2026,60.035,61.934,62.2138,59.4266,,-3.33%
07/06/2026,62.1025,62.43,63.2786,61.3553,,-0.52%
07/03/2026,62.425,61.045,62.95,60.9079,,2.28%
07/02/2026,61.0325,59.17,62.0817,58.9042,,3.16%
07/01/2026,59.165,58.6735,61.0143,57.1384,,0.96%
06/30/2026,58.6,58.346,60.495,56.5975,,0.48%
06/29/2026,58.3225,58.7925,59.575,57.4112,,-0.59%
06/28/2026,58.6685,58.823,59.4895,58.495,,-0.87%
06/26/2026,59.185,57.89,59.59,55.696,,2.23%
06/25/2026,57.8925,57.35,59.0285,56.3344,,0.75%
06/24/2026,57.46,61.6466,62.395,55.6194,,-6.68%
06/23/2026,61.575,64.9498,65.4398,61.3173,,-5.56%
06/22/2026,65.2025,63.7306,67.16,63.683,,0.43%
06/19/2026,64.925,66.169,66.169,63.2659,,-1.39%
06/18/2026,65.84,67.716,69.8591,65.0519,,-3.19%
06/17/2026,68.0125,70.2,71.5702,66.79,,-3.11%
06/16/2026,70.195,70.0725,71.215,69.0441,,0.22%
06/15/2026,70.04,68.38,71.6511,68.38,,3.00%
06/12/2026,68.0009,67.5927,68.418,65.8691,,0.92%
06/11/2026,67.3795,63.3794,67.5825,61.505,,5.72%
06/10/2026,63.735,64.9782,65.775,63.2891,,-2.52%
06/09/2026,65.3825,68.19,69.045,64.3535,,-4.12%
06/08/2026,68.19,67.7318,68.945,66.1607,,0.52%
06/05/2026,67.8383,73.895,74.1436,67.3269,,-8.20%
06/04/2026,73.895,72.9828,75.093,72.4519,,1.61%
06/03/2026,72.7275,75.14,75.3647,72.6025,,-3.20%
06/02/2026,75.135,74.96,77.0159,74.3972,,0.35%
06/01/2026,74.8695,75.2933,76.3144,73.3377,,-0.55%
05/29/2026,75.281,75.7691,76.705,74.5992,,-0.50%
05/28/2026,75.66,74.8568,76.0465,71.7805,,1.38%
05/27/2026,74.6325,76.6896,77.5575,73.385,,-3.04%
05/26/2026,76.9725,78.0,78.4209,75.4746,,-1.44%
05/25/2026,78.1005,76.6684,78.8398,76.1586,,3.42%
05/22/2026,75.515,76.72,77.0606,74.9548,,-1.57%
05/21/2026,76.7225,76.1853,77.1314,74.437,,0.92%
05/20/2026,76.0264,73.85,76.6282,73.1256,,2.94%
05/19/2026,73.8525,77.6494,79.1641,73.081,,-4.96%
05/18/2026,77.706,75.793,78.205,73.8578,,2.28%
05/15/2026,75.9772,83.745,83.8954,75.7247,,-9.01%
05/14/2026,83.505,88.01,88.5111,83.0964,,-5.12%
05/13/2026,88.0084,86.57,89.3881,85.6161,,1.67%
05/12/2026,86.565,86.11,87.2284,83.0335,,0.53%
05/11/2026,86.11,79.4965,86.2488,79.0744,,7.17%
05/08/2026,80.3474,78.62,81.595,78.1128,,2.35%
05/07/2026,78.5,77.36,82.22,76.9824,,1.48%
05/06/2026,77.355,72.365,77.845,72.3638,,6.19%
05/05/2026,72.845,72.74,74.212,72.3868,,0.14%
05/04/2026,72.74,75.5113,76.0301,72.215,,-3.48%
05/01/2026,75.361,73.76,76.9744,72.979,,2.17%
04/30/2026,73.76,71.5,73.9544,71.2038,,3.16%
04/29/2026,71.5,73.2918,73.9706,70.8596,,-2.20%
04/28/2026,73.105,75.4847,76.3441,72.0366,,-3.20%
04/27/2026,75.52,75.6124,76.6085,74.6339,,-0.24%
04/24/2026,75.6988,75.065,76.694,73.9235,,0.33%
04/23/2026,75.45,77.6153,78.3844,74.2144,,-2.92%
04/22/2026,77.72,76.9303,78.697,76.6813,,1.30%
04/21/2026,76.725,79.7798,80.2354,75.3863,,-4.01%
04/20/2026,79.93,80.815,80.815,78.628,,-1.09%
04/17/2026,80.8103,78.5025,83.0686,77.7656,,3.03%
04/16/2026,78.43,79.155,80.885,78.04,,-0.84%
04/15/2026,79.0917,79.56,81.04,78.2345,,-0.58%
04/14/2026,79.555,75.512,79.6941,75.3666,,5.23%
04/13/2026,75.6,75.7679,75.9683,72.601,,-0.40%
04/10/2026,75.9014,75.7495,76.837,74.8165,,1.05%
04/09/2026,75.1125,74.2514,76.6379,72.865,,1.30%
04/08/2026,74.1462,73.2635,77.815,72.9287,,1.63%
04/07/2026,72.955,72.805,73.48,69.8035,,0.19%
04/06/2026,72.815,72.5896,73.61,71.1882,,-0.27%
04/03/2026,73.015,73.015,73.015,73.015,,0.00%
04/02/2026,73.015,75.0263,75.9267,69.5548,,-2.83%
04/01/2026,75.145,75.13,76.155,73.7486,,0.02%
03/31/2026,75.13,70.086,75.39,68.9616,,7.19%
03/30/2026,70.0895,69.79,71.785,67.6683,,0.44%
03/27/2026,69.785,68.2925,71.73,67.3875,,2.55%
03/26/2026,68.05,71.345,72.26,66.7054,,-4.57%
03/25/2026,71.3059,70.926,74.655,70.885,,0.08%
03/24/2026,71.2475,69.305,71.3141,66.0023,,3.02%
03/23/2026,69.159,67.79,71.04,60.97,,2.02%
03/20/2026,67.7881,72.855,74.58,67.5195,,-7.04%
03/19/2026,72.925,75.3251,76.75,65.505,,-3.26%
03/18/2026,75.3825,79.298,80.225,75.0075,,-4.96%
03/17/2026,79.3125,80.9774,82.5548,78.2464,,-1.83%
03/16/2026,80.79,80.58,81.6649,77.034,,0.27%
03/13/2026,80.5764,83.6595,85.495,79.4291,,-3.85%
03/12/2026,83.8015,85.5466,87.495,83.0085,,-2.34%
03/11/2026,85.81,88.3035,89.465,84.4264,,-2.95%
03/10/2026,88.4225,86.7813,90.026,86.5028,,1.60%
03/09/2026,87.0325,84.4365,87.0825,79.612,,3.15%
03/06/2026,84.3717,82.4258,85.0128,81.6673,,2.65%
03/05/2026,82.1941,83.4276,85.5875,80.5235,,-1.48%
03/04/2026,83.427,82.0728,86.8177,81.462,,1.65%
03/03/2026,82.0728,89.4715,91.385,77.9485,,-8.27%
03/02/2026,89.4711,95.5098,96.44,86.5087,,-4.66%
02/27/2026,93.8431,88.3733,94.195,87.8125,,6.19%
02/26/2026,88.3731,89.4227,90.4017,85.2,,-1.20%
02/25/2026,89.443,87.345,91.3297,86.5698,,2.39%
02/24/2026,87.353,88.235,89.07,84.993,,-1.02%
02/23/2026,88.2491,84.65,89.0797,84.5888,,4.26%
02/20/2026,84.645,78.3721,84.7119,77.4584,,8.00%
