"Date","Price","Open","High","Low","Vol.","Change %"
"07/20/2026","1,608.37","1,588.83","1,609.97","1,582.68","","1.23%"
"07/19/2026","1,588.81","1,590.30","1,590.76","1,585.53","","-0.45%"
"07/17/2026","1,596.03","1,621.91","1,626.52","1,561.56","","-1.54%"
"07/16/2026","1,621.00","1,679.35","1,686.56","1,616.60","","-3.38%"
"07/15/2026","1,677.66","1,635.50","1,694.62","1,614.27","","2.58%"
"07/14/2026","1,635.50","1,608.50","1,666.35","1,585.78","","1.93%"
"07/13/2026","1,604.53","1,621.30","1,637.62","1,593.70","","-1.62%"
"07/10/2026","1,630.89","1,620.16","1,646.77","1,608.16","","1.03%"
"07/09/2026","1,614.32","1,583.41","1,637.50","1,579.00","","2.04%"
"07/08/2026","1,582.00","1,641.30","1,646.36","1,568.20","","-3.78%"
"07/07/2026","1,644.12","1,633.35","1,668.80","1,604.17","","0.56%"
"07/06/2026","1,635.00","1,644.00","1,666.47","1,613.55","","-0.45%"
"07/03/2026","1,642.47","1,621.55","1,670.02","1,620.78","","1.39%"
"07/02/2026","1,620.00","1,579.05","1,639.10","1,574.00","","2.51%"
"07/01/2026","1,580.40","1,556.60","1,611.50","1,534.93","","1.63%"
"06/30/2026","1,555.00","1,578.50","1,599.56","1,547.78","","-1.49%"
"06/29/2026","1,578.50","1,622.80","1,640.21","1,567.88","","-2.43%"
"06/26/2026","1,617.85","1,609.25","1,645.30","1,561.58","","0.80%"
"06/25/2026","1,605.00","1,581.60","1,619.10","1,547.80","","1.45%"
"06/24/2026","1,582.00","1,656.80","1,661.82","1,555.79","","-4.43%"
"06/23/2026","1,655.30","1,684.65","1,688.08","1,625.53","","-1.63%"
"06/22/2026","1,682.70","1,665.66","1,707.43","1,655.54","","0.93%"
"06/19/2026","1,667.20","1,705.50","1,705.50","1,648.84","","-1.91%"
"06/18/2026","1,699.58","1,735.81","1,775.67","1,689.12","","-2.34%"
"06/17/2026","1,740.31","1,809.78","1,824.28","1,719.24","","-3.75%"
"06/16/2026","1,808.14","1,774.55","1,828.95","1,749.20","","2.10%"
"06/15/2026","1,771.00","1,721.00","1,822.55","1,721.00","","2.90%"
"06/12/2026","1,721.01","1,730.48","1,746.13","1,691.88","","-0.15%"
"06/11/2026","1,723.51","1,665.51","1,734.55","1,640.35","","3.30%"
"06/10/2026","1,668.48","1,723.35","1,731.22","1,650.71","","-3.59%"
"06/09/2026","1,730.55","1,755.55","1,788.20","1,702.42","","-1.59%"
"06/08/2026","1,758.50","1,786.20","1,797.46","1,735.47","","-1.22%"
"06/05/2026","1,780.30","1,904.00","1,907.43","1,772.40","","-6.50%"
"06/04/2026","1,904.00","1,863.45","1,906.54","1,852.85","","2.22%"
"06/03/2026","1,862.65","1,937.20","1,941.95","1,857.87","","-4.01%"
"06/02/2026","1,940.50","1,929.35","1,980.59","1,924.32","","0.67%"
"06/01/2026","1,927.50","1,920.80","1,954.00","1,910.14","","0.36%"
"05/29/2026","1,920.53","1,920.45","1,947.66","1,907.20","","-0.31%"
"05/28/2026","1,926.50","1,922.00","1,938.85","1,871.30","","0.23%"
"05/27/2026","1,922.00","1,963.90","1,972.93","1,907.74","","-2.04%"
"05/26/2026","1,962.09","1,971.60","1,978.25","1,937.12","","-0.51%"
"05/25/2026","1,972.12","1,934.45","1,979.25","1,934.45","","2.38%"
"05/22/2026","1,926.30","1,970.10","1,976.00","1,910.53","","-2.19%"
"05/21/2026","1,969.41","1,951.60","1,975.26","1,920.08","","0.76%"
"05/20/2026","1,954.50","1,926.45","1,964.66","1,909.30","","1.49%"
"05/19/2026","1,925.85","1,981.80","1,998.89","1,922.28","","-2.91%"
"05/18/2026","1,983.60","1,978.10","1,998.92","1,952.75","","0.34%"
"05/15/2026","1,976.95","2,059.90","2,070.95","1,967.27","","-4.02%"
"05/14/2026","2,059.68","2,145.65","2,163.80","2,054.13","","-3.79%"
"05/13/2026","2,140.90","2,131.90","2,197.45","2,100.90","","0.50%"
"05/12/2026","2,130.30","2,133.88","2,150.65","2,057.45","","-0.21%"
"05/11/2026","2,134.88","2,036.05","2,142.00","2,022.96","","3.69%"
"05/08/2026","2,058.86","2,024.60","2,068.73","2,014.00","","1.62%"
"05/07/2026","2,026.00","2,062.60","2,101.57","2,023.50","","-1.86%"
"05/06/2026","2,064.33","1,959.65","2,068.70","1,950.65","","5.52%"
"05/05/2026","1,956.40","1,948.85","2,000.13","1,941.45","","0.41%"
"05/04/2026","1,948.42","1,996.90","2,016.29","1,928.63","","-2.20%"
"05/01/2026","1,992.28","1,983.10","2,021.35","1,958.05","","0.14%"
"04/30/2026","1,989.50","1,882.05","1,996.48","1,877.45","","5.67%"
"04/29/2026","1,882.81","1,944.97","1,956.92","1,874.75","","-3.13%"
"04/28/2026","1,943.58","1,986.18","2,009.91","1,917.34","","-2.13%"
"04/27/2026","1,985.95","2,007.05","2,041.41","1,982.43","","-1.42%"
"04/24/2026","2,014.61","2,008.41","2,031.12","1,970.80","","0.25%"
"04/23/2026","2,009.54","2,080.25","2,089.90","1,998.54","","-3.29%"
"04/22/2026","2,077.94","2,037.10","2,097.36","2,029.80","","1.85%"
"04/21/2026","2,040.29","2,086.05","2,100.69","2,011.33","","-2.50%"
"04/20/2026","2,092.51","2,069.50","2,111.31","2,057.50","","-0.68%"
"04/17/2026","2,106.77","2,091.32","2,162.11","2,068.15","","0.81%"
"04/16/2026","2,089.91","2,118.85","2,159.70","2,076.39","","-1.13%"
"04/15/2026","2,113.75","2,106.00","2,152.10","2,094.74","","0.29%"
"04/14/2026","2,107.65","2,066.15","2,113.13","2,060.99","","1.62%"
"04/13/2026","2,074.06","2,008.70","2,076.09","1,979.00","","1.24%"
"04/10/2026","2,048.65","2,102.25","2,112.78","2,036.57","","-2.77%"
"04/09/2026","2,107.00","2,033.82","2,125.77","2,000.05","","3.61%"
"04/08/2026","2,033.61","1,957.40","2,099.60","1,956.55","","3.67%"
"04/07/2026","1,961.55","1,983.24","1,996.65","1,902.13","","-1.08%"
"04/06/2026","1,983.01","1,995.95","2,014.00","1,951.24","","-0.53%"
"04/03/2026","1,993.53","1,993.53","1,993.53","1,993.53","","0.00%"
"04/02/2026","1,993.53","1,966.90","2,008.29","1,878.20","","1.28%"
"04/01/2026","1,968.25","1,966.05","1,994.89","1,945.13","","0.78%"
"03/31/2026","1,953.11","1,896.95","1,977.22","1,871.20","","2.63%"
"03/30/2026","1,903.00","1,866.25","1,946.48","1,823.50","","1.96%"
"03/27/2026","1,866.39","1,827.00","1,913.38","1,806.70","","1.95%"
"03/26/2026","1,830.75","1,929.50","1,952.01","1,808.29","","-4.81%"
"03/25/2026","1,923.23","1,935.70","2,006.20","1,918.11","","-0.77%"
"03/24/2026","1,938.18","1,880.40","1,941.93","1,830.10","","2.79%"
"03/23/2026","1,885.50","1,916.55","1,944.85","1,731.62","","-2.08%"
"03/20/2026","1,925.57","1,975.90","2,025.60","1,916.60","","-2.54%"
"03/19/2026","1,975.74","2,023.05","2,060.93","1,873.35","","-2.53%"
"03/18/2026","2,027.10","2,128.15","2,153.07","2,011.11","","-4.74%"
