origin,origin_idx,h,h_grade,grade_date,spot,realized,z,alpha,drift,sigma_h,crps,crps_b,pin50,pin50_b,wink,wink_b,pit,in50,in80,in90,w90,w90_b,med_disp,u,crps_n,crps_b_n
2015-07-22,1136,62,61,2015-10-22,47.01,35.09,0.17434224275842644,0.0,0.002487582713292021,0.17193003020444111,8.407972827229802,8.352938020553804,6.019492331288696,6.014654688713716,38.8275968740419,37.81083968210075,0.04115,False,False,False,0.5690344753980846,0.5671175982510119,0.0025310500441906303,-1.7154172415575417,0.17885498462518193,0.17768428037766015
2015-10-22,1197,63,66,2016-01-24,35.09,20.05,-0.9120416352336138,0.0,0.002487582713292021,0.18028012182577166,12.159480622290559,11.911942682157987,7.556822163427286,7.540028303462568,147.27804653030745,137.39819603095023,0.00275,False,False,False,0.5884223572146987,0.6243662359163052,0.002098726898106973,-3.1183394645092415,0.3465226737614864,0.3394683010019375
2016-01-24,1263,62,65,2016-04-24,20.05,25.39,-1.0727598293812146,0.0,0.002487582713292021,0.2180980194861325,3.2190889588694627,3.182109479785651,2.654311583214632,2.614504356431052,14.498393548174851,13.753025965583477,0.86655,False,True,True,0.7231118976645811,0.685936457136333,0.0015649293551489585,1.0712552998014384,0.16055306528027244,0.1587087022336983
2016-04-24,1328,62,60,2016-07-24,25.39,23.52,-1.5610512954954672,0.0,0.002487582713292021,0.20359781556462378,1.4782995671474448,1.5353632798995371,0.9899433721476179,0.9378231896234173,17.232974325524676,18.091487096093857,0.337,True,True,True,0.6787307729627678,0.7125438005550948,0.004327953694180264,-0.3879798767997107,0.05822369307394426,0.06047118077587779
2016-07-24,1388,63,60,2016-10-24,23.52,19.49,-1.7170993612079595,0.0,0.002487582713292021,0.1807599255692719,2.534154781864529,2.5342407212153164,2.0277397470561773,2.066222642324556,14.269383939734887,16.971255281766478,0.1374,False,True,True,0.6066914940363473,0.7215669762655815,0.001083311824504829,-1.0535365713639238,0.10774467609968236,0.1077483299836444
2016-10-24,1448,63,66,2017-01-24,19.49,23.9,-1.4745295143705877,0.0,0.002487582713292021,0.20650142538361702,2.57745270533602,2.583852628542708,2.1640658681419502,2.1930804691577492,13.40663227777815,13.057010601936275,0.84505,False,True,True,0.6878723590445435,0.6699338430957555,0.0042005266144740094,0.9757286775643188,0.1322448796991288,0.1325732492838742
2017-01-24,1514,61,64,2017-04-24,23.9,26.85,0.8234959550636699,0.0,0.002487582713292021,0.21468162816397052,1.8051105379254193,1.7096868361940643,1.4509450496521623,1.4298642224026636,17.154271928805127,14.04349202263139,0.7147,True,True,True,0.7177519635483317,0.5875938084783009,0.002012966556304452,0.5305520564485462,0.07552763757010122,0.07153501406669725
2017-04-24,1578,62,60,2017-07-24,26.85,29.28,0.11373394704151837,0.0,0.002487582713292021,0.17109986009328457,1.5002567316745714,1.4720308151293104,1.1640358172452885,1.2067678822865844,15.177250601756857,12.839647405860962,0.70215,True,True,True,0.5652607300468103,0.4781991585050637,0.0037962147303323146,0.4918255653690501,0.05587548348881085,0.05482423892474154
2017-07-24,1638,63,60,2017-10-24,29.28,24.48,0.7855313366440669,0.0,0.002487582713292021,0.17683331940949742,3.0340487880956006,3.0234044721105025,2.4599532790094845,2.4305487280831777,16.96246442740235,14.829968743279295,0.1416,False,True,True,0.5793191402801349,0.5064880035272983,0.004095169331248982,-1.0265928093669412,0.10362188483933062,0.1032583494573259
2017-10-24,1698,63,66,2018-01-24,24.48,25.32,1.444933679030573,0.0,0.002487582713292021,0.18355716334825323,1.0670149658432027,0.9265226082156484,0.42773905508216714,0.3747998360921585,14.785231044694548,12.278302679143685,0.5805,True,True,True,0.6039718564009211,0.5015646519258041,-0.0006322757420070824,0.17024972683451295,0.04358721265699357,0.03784814576044315
2018-01-24,1764,62,64,2018-04-24,25.32,26.93,0.4641449864298609,0.0,0.002487582713292021,0.16612928296276633,1.1586344954961167,1.0813753794935315,0.7413506403018246,0.7896624277121838,14.009659411847593,11.28270922495506,0.6415,True,True,True,0.5533040841961925,0.4456046297375616,0.005027595552778541,0.35610053675786313,0.04575965622022578,0.04270834832122952
2018-04-24,1828,62,60,2018-07-24,26.93,21.14,0.01568394791684472,0.0,0.002487582713292021,0.17559535683953892,3.854649205152856,4.0589910148291715,2.9191045699469367,2.9128288417579284,15.708139738487642,19.668729281405103,0.07945,False,False,True,0.5832952000923743,0.4626532403745625,0.001790164867949251,-1.3927561269071087,0.14313587839409045,0.15072376586814598
2018-07-24,1888,63,59,2018-10-24,21.14,18.95,-0.6904433812594518,0.0,0.002487582713292021,0.16520029611244713,1.4047680018674384,1.356303347956411,1.1357550595557147,1.111847286386956,11.70215393835575,9.69915378368994,0.2335,False,True,True,0.553555058578796,0.45880576081787794,0.003855729380862316,-0.6770607211915333,0.06645070964368205,0.06415815269424839
2018-10-24,1947,63,66,2019-01-24,18.95,18.92,-0.8820791561299492,0.0,0.002487582713292021,0.18755364457230655,0.7974523432778367,0.7361792081567229,0.03960457160247444,0.04338267609458413,11.794357720929517,10.494617214815468,0.4908,True,True,True,0.6223935472786025,0.5538056577739033,0.0025967885596280826,-0.021710858390838486,0.042081917851073174,0.038848507026739997
