"Date","Price","Open","High","Low","Vol.","Change %"
"08/06/2026","79.00","81.80","82.50","78.30","1.36M","-2.59%"
"08/05/2026","81.10","79.40","84.00","78.51","1.81M","3.44%"
"08/04/2026","78.40","79.20","81.40","78.00","1.60M","-0.76%"
"08/03/2026","79.00","78.03","80.00","76.75","1.41M","1.80%"
"08/02/2026","77.60","81.25","82.75","77.60","1.59M","-3.12%"
"07/30/2026","80.10","84.00","84.80","80.10","1.47M","-4.76%"
"07/29/2026","84.10","86.02","87.99","83.21","1.10M","-2.90%"
"07/28/2026","86.61","81.50","87.00","81.05","2.42M","6.90%"
"07/27/2026","81.02","81.56","82.00","80.31","625.63K","-0.21%"
"07/26/2026","81.19","83.00","85.49","81.05","1.10M","-0.26%"
"07/22/2026","81.40","79.00","82.80","77.56","1.29M","5.17%"
"07/21/2026","77.40","78.30","78.80","75.85","1.53M","-1.15%"
"07/20/2026","78.30","71.50","81.96","71.25","3.95M","10.56%"
"07/19/2026","70.82","68.30","72.00","66.75","2.64M","5.18%"
"07/16/2026","67.33","62.40","67.55","62.10","1.45M","7.90%"
"07/15/2026","62.40","62.05","62.50","61.97","172.73K","0.55%"
"07/14/2026","62.06","62.10","62.30","61.28","374.78K","-0.42%"
"07/13/2026","62.32","62.55","62.97","61.91","327.37K","-0.34%"
"07/12/2026","62.53","62.30","63.20","62.16","123.91K","-0.13%"
"07/09/2026","62.61","62.21","63.00","62.16","200.57K","0.74%"
"07/08/2026","62.15","64.00","64.00","62.15","151.26K","-2.89%"
"07/07/2026","64.00","64.05","64.97","63.60","544.80K","0.00%"
"07/06/2026","64.00","65.60","66.00","64.00","215.01K","-2.47%"
"07/05/2026","65.62","63.61","67.00","63.61","519.64K","3.34%"
"07/01/2026","63.50","62.25","63.78","62.25","167.17K","2.09%"
"06/30/2026","62.20","61.00","62.64","60.14","491.82K","2.03%"
"06/29/2026","60.96","61.33","61.68","60.50","88.39K","-0.60%"
"06/28/2026","61.33","62.96","62.96","61.10","131.28K","-1.97%"
"06/25/2026","62.56","63.51","63.95","62.54","220.23K","-1.23%"
"06/24/2026","63.34","61.31","64.00","60.75","605.74K","3.41%"
"06/23/2026","61.25","61.89","61.89","61.03","81.71K","-1.03%"
"06/22/2026","61.89","62.00","62.14","61.25","99.36K","-0.13%"
"06/21/2026","61.97","62.20","62.22","60.50","188.77K","-0.40%"
"06/17/2026","62.22","62.27","62.30","61.53","222.23K","0.06%"
"06/16/2026","62.18","62.08","62.37","61.50","331.11K","0.19%"
"06/15/2026","62.06","62.50","62.74","61.66","121.83K","-0.37%"
"06/14/2026","62.29","61.90","62.60","61.15","163.32K","3.89%"
"06/11/2026","59.96","61.30","61.45","59.30","371.18K","-1.79%"
"06/10/2026","61.05","63.60","63.86","61.05","528.37K","-4.25%"
"06/09/2026","63.76","63.54","64.44","63.53","95.93K","0.41%"
"06/08/2026","63.50","64.00","64.15","63.25","121.15K","-1.26%"
"06/07/2026","64.31","65.00","65.50","62.50","343.33K","-2.22%"
"06/04/2026","65.77","66.00","66.25","64.74","614.44K","0.06%"
"06/03/2026","65.73","66.70","66.85","65.67","220.07K","-1.16%"
"06/02/2026","66.50","67.30","67.46","66.25","164.16K","-1.12%"
"06/01/2026","67.25","65.25","67.25","65.10","417.42K","3.38%"
"05/25/2026","65.05","65.70","65.70","64.67","162.45K","-0.37%"
"05/24/2026","65.29","65.00","65.90","64.52","509.06K","1.22%"
"05/21/2026","64.50","64.80","65.59","64.30","182.20K","-0.15%"
"05/20/2026","64.60","66.24","66.24","64.57","457.52K","-1.58%"
