origin,origin_idx,h,h_grade,grade_date,spot,realized,z,alpha,drift,sigma_h,crps,crps_b,pin50,pin50_b,wink,wink_b,pit,in50,in80,in90,w90,w90_b,med_disp,u,crps_n,crps_b_n
2022-04-05,2691,61,57,2022-07-05,8.4,5.59,-0.36885607379658114,-0.004651963326223265,0.017465198670678774,0.20341719137141562,2.2143571797565897,2.3236191916901,1.484420802525654,1.494081397491799,17.574818355571253,24.83983772506827,0.0221,False,False,False,0.6721222978384372,0.5376862897005246,0.018909714887060503,-2.087914076925067,0.26361394997102255,0.2766213323440595
2022-07-05,2748,61,61,2022-10-05,5.59,7.66,-1.0606955552352815,-0.014096975567104333,0.012555458197460224,0.21435988162742722,1.355723630422172,1.3957815191312428,0.9944950109912516,0.9569332921208158,3.8935015699184,9.770734496625595,0.9353,False,False,True,0.6965119087510555,0.501311681060665,0.014491945978085452,1.4110720536492878,0.24252658862650664,0.24969257945102735
2022-10-05,2809,61,64,2023-01-05,7.66,13.62,-0.26963611198006554,-0.003331320643716797,0.02332111312084776,0.19927218846871983,4.811764392234999,4.9173796403354135,2.8953807703918804,2.8655860382976313,64.24955723615787,71.0791978148083,0.9907,False,False,False,0.6441560444914977,0.549872753777654,0.022093793631362768,2.771115267470952,0.6281676752265012,0.6419555666234221
2023-01-05,2873,60,62,2023-04-05,13.62,15.77,1.5709333081520949,0.021212784181234474,0.05885599880107806,0.2177951658208561,0.8793882503111519,0.9994550831086733,0.6424900895589207,0.8120700212605279,10.038415407972396,8.994990826130172,0.68345,True,True,True,0.737034905137474,0.6604251707878247,0.0635110000647694,0.40273667747359687,0.06456595083048106,0.07338143047787617
2023-04-05,2935,61,53,2023-07-05,15.77,19.33,1.6060038069672182,0.02181439722205769,0.06372210756804544,0.21908112232263427,1.5073461152445655,1.6619928846159864,1.272826772675348,1.4239191339154331,11.588547413295055,11.920489198014165,0.78005,False,True,True,0.7348476482748926,0.7558965883331747,0.06432127169621449,0.638242050227076,0.09558313983795597,0.10538952977907333
2023-07-05,2988,60,63,2023-10-08,19.33,21.6,1.7310968804866707,0.023596294555591462,0.0655040049015792,0.2198521644559438,1.0050791285105691,1.2460852394250068,0.49641155870426346,0.7349082510274538,14.358434801231606,15.309527270003372,0.6035,True,True,True,0.7428057320864774,0.7920086533886898,0.06607226500731911,0.2070983321040935,0.05199581627059334,0.06446379924599105
2023-10-08,3051,61,64,2024-01-08,21.6,29.78,2.309837318067654,0.031682514331001874,0.07569550027609168,0.22123129263874564,4.128232445150254,4.475982678216171,3.267940624395635,3.595234048003501,16.464154362110296,16.743135773056878,0.89435,False,True,True,0.7622293686162174,0.7751451746785591,0.07611660885225602,1.1094642596083855,0.1911218724606599,0.2072214202877857
2024-01-08,3115,60,64,2024-04-08,29.78,33.98,1.7015764540498106,0.022904650420425353,0.06691763636551516,0.21711034177246383,1.726002528679401,2.0421962266785454,1.1030215669319112,1.348544447612202,22.14897794925704,23.10935582706181,0.64445,True,True,True,0.7437534569931847,0.776002546241162,0.06695624130746047,0.2994673219691555,0.05795844622832105,0.06857609894823859
2024-04-08,3179,61,52,2024-07-08,33.98,47.54,2.3508482881652615,0.03360034962451489,0.09384621698515008,0.2305300285451466,6.389369387086368,6.820879155705441,5.125640835726472,5.692896677563358,27.558541897269667,32.03521991036229,0.88115,False,True,True,0.8110224219325977,0.9427669190807031,0.09737252291192044,1.0495514629050946,0.1880332368183157,0.2007321705622555
2024-07-08,3231,60,62,2024-10-08,47.54,94.5,1.4881140233981909,0.02008497855544056,0.08033084591607575,0.21769250334962517,35.910713230484056,34.46028057879077,21.47858798051375,22.043919238143445,481.2321298688263,369.27290070596536,0.99295,False,False,False,0.7470079004006979,0.9712010257879751,0.08419907528339299,2.7869472642206086,0.7553789068254955,0.7248691749850815
2024-10-08,3293,60,64,2025-01-08,94.5,79.22,1.3893079793847414,0.021945152491827866,0.08219101985246305,0.25477005653245155,14.784332707254167,13.298822966506837,11.568677243668247,10.435628881532281,81.88232273879282,112.98274314517832,0.1245,False,True,True,0.8664796057015114,1.1955845835468606,0.08314660833160303,-1.0148840318110732,0.15644796515612874,0.1407282853598607
