                               ELSEWEDY ELECTRIC

                                 Segment Analysis

      Q1-2014              Sales          GP        GP %    Selling Exp   Deprecation
Raw Material           539,124,344    120,106,325    22%    9,685,546     7,138,462
Cables                2,902,740,717   332,022,832    11%    82,687,174    54,038,900
Turnkey                522,484,128    76,632,598     15%      23,566      5,597,114
Meters                 153,724,778    47,332,539     31%    18,920,313    6,729,163
Transformers           149,182,336     7,858,511      5%    5,225,111     8,919,029
Electrical products     74,336,750    28,807,366     39%    1,949,954     2,028,107
Wind                    1,308,475       620,401      47%         0        1,701,420
Not Allocated                                                             3,906,789
Total                 4,342,901,528   613,380,572   14.1%   118,491,664   90,058,984




      Q1-2015              Sales          GP        GP %    Selling Exp   Deprecation
Raw Material           560,725,107    104,537,121    19%    7,974,250     5,331,124
Cables                2,414,289,862   249,271,614    10%    49,718,754    55,506,936
Turnkey                689,090,963    88,217,536     13%    1,664,891     6,222,787
Meters                 142,369,130    44,908,603     32%    15,889,699    6,253,994
Transformers           112,348,819    39,379,532     35%    6,296,353     8,933,664
Electrical products     61,708,979    30,061,140     49%    4,094,214     2,053,293
Wind                     164,438        (42,426)    -26%         0        1,486,688
Not Allocated                                                              749,123
Total                 3,980,697,298   556,333,120   14.0%   85,638,161    86,537,609

